Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
cardboard,young,yes,800.000000,1233.788940,2649.000000
cardboard,young,yes,800.000000,1233.463989,2646.000000
cardboard,young,yes,800.000000,1233.139038,2619.000000
cardboard,young,yes,800.000000,1232.813965,2607.000000
cardboard,young,yes,800.000000,1232.489014,2629.000000
cardboard,young,yes,800.000000,1232.163940,2673.000000
cardboard,young,yes,800.000000,1231.839966,2637.000000
cardboard,young,yes,800.000000,1231.515015,2620.000000
cardboard,young,yes,800.000000,1231.189941,2612.000000
cardboard,young,yes,800.000000,1230.864990,2600.000000
cardboard,young,yes,800.000000,1230.540039,2551.000000
cardboard,young,yes,800.000000,1230.214966,2554.000000
cardboard,young,yes,800.000000,1229.890015,2587.000000
cardboard,young,yes,800.000000,1229.564941,2600.000000
cardboard,young,yes,800.000000,1229.239990,2605.000000
cardboard,young,yes,800.000000,1228.916016,2601.000000
cardboard,young,yes,800.000000,1228.590942,2618.000000
cardboard,young,yes,800.000000,1228.265991,2612.000000
cardboard,young,yes,800.000000,1227.941040,2627.000000
cardboard,young,yes,800.000000,1227.615967,2599.000000
cardboard,young,yes,800.000000,1227.291016,2603.000000
cardboard,young,yes,800.000000,1226.965942,2611.000000
cardboard,young,yes,800.000000,1226.640991,2640.000000
cardboard,young,yes,800.000000,1226.317017,2558.000000
cardboard,young,yes,800.000000,1225.991943,2573.000000
cardboard,young,yes,800.000000,1225.666992,2638.000000
cardboard,young,yes,800.000000,1225.342041,2617.000000
cardboard,young,yes,800.000000,1225.016968,2586.000000
cardboard,young,yes,800.000000,1224.692017,2608.000000
cardboard,young,yes,800.000000,1224.366943,2606.000000
cardboard,young,yes,800.000000,1224.041992,2661.000000
cardboard,young,yes,800.000000,1223.717041,2611.000000
cardboard,young,yes,800.000000,1223.392944,2604.000000
cardboard,young,yes,800.000000,1223.067993,2650.000000
cardboard,young,yes,800.000000,1222.743042,2654.000000
cardboard,young,yes,800.000000,1222.417969,2618.000000
cardboard,young,yes,800.000000,1222.093018,2614.000000
cardboard,young,yes,800.000000,1221.767944,2583.000000
cardboard,young,yes,800.000000,1221.442993,2605.000000
cardboard,young,yes,800.000000,1221.118042,2605.000000
cardboard,young,yes,800.000000,1220.793945,2608.000000
cardboard,young,yes,800.000000,1220.468994,2594.000000
cardboard,young,yes,800.000000,1220.144043,2592.000000
cardboard,young,yes,800.000000,1219.818970,2587.000000
cardboard,young,yes,800.000000,1219.494019,2607.000000
cardboard,young,yes,800.000000,1219.168945,2628.000000
cardboard,young,yes,800.000000,1218.843994,2627.000000
cardboard,young,yes,800.000000,1218.519043,2628.000000
cardboard,young,yes,800.000000,1218.193970,2566.000000
cardboard,young,yes,800.000000,1217.869995,2605.000000
cardboard,young,yes,800.000000,1217.545044,2640.000000
cardboard,young,yes,800.000000,1217.219971,2599.000000
cardboard,young,yes,800.000000,1216.895020,2596.000000
cardboard,young,yes,800.000000,1216.569946,2632.000000
cardboard,young,yes,800.000000,1216.244995,2666.000000
cardboard,young,yes,800.000000,1215.920044,2683.000000
cardboard,young,yes,800.000000,1215.594971,2592.000000
cardboard,young,yes,800.000000,1215.270996,2593.000000
cardboard,young,yes,800.000000,1214.946045,2688.000000
cardboard,young,yes,800.000000,1214.620972,2636.000000
cardboard,young,yes,800.000000,1214.296021,2592.000000
cardboard,young,yes,800.000000,1213.970947,2615.000000
cardboard,young,yes,800.000000,1213.645996,2593.000000
cardboard,young,yes,800.000000,1213.321045,2620.000000
cardboard,young,yes,800.000000,1212.995972,2606.000000
cardboard,young,yes,800.000000,1212.671021,2599.000000
cardboard,young,yes,800.000000,1212.347046,2624.000000
cardboard,young,yes,800.000000,1212.021973,2598.000000
cardboard,young,yes,800.000000,1211.697021,2607.000000
cardboard,young,yes,800.000000,1211.371948,2612.000000
