Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
asphalt,mature,yes,400.000000,1233.788940,2732.000000
asphalt,mature,yes,400.000000,1233.463989,2729.000000
asphalt,mature,yes,400.000000,1233.139038,2759.000000
asphalt,mature,yes,400.000000,1232.813965,2761.000000
asphalt,mature,yes,400.000000,1232.489014,2722.000000
asphalt,mature,yes,400.000000,1232.163940,2781.000000
asphalt,mature,yes,400.000000,1231.839966,2770.000000
asphalt,mature,yes,400.000000,1231.515015,2803.000000
asphalt,mature,yes,400.000000,1231.189941,2780.000000
asphalt,mature,yes,400.000000,1230.864990,2785.000000
asphalt,mature,yes,400.000000,1230.540039,2754.000000
asphalt,mature,yes,400.000000,1230.214966,2706.000000
asphalt,mature,yes,400.000000,1229.890015,2790.000000
asphalt,mature,yes,400.000000,1229.564941,2745.000000
asphalt,mature,yes,400.000000,1229.239990,2780.000000
asphalt,mature,yes,400.000000,1228.916016,2771.000000
asphalt,mature,yes,400.000000,1228.590942,2764.000000
asphalt,mature,yes,400.000000,1228.265991,2745.000000
asphalt,mature,yes,400.000000,1227.941040,2772.000000
asphalt,mature,yes,400.000000,1227.615967,2718.000000
asphalt,mature,yes,400.000000,1227.291016,2754.000000
asphalt,mature,yes,400.000000,1226.965942,2748.000000
asphalt,mature,yes,400.000000,1226.640991,2728.000000
asphalt,mature,yes,400.000000,1226.317017,2804.000000
asphalt,mature,yes,400.000000,1225.991943,2799.000000
asphalt,mature,yes,400.000000,1225.666992,2797.000000
asphalt,mature,yes,400.000000,1225.342041,2791.000000
asphalt,mature,yes,400.000000,1225.016968,2784.000000
asphalt,mature,yes,400.000000,1224.692017,2775.000000
asphalt,mature,yes,400.000000,1224.366943,2743.000000
asphalt,mature,yes,400.000000,1224.041992,2779.000000
asphalt,mature,yes,400.000000,1223.717041,2795.000000
asphalt,mature,yes,400.000000,1223.392944,2783.000000
asphalt,mature,yes,400.000000,1223.067993,2787.000000
asphalt,mature,yes,400.000000,1222.743042,2756.000000
asphalt,mature,yes,400.000000,1222.417969,2736.000000
asphalt,mature,yes,400.000000,1222.093018,2790.000000
asphalt,mature,yes,400.000000,1221.767944,2738.000000
asphalt,mature,yes,400.000000,1221.442993,2753.000000
asphalt,mature,yes,400.000000,1221.118042,2708.000000
asphalt,mature,yes,400.000000,1220.793945,2714.000000
asphalt,mature,yes,400.000000,1220.468994,2767.000000
asphalt,mature,yes,400.000000,1220.144043,2766.000000
asphalt,mature,yes,400.000000,1219.818970,2723.000000
asphalt,mature,yes,400.000000,1219.494019,2783.000000
asphalt,mature,yes,400.000000,1219.168945,2793.000000
asphalt,mature,yes,400.000000,1218.843994,2767.000000
asphalt,mature,yes,400.000000,1218.519043,2754.000000
asphalt,mature,yes,400.000000,1218.193970,2740.000000
asphalt,mature,yes,400.000000,1217.869995,2757.000000
asphalt,mature,yes,400.000000,1217.545044,2735.000000
asphalt,mature,yes,400.000000,1217.219971,2776.000000
asphalt,mature,yes,400.000000,1216.895020,2778.000000
asphalt,mature,yes,400.000000,1216.569946,2757.000000
asphalt,mature,yes,400.000000,1216.244995,2778.000000
asphalt,mature,yes,400.000000,1215.920044,2772.000000
