Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
hand,mature,yes,800.000000,1233.788940,2423.000000
hand,mature,yes,800.000000,1233.463989,2424.000000
hand,mature,yes,800.000000,1233.139038,2400.000000
hand,mature,yes,800.000000,1232.813965,2390.000000
hand,mature,yes,800.000000,1232.489014,2450.000000
hand,mature,yes,800.000000,1232.163940,2404.000000
hand,mature,yes,800.000000,1231.839966,2444.000000
hand,mature,yes,800.000000,1231.515015,2475.000000
hand,mature,yes,800.000000,1231.189941,2431.000000
hand,mature,yes,800.000000,1230.864990,2412.000000
hand,mature,yes,800.000000,1230.540039,2464.000000
hand,mature,yes,800.000000,1230.214966,2417.000000
hand,mature,yes,800.000000,1229.890015,2491.000000
hand,mature,yes,800.000000,1229.564941,2484.000000
hand,mature,yes,800.000000,1229.239990,2417.000000
hand,mature,yes,800.000000,1228.916016,2421.000000
hand,mature,yes,800.000000,1228.590942,2444.000000
hand,mature,yes,800.000000,1228.265991,2434.000000
hand,mature,yes,800.000000,1227.941040,2457.000000
hand,mature,yes,800.000000,1227.615967,2439.000000
hand,mature,yes,800.000000,1227.291016,2475.000000
hand,mature,yes,800.000000,1226.965942,2446.000000
hand,mature,yes,800.000000,1226.640991,2427.000000
hand,mature,yes,800.000000,1226.317017,2428.000000
hand,mature,yes,800.000000,1225.991943,2393.000000
hand,mature,yes,800.000000,1225.666992,2437.000000
hand,mature,yes,800.000000,1225.342041,2451.000000
hand,mature,yes,800.000000,1225.016968,2505.000000
hand,mature,yes,800.000000,1224.692017,2421.000000
hand,mature,yes,800.000000,1224.366943,2397.000000
hand,mature,yes,800.000000,1224.041992,2433.000000
hand,mature,yes,800.000000,1223.717041,2503.000000
hand,mature,yes,800.000000,1223.392944,2473.000000
hand,mature,yes,800.000000,1223.067993,2467.000000
hand,mature,yes,800.000000,1222.743042,2465.000000
hand,mature,yes,800.000000,1222.417969,2379.000000
hand,mature,yes,800.000000,1222.093018,2419.000000
hand,mature,yes,800.000000,1221.767944,2437.000000
hand,mature,yes,800.000000,1221.442993,2432.000000
hand,mature,yes,800.000000,1221.118042,2445.000000
hand,mature,yes,800.000000,1220.793945,2454.000000
hand,mature,yes,800.000000,1220.468994,2417.000000
hand,mature,yes,800.000000,1220.144043,2446.000000
hand,mature,yes,800.000000,1219.818970,2427.000000
hand,mature,yes,800.000000,1219.494019,2396.000000
hand,mature,yes,800.000000,1219.168945,2432.000000
hand,mature,yes,800.000000,1218.843994,2414.000000
hand,mature,yes,800.000000,1218.519043,2448.000000
hand,mature,yes,800.000000,1218.193970,2435.000000
hand,mature,yes,800.000000,1217.869995,2425.000000
hand,mature,yes,800.000000,1217.545044,2440.000000
hand,mature,yes,800.000000,1217.219971,2408.000000
hand,mature,yes,800.000000,1216.895020,2417.000000
hand,mature,yes,800.000000,1216.569946,2408.000000
hand,mature,yes,800.000000,1216.244995,2474.000000
hand,mature,yes,800.000000,1215.920044,2427.000000
hand,mature,yes,800.000000,1215.594971,2418.000000
hand,mature,yes,800.000000,1215.270996,2454.000000
hand,mature,yes,800.000000,1214.946045,2448.000000
hand,mature,yes,800.000000,1214.620972,2489.000000
hand,mature,yes,800.000000,1214.296021,2419.000000
hand,mature,yes,800.000000,1213.970947,2409.000000
hand,mature,yes,800.000000,1213.645996,2459.000000
hand,mature,yes,800.000000,1213.321045,2458.000000
hand,mature,yes,800.000000,1212.995972,2440.000000
hand,mature,yes,800.000000,1212.671021,2475.000000
hand,mature,yes,800.000000,1212.347046,2477.000000
hand,mature,yes,800.000000,1212.021973,2453.000000
hand,mature,yes,800.000000,1211.697021,2464.000000
hand,mature,yes,800.000000,1211.371948,2441.000000
hand,mature,yes,800.000000,1211.046997,2433.000000
hand,mature,yes,800.000000,1210.722046,2419.000000
hand,mature,yes,800.000000,1210.396973,2364.000000
hand,mature,yes,800.000000,1210.072021,2432.000000
hand,mature,yes,800.000000,1209.746948,2461.000000
hand,mature,yes,800.000000,1209.422974,2407.000000
hand,mature,yes,800.000000,1209.098022,2426.000000
hand,mature,yes,800.000000,1208.772949,2458.000000
hand,mature,yes,800.000000,1208.447998,2474.000000
hand,mature,yes,800.000000,1208.123047,2411.000000
hand,mature,yes,800.000000,1207.797974,2441.000000
