Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
hand,young,yes,0.000000,1233.788940,14.377197
hand,young,yes,0.000000,1233.463989,10.898926
hand,young,yes,0.000000,1233.139038,0.000000
hand,young,yes,0.000000,1232.813965,12.742188
hand,young,yes,0.000000,1232.489014,12.103760
hand,young,yes,0.000000,1232.163940,3.945312
hand,young,yes,0.000000,1231.839966,14.467041
hand,young,yes,0.000000,1231.515015,5.228760
hand,young,yes,0.000000,1231.189941,3.310547
hand,young,yes,0.000000,1230.864990,6.072266
hand,young,yes,0.000000,1230.540039,4.513916
hand,young,yes,0.000000,1230.214966,7.435547
hand,young,yes,0.000000,1229.890015,2.117188
hand,young,yes,0.000000,1229.564941,0.000000
hand,young,yes,0.000000,1229.239990,8.160645
hand,young,yes,0.000000,1228.916016,6.922363
hand,young,yes,0.000000,1228.590942,9.483887
hand,young,yes,0.000000,1228.265991,5.685547
hand,young,yes,0.000000,1227.941040,1.847412
hand,young,yes,0.000000,1227.615967,9.249023
hand,young,yes,0.000000,1227.291016,0.000000
hand,young,yes,0.000000,1226.965942,1.852295
hand,young,yes,0.000000,1226.640991,2.134033
hand,young,yes,0.000000,1226.317017,0.000000
hand,young,yes,0.000000,1225.991943,1.737305
hand,young,yes,0.000000,1225.666992,6.139160
hand,young,yes,0.000000,1225.342041,2.420898
hand,young,yes,0.000000,1225.016968,0.000000
hand,young,yes,0.000000,1224.692017,0.000000
hand,young,yes,0.000000,1224.366943,1.665771
hand,young,yes,0.000000,1224.041992,6.747314
hand,young,yes,0.000000,1223.717041,11.629150
hand,young,yes,0.000000,1223.392944,9.710693
hand,young,yes,0.000000,1223.067993,3.672607
hand,young,yes,0.000000,1222.743042,0.000000
hand,young,yes,0.000000,1222.417969,0.196045
hand,young,yes,0.000000,1222.093018,7.757324
hand,young,yes,0.000000,1221.767944,1.839111
hand,young,yes,0.000000,1221.442993,0.000000
hand,young,yes,0.000000,1221.118042,1.442627
hand,young,yes,0.000000,1220.793945,4.884277
hand,young,yes,0.000000,1220.468994,9.605957
hand,young,yes,0.000000,1220.144043,4.487549
hand,young,yes,0.000000,1219.818970,7.729248
hand,young,yes,0.000000,1219.494019,0.000000
hand,young,yes,0.000000,1219.168945,8.332520
hand,young,yes,0.000000,1218.843994,0.000000
hand,young,yes,0.000000,1218.519043,0.000000
hand,young,yes,0.000000,1218.193970,4.457764
hand,young,yes,0.000000,1217.869995,8.619385
hand,young,yes,0.000000,1217.545044,7.421143
hand,young,yes,0.000000,1217.219971,0.000000
hand,young,yes,0.000000,1216.895020,0.000000
hand,young,yes,0.000000,1216.569946,6.345947
hand,young,yes,0.000000,1216.244995,0.000000
