Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
jeans,young,yes,0.000000,1233.788940,13.308594
jeans,young,yes,0.000000,1233.463989,9.468750
jeans,young,yes,0.000000,1233.139038,0.000000
jeans,young,yes,0.000000,1232.813965,1.469482
jeans,young,yes,0.000000,1232.489014,0.000000
jeans,young,yes,0.000000,1232.163940,0.000000
jeans,young,yes,0.000000,1231.839966,0.630859
jeans,young,yes,0.000000,1231.515015,0.000000
jeans,young,yes,0.000000,1231.189941,0.000000
jeans,young,yes,0.000000,1230.864990,0.000000
jeans,young,yes,0.000000,1230.540039,0.000000
jeans,young,yes,0.000000,1230.214966,1.552490
jeans,young,yes,0.000000,1229.890015,7.353027
jeans,young,yes,0.000000,1229.564941,1.873291
jeans,young,yes,0.000000,1229.239990,1.993652
jeans,young,yes,0.000000,1228.916016,8.233887
jeans,young,yes,0.000000,1228.590942,1.274414
jeans,young,yes,0.000000,1228.265991,0.000000
jeans,young,yes,0.000000,1227.941040,0.000000
jeans,young,yes,0.000000,1227.615967,0.000000
jeans,young,yes,0.000000,1227.291016,0.000000
jeans,young,yes,0.000000,1226.965942,0.000000
jeans,young,yes,0.000000,1226.640991,4.076660
jeans,young,yes,0.000000,1226.317017,8.076904
jeans,young,yes,0.000000,1225.991943,8.717285
jeans,young,yes,0.000000,1225.666992,0.000000
jeans,young,yes,0.000000,1225.342041,0.000000
jeans,young,yes,0.000000,1225.016968,0.000000
jeans,young,yes,0.000000,1224.692017,3.518799
jeans,young,yes,0.000000,1224.366943,6.918945
jeans,young,yes,0.000000,1224.041992,5.879639
jeans,young,yes,0.000000,1223.717041,0.000000
jeans,young,yes,0.000000,1223.392944,0.000000
jeans,young,yes,0.000000,1223.067993,4.920410
jeans,young,yes,0.000000,1222.743042,4.720947
jeans,young,yes,0.000000,1222.417969,2.281250
jeans,young,yes,0.000000,1222.093018,0.000000
jeans,young,yes,0.000000,1221.767944,0.000000
jeans,young,yes,0.000000,1221.442993,0.000000
jeans,young,yes,0.000000,1221.118042,7.402832
jeans,young,yes,0.000000,1220.793945,0.000000
jeans,young,yes,0.000000,1220.468994,0.000000
jeans,young,yes,0.000000,1220.144043,0.000000
jeans,young,yes,0.000000,1219.818970,1.084229
jeans,young,yes,0.000000,1219.494019,0.000000
jeans,young,yes,0.000000,1219.168945,0.000000
jeans,young,yes,0.000000,1218.843994,0.000000
jeans,young,yes,0.000000,1218.519043,2.005615
jeans,young,yes,0.000000,1218.193970,0.000000
jeans,young,yes,0.000000,1217.869995,1.846436
jeans,young,yes,0.000000,1217.545044,1.966797
jeans,young,yes,0.000000,1217.219971,1.687012
jeans,young,yes,0.000000,1216.895020,2.167725
jeans,young,yes,0.000000,1216.569946,3.767822
jeans,young,yes,0.000000,1216.244995,0.000000
jeans,young,yes,0.000000,1215.920044,0.000000
jeans,young,yes,0.000000,1215.594971,0.000000
jeans,young,yes,0.000000,1215.270996,0.000000
jeans,young,yes,0.000000,1214.946045,0.000000
jeans,young,yes,0.000000,1214.620972,4.850098
jeans,young,yes,0.000000,1214.296021,4.970459
jeans,young,yes,0.000000,1213.970947,1.370850
jeans,young,yes,0.000000,1213.645996,0.000000
jeans,young,yes,0.000000,1213.321045,0.000000
jeans,young,yes,0.000000,1212.995972,0.000000
jeans,young,yes,0.000000,1212.671021,0.572266
jeans,young,yes,0.000000,1212.347046,3.812500
jeans,young,yes,0.000000,1212.021973,0.000000
jeans,young,yes,0.000000,1211.697021,0.000000
jeans,young,yes,0.000000,1211.371948,6.653809
jeans,young,yes,0.000000,1211.046997,0.000000
jeans,young,yes,0.000000,1210.722046,3.734375
jeans,young,yes,0.000000,1210.396973,2.734619
jeans,young,yes,0.000000,1210.072021,1.575195
jeans,young,yes,0.000000,1209.746948,0.000000
jeans,young,yes,0.000000,1209.422974,0.000000
jeans,young,yes,0.000000,1209.098022,0.000000
jeans,young,yes,0.000000,1208.772949,0.000000
jeans,young,yes,0.000000,1208.447998,3.416992
jeans,young,yes,0.000000,1208.123047,0.000000
jeans,young,yes,0.000000,1207.797974,5.937500
jeans,young,yes,0.000000,1207.473022,0.000000
jeans,young,yes,0.000000,1207.147949,3.098389
jeans,young,yes,0.000000,1206.823975,0.000000
jeans,young,yes,0.000000,1206.499023,0.099121
jeans,young,yes,0.000000,1206.173950,0.000000
jeans,young,yes,0.000000,1205.848999,0.259766
jeans,young,yes,0.000000,1205.524048,0.000000
jeans,young,yes,0.000000,1205.198975,6.740479
jeans,young,yes,0.000000,1204.874023,0.181152
jeans,young,yes,0.000000,1204.548950,0.000000
jeans,young,yes,0.000000,1204.223999,6.141846
jeans,young,yes,0.000000,1203.900024,0.741943
jeans,young,yes,0.000000,1203.574951,0.000000
jeans,young,yes,0.000000,1203.250000,0.000000
jeans,young,yes,0.000000,1202.925049,0.000000
jeans,young,yes,0.000000,1202.599976,0.000000
jeans,young,yes,0.000000,1202.275024,8.864014
jeans,young,yes,0.000000,1201.949951,3.904297
jeans,young,yes,0.000000,1201.625000,3.504639
jeans,young,yes,0.000000,1201.301025,0.000000
jeans,young,yes,0.000000,1200.975952,1.305420
jeans,young,yes,0.000000,1200.651001,0.000000
jeans,young,yes,0.000000,1200.326050,5.026123
jeans,young,yes,0.000000,1200.000977,2.906494
jeans,young,yes,0.000000,1199.676025,0.000000
jeans,young,yes,0.000000,1199.350952,0.000000
jeans,young,yes,0.000000,1199.026001,4.387695
jeans,young,yes,0.000000,1198.701050,0.827881
jeans,young,yes,0.000000,1198.376953,0.000000
jeans,young,yes,0.000000,1198.052002,5.228516
jeans,young,yes,0.000000,1197.727051,0.000000
jeans,young,yes,0.000000,1197.401978,0.000000
jeans,young,yes,0.000000,1197.077026,0.000000
jeans,young,yes,0.000000,1196.751953,5.510010
jeans,young,yes,0.000000,1196.427002,0.870605
jeans,young,yes,0.000000,1196.102051,0.000000
jeans,young,yes,0.000000,1195.777954,0.000000
jeans,young,yes,0.000000,1195.453003,5.911621
jeans,young,yes,0.000000,1195.128052,0.000000
jeans,young,yes,0.000000,1194.802979,2.272217
jeans,young,yes,0.000000,1194.478027,0.000000
jeans,young,yes,0.000000,1194.152954,0.000000
jeans,young,yes,0.000000,1193.828003,1.193604
jeans,young,yes,0.000000,1193.503052,0.000000
jeans,young,yes,0.000000,1193.177979,0.000000
jeans,young,yes,0.000000,1192.854004,0.000000
jeans,young,yes,0.000000,1192.529053,0.000000
jeans,young,yes,0.000000,1192.203979,0.000000
jeans,young,yes,0.000000,1191.879028,0.000000
jeans,young,yes,0.000000,1191.553955,13.555908
jeans,young,yes,0.000000,1191.229004,0.000000
jeans,young,yes,0.000000,1190.904053,0.076660
jeans,young,yes,0.000000,1190.578979,0.000000
jeans,young,yes,0.000000,1190.255005,0.000000
jeans,young,yes,0.000000,1189.930054,0.000000
jeans,young,yes,0.000000,1189.604980,5.558105
jeans,young,yes,0.000000,1189.280029,5.558350
jeans,young,yes,0.000000,1188.954956,0.000000
jeans,young,yes,0.000000,1188.630005,5.159180
jeans,young,yes,0.000000,1188.305054,4.319580
jeans,young,yes,0.000000,1187.979980,0.000000
jeans,young,yes,0.000000,1187.655029,1.000244
jeans,young,yes,0.000000,1187.331055,3.880615
jeans,young,yes,0.000000,1187.005981,0.000000
jeans,young,yes,0.000000,1186.681030,0.000000
jeans,young,yes,0.000000,1186.355957,2.601807
jeans,young,yes,0.000000,1186.031006,0.000000
jeans,young,yes,0.000000,1185.706055,0.000000
jeans,young,yes,0.000000,1185.380981,2.362793
jeans,young,yes,0.000000,1185.056030,2.443359
jeans,young,yes,0.000000,1184.732056,0.000000
jeans,young,yes,0.000000,1184.406982,4.644043
jeans,young,yes,0.000000,1184.082031,6.924316
jeans,young,yes,0.000000,1183.756958,3.404785
jeans,young,yes,0.000000,1183.432007,0.324951
jeans,young,yes,0.000000,1183.107056,0.000000
jeans,young,yes,0.000000,1182.781982,0.000000
jeans,young,yes,0.000000,1182.457031,0.000000
jeans,young,yes,0.000000,1182.131958,0.000000
jeans,young,yes,0.000000,1181.807983,8.406982
