Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
stickynote,young,yes,0.000000,1233.788940,14.382324
stickynote,young,yes,0.000000,1233.463989,8.902344
stickynote,young,yes,0.000000,1233.139038,0.000000
stickynote,young,yes,0.000000,1232.813965,3.182129
stickynote,young,yes,0.000000,1232.489014,0.000000
stickynote,young,yes,0.000000,1232.163940,0.000000
stickynote,young,yes,0.000000,1231.839966,0.662109
stickynote,young,yes,0.000000,1231.515015,0.000000
stickynote,young,yes,0.000000,1231.189941,7.981934
stickynote,young,yes,0.000000,1230.864990,0.000000
stickynote,young,yes,0.000000,1230.540039,6.062012
stickynote,young,yes,0.000000,1230.214966,0.000000
stickynote,young,yes,0.000000,1229.890015,1.461914
stickynote,young,yes,0.000000,1229.564941,0.000000
stickynote,young,yes,0.000000,1229.239990,0.000000
stickynote,young,yes,0.000000,1228.916016,0.000000
stickynote,young,yes,0.000000,1228.590942,1.501953
stickynote,young,yes,0.000000,1228.265991,0.000000
stickynote,young,yes,0.000000,1227.941040,3.581787
stickynote,young,yes,0.000000,1227.615967,7.981689
stickynote,young,yes,0.000000,1227.291016,0.941650
stickynote,young,yes,0.000000,1226.965942,2.581787
stickynote,young,yes,0.000000,1226.640991,0.141846
stickynote,young,yes,0.000000,1226.317017,4.741699
stickynote,young,yes,0.000000,1225.991943,0.581787
stickynote,young,yes,0.000000,1225.666992,5.661865
stickynote,young,yes,0.000000,1225.342041,0.000000
stickynote,young,yes,0.000000,1225.016968,3.461670
stickynote,young,yes,0.000000,1224.692017,0.000000
stickynote,young,yes,0.000000,1224.366943,0.000000
stickynote,young,yes,0.000000,1224.041992,0.000000
stickynote,young,yes,0.000000,1223.717041,9.261475
stickynote,young,yes,0.000000,1223.392944,0.000000
stickynote,young,yes,0.000000,1223.067993,9.941406
stickynote,young,yes,0.000000,1222.743042,2.461426
stickynote,young,yes,0.000000,1222.417969,2.941406
stickynote,young,yes,0.000000,1222.093018,0.000000
stickynote,young,yes,0.000000,1221.767944,0.000000
stickynote,young,yes,0.000000,1221.442993,0.000000
stickynote,young,yes,0.000000,1221.118042,0.000000
stickynote,young,yes,0.000000,1220.793945,5.861572
stickynote,young,yes,0.000000,1220.468994,0.000000
stickynote,young,yes,0.000000,1220.144043,0.000000
stickynote,young,yes,0.000000,1219.818970,7.021240
stickynote,young,yes,0.000000,1219.494019,0.000000
stickynote,young,yes,0.000000,1219.168945,0.301270
stickynote,young,yes,0.000000,1218.843994,0.000000
stickynote,young,yes,0.000000,1218.519043,0.000000
stickynote,young,yes,0.000000,1218.193970,0.000000
stickynote,young,yes,0.000000,1217.869995,3.101318
stickynote,young,yes,0.000000,1217.545044,0.000000
stickynote,young,yes,0.000000,1217.219971,7.541260
stickynote,young,yes,0.000000,1216.895020,0.621338
stickynote,young,yes,0.000000,1216.569946,7.980957
stickynote,young,yes,0.000000,1216.244995,9.180908
stickynote,young,yes,0.000000,1215.920044,0.000000
stickynote,young,yes,0.000000,1215.594971,5.781006
stickynote,young,yes,0.000000,1215.270996,3.101074
stickynote,young,yes,0.000000,1214.946045,0.000000
stickynote,young,yes,0.000000,1214.620972,0.000000
stickynote,young,yes,0.000000,1214.296021,0.000000
stickynote,young,yes,0.000000,1213.970947,0.000000
stickynote,young,yes,0.000000,1213.645996,1.621094
stickynote,young,yes,0.000000,1213.321045,0.000000
stickynote,young,yes,0.000000,1212.995972,5.821045
stickynote,young,yes,0.000000,1212.671021,8.260742
stickynote,young,yes,0.000000,1212.347046,0.500732
stickynote,young,yes,0.000000,1212.021973,0.000000
stickynote,young,yes,0.000000,1211.697021,1.020752
stickynote,young,yes,0.000000,1211.371948,0.000000
stickynote,young,yes,0.000000,1211.046997,5.700684
stickynote,young,yes,0.000000,1210.722046,0.000000
stickynote,young,yes,0.000000,1210.396973,0.180664
stickynote,young,yes,0.000000,1210.072021,5.180664
stickynote,young,yes,0.000000,1209.746948,5.300781
stickynote,young,yes,0.000000,1209.422974,2.060791
stickynote,young,yes,0.000000,1209.098022,0.060791
stickynote,young,yes,0.000000,1208.772949,0.700439
stickynote,young,yes,0.000000,1208.447998,4.540527
stickynote,young,yes,0.000000,1208.123047,0.000000
stickynote,young,yes,0.000000,1207.797974,0.000000
stickynote,young,yes,0.000000,1207.473022,1.220459
stickynote,young,yes,0.000000,1207.147949,0.000000
stickynote,young,yes,0.000000,1206.823975,16.820557
stickynote,young,yes,0.000000,1206.499023,0.000000
stickynote,young,yes,0.000000,1206.173950,2.740479
stickynote,young,yes,0.000000,1205.848999,2.980469
stickynote,young,yes,0.000000,1205.524048,6.740479
stickynote,young,yes,0.000000,1205.198975,0.100586
stickynote,young,yes,0.000000,1204.874023,0.000000
stickynote,young,yes,0.000000,1204.548950,3.460205
stickynote,young,yes,0.000000,1204.223999,5.820312
stickynote,young,yes,0.000000,1203.900024,0.000000
stickynote,young,yes,0.000000,1203.574951,1.380371
stickynote,young,yes,0.000000,1203.250000,0.000000
stickynote,young,yes,0.000000,1202.925049,4.100342
stickynote,young,yes,0.000000,1202.599976,4.540283
stickynote,young,yes,0.000000,1202.275024,0.000000
stickynote,young,yes,0.000000,1201.949951,2.620361
stickynote,young,yes,0.000000,1201.625000,0.000000
stickynote,young,yes,0.000000,1201.301025,0.000000
stickynote,young,yes,0.000000,1200.975952,4.900146
stickynote,young,yes,0.000000,1200.651001,2.140137
stickynote,young,yes,0.000000,1200.326050,8.419922
stickynote,young,yes,0.000000,1200.000977,0.000000
stickynote,young,yes,0.000000,1199.676025,3.500000
stickynote,young,yes,0.000000,1199.350952,3.739990
stickynote,young,yes,0.000000,1199.026001,0.000000
stickynote,young,yes,0.000000,1198.701050,4.219971
stickynote,young,yes,0.000000,1198.376953,9.739990
stickynote,young,yes,0.000000,1198.052002,2.540039
stickynote,young,yes,0.000000,1197.727051,0.000000
stickynote,young,yes,0.000000,1197.401978,3.259766
stickynote,young,yes,0.000000,1197.077026,7.659912
stickynote,young,yes,0.000000,1196.751953,8.939697
stickynote,young,yes,0.000000,1196.427002,0.659912
stickynote,young,yes,0.000000,1196.102051,0.000000
stickynote,young,yes,0.000000,1195.777954,0.000000
stickynote,young,yes,0.000000,1195.453003,1.259766
stickynote,young,yes,0.000000,1195.128052,0.000000
stickynote,young,yes,0.000000,1194.802979,0.000000
stickynote,young,yes,0.000000,1194.478027,0.000000
stickynote,young,yes,0.000000,1194.152954,0.000000
stickynote,young,yes,0.000000,1193.828003,4.859863
stickynote,young,yes,0.000000,1193.503052,0.000000
stickynote,young,yes,0.000000,1193.177979,6.739502
stickynote,young,yes,0.000000,1192.854004,3.139648
stickynote,young,yes,0.000000,1192.529053,7.459473
stickynote,young,yes,0.000000,1192.203979,5.699463
stickynote,young,yes,0.000000,1191.879028,0.000000
stickynote,young,yes,0.000000,1191.553955,3.899658
stickynote,young,yes,0.000000,1191.229004,0.000000
stickynote,young,yes,0.000000,1190.904053,2.139648
stickynote,young,yes,0.000000,1190.578979,0.000000
stickynote,young,yes,0.000000,1190.255005,6.379639
stickynote,young,yes,0.000000,1189.930054,0.899658
stickynote,young,yes,0.000000,1189.604980,0.019287
stickynote,young,yes,0.000000,1189.280029,0.699219
stickynote,young,yes,0.000000,1188.954956,1.219238
stickynote,young,yes,0.000000,1188.630005,0.819336
stickynote,young,yes,0.000000,1188.305054,1.779297
stickynote,young,yes,0.000000,1187.979980,0.000000
stickynote,young,yes,0.000000,1187.655029,3.059326
stickynote,young,yes,0.000000,1187.331055,5.139404
stickynote,young,yes,0.000000,1187.005981,0.000000
stickynote,young,yes,0.000000,1186.681030,3.899414
stickynote,young,yes,0.000000,1186.355957,4.099365
stickynote,young,yes,0.000000,1186.031006,9.939209
stickynote,young,yes,0.000000,1185.706055,6.659180
stickynote,young,yes,0.000000,1185.380981,0.000000
stickynote,young,yes,0.000000,1185.056030,0.000000
stickynote,young,yes,0.000000,1184.732056,0.000000
stickynote,young,yes,0.000000,1184.406982,0.000000
stickynote,young,yes,0.000000,1184.082031,0.000000
stickynote,young,yes,0.000000,1183.756958,10.139160
