Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
stickynote,young,yes,0.000000,1233.788940,33.750000
stickynote,young,yes,0.000000,1233.463989,23.748047
stickynote,young,yes,0.000000,1233.139038,0.000000
stickynote,young,yes,0.000000,1232.813965,20.744385
stickynote,young,yes,0.000000,1232.489014,21.742432
stickynote,young,yes,0.000000,1232.163940,0.000000
stickynote,young,yes,0.000000,1231.839966,0.000000
stickynote,young,yes,0.000000,1231.515015,0.000000
stickynote,young,yes,0.000000,1231.189941,0.000000
stickynote,young,yes,0.000000,1230.864990,0.000000
stickynote,young,yes,0.000000,1230.540039,0.000000
stickynote,young,yes,0.000000,1230.214966,0.000000
stickynote,young,yes,0.000000,1229.890015,0.000000
stickynote,young,yes,0.000000,1229.564941,0.000000
stickynote,young,yes,0.000000,1229.239990,3.723633
stickynote,young,yes,0.000000,1228.916016,0.721680
stickynote,young,yes,0.000000,1228.590942,0.000000
stickynote,young,yes,0.000000,1228.265991,0.000000
stickynote,young,yes,0.000000,1227.941040,18.716064
stickynote,young,yes,0.000000,1227.615967,28.714111
stickynote,young,yes,0.000000,1227.291016,33.712402
stickynote,young,yes,0.000000,1226.965942,30.710449
stickynote,young,yes,0.000000,1226.640991,14.708496
stickynote,young,yes,0.000000,1226.317017,23.706543
stickynote,young,yes,0.000000,1225.991943,34.704834
stickynote,young,yes,0.000000,1225.666992,15.702881
stickynote,young,yes,0.000000,1225.342041,14.700928
stickynote,young,yes,0.000000,1225.016968,24.698975
stickynote,young,yes,0.000000,1224.692017,14.697266
stickynote,young,yes,0.000000,1224.366943,5.695312
stickynote,young,yes,0.000000,1224.041992,2.693359
stickynote,young,yes,0.000000,1223.717041,0.000000
stickynote,young,yes,0.000000,1223.392944,3.689697
stickynote,young,yes,0.000000,1223.067993,9.687744
stickynote,young,yes,0.000000,1222.743042,16.685791
stickynote,young,yes,0.000000,1222.417969,17.684082
stickynote,young,yes,0.000000,1222.093018,28.682129
stickynote,young,yes,0.000000,1221.767944,5.680176
stickynote,young,yes,0.000000,1221.442993,7.678467
stickynote,young,yes,0.000000,1221.118042,10.676514
stickynote,young,yes,0.000000,1220.793945,7.674561
stickynote,young,yes,0.000000,1220.468994,5.672607
stickynote,young,yes,0.000000,1220.144043,28.670898
stickynote,young,yes,0.000000,1219.818970,14.668945
stickynote,young,yes,0.000000,1219.494019,11.666992
stickynote,young,yes,0.000000,1219.168945,20.665039
stickynote,young,yes,0.000000,1218.843994,25.663330
stickynote,young,yes,0.000000,1218.519043,14.661377
stickynote,young,yes,0.000000,1218.193970,7.659424
stickynote,young,yes,0.000000,1217.869995,9.657715
stickynote,young,yes,0.000000,1217.545044,35.655762
stickynote,young,yes,0.000000,1217.219971,25.653809
stickynote,young,yes,0.000000,1216.895020,4.651855
stickynote,young,yes,0.000000,1216.569946,10.650146
stickynote,young,yes,0.000000,1216.244995,22.648193
stickynote,young,yes,0.000000,1215.920044,6.646240
stickynote,young,yes,0.000000,1215.594971,19.644531
stickynote,young,yes,0.000000,1215.270996,17.642578
stickynote,young,yes,0.000000,1214.946045,0.000000
stickynote,young,yes,0.000000,1214.620972,1.638672
stickynote,young,yes,0.000000,1214.296021,4.636963
stickynote,young,yes,0.000000,1213.970947,1.635010
stickynote,young,yes,0.000000,1213.645996,9.633057
stickynote,young,yes,0.000000,1213.321045,21.631104
stickynote,young,yes,0.000000,1212.995972,29.629395
stickynote,young,yes,0.000000,1212.671021,25.627441
stickynote,young,yes,0.000000,1212.347046,6.625488
stickynote,young,yes,0.000000,1212.021973,5.623779
stickynote,young,yes,0.000000,1211.697021,30.621826
stickynote,young,yes,0.000000,1211.371948,24.619873
stickynote,young,yes,0.000000,1211.046997,2.617920
stickynote,young,yes,0.000000,1210.722046,0.616211
stickynote,young,yes,0.000000,1210.396973,21.614258
stickynote,young,yes,0.000000,1210.072021,33.612305
stickynote,young,yes,0.000000,1209.746948,13.610596
stickynote,young,yes,0.000000,1209.422974,18.608643
stickynote,young,yes,0.000000,1209.098022,17.606689
stickynote,young,yes,0.000000,1208.772949,11.604736
stickynote,young,yes,0.000000,1208.447998,14.603027
stickynote,young,yes,0.000000,1208.123047,32.601074
stickynote,young,yes,0.000000,1207.797974,35.599121
stickynote,young,yes,0.000000,1207.473022,29.597168
stickynote,young,yes,0.000000,1207.147949,26.595459
stickynote,young,yes,0.000000,1206.823975,34.593506
stickynote,young,yes,0.000000,1206.499023,33.591553
stickynote,young,yes,0.000000,1206.173950,32.589844
stickynote,young,yes,0.000000,1205.848999,20.587891
stickynote,young,yes,0.000000,1205.524048,6.585938
stickynote,young,yes,0.000000,1205.198975,21.583984
stickynote,young,yes,0.000000,1204.874023,23.582275
stickynote,young,yes,0.000000,1204.548950,29.580322
stickynote,young,yes,0.000000,1204.223999,27.578369
stickynote,young,yes,0.000000,1203.900024,13.576660
stickynote,young,yes,0.000000,1203.574951,13.574707
stickynote,young,yes,0.000000,1203.250000,6.572754
stickynote,young,yes,0.000000,1202.925049,20.570801
stickynote,young,yes,0.000000,1202.599976,14.569092
stickynote,young,yes,0.000000,1202.275024,9.567139
stickynote,young,yes,0.000000,1201.949951,17.565186
stickynote,young,yes,0.000000,1201.625000,4.563232
stickynote,young,yes,0.000000,1201.301025,19.561523
stickynote,young,yes,0.000000,1200.975952,18.559570
stickynote,young,yes,0.000000,1200.651001,18.557617
stickynote,young,yes,0.000000,1200.326050,26.555908
stickynote,young,yes,0.000000,1200.000977,29.553955
stickynote,young,yes,0.000000,1199.676025,20.552002
stickynote,young,yes,0.000000,1199.350952,23.550049
stickynote,young,yes,0.000000,1199.026001,20.548340
stickynote,young,yes,0.000000,1198.701050,34.546387
stickynote,young,yes,0.000000,1198.376953,36.544434
stickynote,young,yes,0.000000,1198.052002,40.542725
stickynote,young,yes,0.000000,1197.727051,37.540771
stickynote,young,yes,0.000000,1197.401978,35.538818
stickynote,young,yes,0.000000,1197.077026,10.536865
stickynote,young,yes,0.000000,1196.751953,8.535156
stickynote,young,yes,0.000000,1196.427002,9.533203
stickynote,young,yes,0.000000,1196.102051,0.000000
stickynote,young,yes,0.000000,1195.777954,0.000000
stickynote,young,yes,0.000000,1195.453003,9.527588
stickynote,young,yes,0.000000,1195.128052,15.525635
stickynote,young,yes,0.000000,1194.802979,24.523682
stickynote,young,yes,0.000000,1194.478027,17.521973
stickynote,young,yes,0.000000,1194.152954,29.520020
stickynote,young,yes,0.000000,1193.828003,22.518066
stickynote,young,yes,0.000000,1193.503052,17.516113
stickynote,young,yes,0.000000,1193.177979,26.514404
stickynote,young,yes,0.000000,1192.854004,25.512451
stickynote,young,yes,0.000000,1192.529053,0.000000
stickynote,young,yes,0.000000,1192.203979,19.508789
stickynote,young,yes,0.000000,1191.879028,26.506836
stickynote,young,yes,0.000000,1191.553955,20.504883
stickynote,young,yes,0.000000,1191.229004,6.502930
stickynote,young,yes,0.000000,1190.904053,11.501221
stickynote,young,yes,0.000000,1190.578979,19.499268
stickynote,young,yes,0.000000,1190.255005,26.497314
stickynote,young,yes,0.000000,1189.930054,32.495361
stickynote,young,yes,0.000000,1189.604980,11.493652
stickynote,young,yes,0.000000,1189.280029,0.000000
stickynote,young,yes,0.000000,1188.954956,10.489746
stickynote,young,yes,0.000000,1188.630005,10.488037
stickynote,young,yes,0.000000,1188.305054,15.486084
stickynote,young,yes,0.000000,1187.979980,28.484131
stickynote,young,yes,0.000000,1187.655029,16.482178
stickynote,young,yes,0.000000,1187.331055,10.480469
stickynote,young,yes,0.000000,1187.005981,28.478516
stickynote,young,yes,0.000000,1186.681030,23.476562
stickynote,young,yes,0.000000,1186.355957,17.474854
stickynote,young,yes,0.000000,1186.031006,23.472900
stickynote,young,yes,0.000000,1185.706055,20.470947
stickynote,young,yes,0.000000,1185.380981,12.468994
stickynote,young,yes,0.000000,1185.056030,10.467285
stickynote,young,yes,0.000000,1184.732056,0.465332
stickynote,young,yes,0.000000,1184.406982,4.463379
stickynote,young,yes,0.000000,1184.082031,18.461426
stickynote,young,yes,0.000000,1183.756958,33.459717
stickynote,young,yes,0.000000,1183.432007,27.457764
stickynote,young,yes,0.000000,1183.107056,18.455811
stickynote,young,yes,0.000000,1182.781982,14.454102
stickynote,young,yes,0.000000,1182.457031,3.452148
stickynote,young,yes,0.000000,1182.131958,16.450195
stickynote,young,yes,0.000000,1181.807983,21.448242
stickynote,young,yes,0.000000,1181.483032,37.446533
stickynote,young,yes,0.000000,1181.157959,25.444580
stickynote,young,yes,0.000000,1180.833008,30.442627
stickynote,young,yes,0.000000,1180.508057,24.440918
stickynote,young,yes,0.000000,1180.182983,29.438965
stickynote,young,yes,0.000000,1179.858032,29.437012
stickynote,young,yes,0.000000,1179.532959,17.435059
stickynote,young,yes,0.000000,1179.208984,31.433350
stickynote,young,yes,0.000000,1178.884033,44.431396
stickynote,young,yes,0.000000,1178.558960,14.429443
stickynote,young,yes,0.000000,1178.234009,14.427490
stickynote,young,yes,0.000000,1177.909058,38.425781
stickynote,young,yes,0.000000,1177.583984,28.423828
stickynote,young,yes,0.000000,1177.259033,10.421875
stickynote,young,yes,0.000000,1176.933960,15.420166
stickynote,young,yes,0.000000,1176.609009,30.418213
stickynote,young,yes,0.000000,1176.285034,16.416260
stickynote,young,yes,0.000000,1175.959961,10.414307
stickynote,young,yes,0.000000,1175.635010,3.412598
stickynote,young,yes,0.000000,1175.310059,15.410645
stickynote,young,yes,0.000000,1174.984985,17.408691
stickynote,young,yes,0.000000,1174.660034,6.406982
stickynote,young,yes,0.000000,1174.334961,14.405029
stickynote,young,yes,0.000000,1174.010010,30.403076
stickynote,young,yes,0.000000,1173.686035,11.401123
stickynote,young,yes,0.000000,1173.360962,0.399414
stickynote,young,yes,0.000000,1173.036011,0.000000
stickynote,young,yes,0.000000,1172.711060,16.395508
stickynote,young,yes,0.000000,1172.385986,12.393555
stickynote,young,yes,0.000000,1172.061035,3.391846
stickynote,young,yes,0.000000,1171.735962,14.389893
stickynote,young,yes,0.000000,1171.411011,21.387939
stickynote,young,yes,0.000000,1171.086060,10.386230
stickynote,young,yes,0.000000,1170.761963,2.384277
stickynote,young,yes,0.000000,1170.437012,5.382324
stickynote,young,yes,0.000000,1170.112061,16.380371
stickynote,young,yes,0.000000,1169.786987,18.378662
stickynote,young,yes,0.000000,1169.462036,22.376709
stickynote,young,yes,0.000000,1169.136963,9.374756
stickynote,young,yes,0.000000,1168.812012,11.373047
stickynote,young,yes,0.000000,1168.487061,25.371094
stickynote,young,yes,0.000000,1168.162964,22.369141
stickynote,young,yes,0.000000,1167.838013,11.367188
stickynote,young,yes,0.000000,1167.512939,17.365479
stickynote,young,yes,0.000000,1167.187988,18.363525
stickynote,young,yes,0.000000,1166.863037,29.361572
stickynote,young,yes,0.000000,1166.537964,22.359619
stickynote,young,yes,0.000000,1166.213013,16.357910
stickynote,young,yes,0.000000,1165.887939,17.355957
stickynote,young,yes,0.000000,1165.562988,33.354004
stickynote,young,yes,0.000000,1165.239014,39.352295
stickynote,young,yes,0.000000,1164.913940,32.350342
stickynote,young,yes,0.000000,1164.588989,4.348389
stickynote,young,yes,0.000000,1164.264038,15.346436
stickynote,young,yes,0.000000,1163.938965,23.344727
