Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
jeans,young,yes,0.000000,1233.788940,44.071533
jeans,young,yes,0.000000,1233.463989,38.071777
jeans,young,yes,0.000000,1233.139038,0.000000
jeans,young,yes,0.000000,1232.813965,27.072266
jeans,young,yes,0.000000,1232.489014,25.072510
jeans,young,yes,0.000000,1232.163940,2.072754
jeans,young,yes,0.000000,1231.839966,0.000000
jeans,young,yes,0.000000,1231.515015,0.000000
jeans,young,yes,0.000000,1231.189941,0.000000
jeans,young,yes,0.000000,1230.864990,0.000000
jeans,young,yes,0.000000,1230.540039,0.000000
jeans,young,yes,0.000000,1230.214966,0.000000
jeans,young,yes,0.000000,1229.890015,0.000000
jeans,young,yes,0.000000,1229.564941,0.000000
jeans,young,yes,0.000000,1229.239990,16.074951
jeans,young,yes,0.000000,1228.916016,21.075195
jeans,young,yes,0.000000,1228.590942,5.075439
jeans,young,yes,0.000000,1228.265991,0.000000
jeans,young,yes,0.000000,1227.941040,0.000000
jeans,young,yes,0.000000,1227.615967,0.000000
jeans,young,yes,0.000000,1227.291016,12.076416
jeans,young,yes,0.000000,1226.965942,3.076660
jeans,young,yes,0.000000,1226.640991,7.076904
jeans,young,yes,0.000000,1226.317017,40.077148
jeans,young,yes,0.000000,1225.991943,38.077393
jeans,young,yes,0.000000,1225.666992,28.077637
jeans,young,yes,0.000000,1225.342041,16.077637
jeans,young,yes,0.000000,1225.016968,11.077881
jeans,young,yes,0.000000,1224.692017,0.000000
jeans,young,yes,0.000000,1224.366943,0.000000
jeans,young,yes,0.000000,1224.041992,2.078613
jeans,young,yes,0.000000,1223.717041,25.078857
jeans,young,yes,0.000000,1223.392944,25.079102
jeans,young,yes,0.000000,1223.067993,24.079346
jeans,young,yes,0.000000,1222.743042,17.079590
jeans,young,yes,0.000000,1222.417969,12.079834
jeans,young,yes,0.000000,1222.093018,0.000000
jeans,young,yes,0.000000,1221.767944,0.000000
jeans,young,yes,0.000000,1221.442993,0.000000
jeans,young,yes,0.000000,1221.118042,6.080811
jeans,young,yes,0.000000,1220.793945,7.081055
jeans,young,yes,0.000000,1220.468994,0.081299
jeans,young,yes,0.000000,1220.144043,19.081543
jeans,young,yes,0.000000,1219.818970,26.081787
jeans,young,yes,0.000000,1219.494019,22.082031
jeans,young,yes,0.000000,1219.168945,32.082275
jeans,young,yes,0.000000,1218.843994,21.082520
jeans,young,yes,0.000000,1218.519043,6.082764
jeans,young,yes,0.000000,1218.193970,2.083008
jeans,young,yes,0.000000,1217.869995,10.083252
jeans,young,yes,0.000000,1217.545044,19.083496
jeans,young,yes,0.000000,1217.219971,29.083740
jeans,young,yes,0.000000,1216.895020,7.083984
jeans,young,yes,0.000000,1216.569946,5.084229
jeans,young,yes,0.000000,1216.244995,10.084473
jeans,young,yes,0.000000,1215.920044,0.000000
jeans,young,yes,0.000000,1215.594971,7.084961
jeans,young,yes,0.000000,1215.270996,0.000000
jeans,young,yes,0.000000,1214.946045,0.000000
jeans,young,yes,0.000000,1214.620972,11.085693
jeans,young,yes,0.000000,1214.296021,19.085938
jeans,young,yes,0.000000,1213.970947,34.086182
jeans,young,yes,0.000000,1213.645996,40.086426
jeans,young,yes,0.000000,1213.321045,20.086670
jeans,young,yes,0.000000,1212.995972,15.086914
jeans,young,yes,0.000000,1212.671021,13.087158
jeans,young,yes,0.000000,1212.347046,13.087402
jeans,young,yes,0.000000,1212.021973,10.087646
jeans,young,yes,0.000000,1211.697021,4.087891
jeans,young,yes,0.000000,1211.371948,14.088135
jeans,young,yes,0.000000,1211.046997,9.088379
jeans,young,yes,0.000000,1210.722046,17.088623
jeans,young,yes,0.000000,1210.396973,19.088867
jeans,young,yes,0.000000,1210.072021,22.089111
jeans,young,yes,0.000000,1209.746948,16.089355
jeans,young,yes,0.000000,1209.422974,4.089600
jeans,young,yes,0.000000,1209.098022,0.000000
jeans,young,yes,0.000000,1208.772949,0.000000
jeans,young,yes,0.000000,1208.447998,4.090088
jeans,young,yes,0.000000,1208.123047,5.090332
jeans,young,yes,0.000000,1207.797974,19.090576
jeans,young,yes,0.000000,1207.473022,30.090820
jeans,young,yes,0.000000,1207.147949,36.091064
jeans,young,yes,0.000000,1206.823975,30.091309
jeans,young,yes,0.000000,1206.499023,16.091553
jeans,young,yes,0.000000,1206.173950,8.091797
jeans,young,yes,0.000000,1205.848999,5.092041
jeans,young,yes,0.000000,1205.524048,0.000000
jeans,young,yes,0.000000,1205.198975,0.000000
jeans,young,yes,0.000000,1204.874023,4.092773
jeans,young,yes,0.000000,1204.548950,6.093018
jeans,young,yes,0.000000,1204.223999,6.093262
jeans,young,yes,0.000000,1203.900024,18.093506
jeans,young,yes,0.000000,1203.574951,18.093750
jeans,young,yes,0.000000,1203.250000,10.093994
jeans,young,yes,0.000000,1202.925049,0.000000
jeans,young,yes,0.000000,1202.599976,0.000000
jeans,young,yes,0.000000,1202.275024,12.094727
jeans,young,yes,0.000000,1201.949951,24.094971
jeans,young,yes,0.000000,1201.625000,18.095215
jeans,young,yes,0.000000,1201.301025,14.095459
jeans,young,yes,0.000000,1200.975952,12.095703
jeans,young,yes,0.000000,1200.651001,11.095947
jeans,young,yes,0.000000,1200.326050,15.096191
jeans,young,yes,0.000000,1200.000977,6.096436
jeans,young,yes,0.000000,1199.676025,0.000000
jeans,young,yes,0.000000,1199.350952,0.000000
jeans,young,yes,0.000000,1199.026001,24.097168
jeans,young,yes,0.000000,1198.701050,15.097412
jeans,young,yes,0.000000,1198.376953,17.097656
jeans,young,yes,0.000000,1198.052002,36.097900
jeans,young,yes,0.000000,1197.727051,29.098145
jeans,young,yes,0.000000,1197.401978,8.098389
jeans,young,yes,0.000000,1197.077026,9.098633
jeans,young,yes,0.000000,1196.751953,0.000000
jeans,young,yes,0.000000,1196.427002,0.000000
jeans,young,yes,0.000000,1196.102051,1.099365
jeans,young,yes,0.000000,1195.777954,12.099609
jeans,young,yes,0.000000,1195.453003,19.099854
jeans,young,yes,0.000000,1195.128052,9.100098
jeans,young,yes,0.000000,1194.802979,21.100342
jeans,young,yes,0.000000,1194.478027,21.100586
jeans,young,yes,0.000000,1194.152954,27.100830
jeans,young,yes,0.000000,1193.828003,18.101074
jeans,young,yes,0.000000,1193.503052,1.101318
jeans,young,yes,0.000000,1193.177979,1.101562
jeans,young,yes,0.000000,1192.854004,16.101807
jeans,young,yes,0.000000,1192.529053,29.101807
jeans,young,yes,0.000000,1192.203979,36.102051
jeans,young,yes,0.000000,1191.879028,16.102295
jeans,young,yes,0.000000,1191.553955,2.102539
jeans,young,yes,0.000000,1191.229004,13.102783
jeans,young,yes,0.000000,1190.904053,17.103027
jeans,young,yes,0.000000,1190.578979,45.103271
jeans,young,yes,0.000000,1190.255005,22.103516
jeans,young,yes,0.000000,1189.930054,0.000000
jeans,young,yes,0.000000,1189.604980,0.104004
jeans,young,yes,0.000000,1189.280029,11.104248
jeans,young,yes,0.000000,1188.954956,33.104492
jeans,young,yes,0.000000,1188.630005,23.104736
jeans,young,yes,0.000000,1188.305054,25.104980
jeans,young,yes,0.000000,1187.979980,40.105225
jeans,young,yes,0.000000,1187.655029,27.105469
jeans,young,yes,0.000000,1187.331055,21.105713
jeans,young,yes,0.000000,1187.005981,20.105957
jeans,young,yes,0.000000,1186.681030,11.106201
jeans,young,yes,0.000000,1186.355957,11.106445
jeans,young,yes,0.000000,1186.031006,10.106689
jeans,young,yes,0.000000,1185.706055,8.106934
jeans,young,yes,0.000000,1185.380981,8.107178
jeans,young,yes,0.000000,1185.056030,18.107422
jeans,young,yes,0.000000,1184.732056,17.107666
jeans,young,yes,0.000000,1184.406982,8.107910
jeans,young,yes,0.000000,1184.082031,0.000000
jeans,young,yes,0.000000,1183.756958,0.000000
jeans,young,yes,0.000000,1183.432007,8.108643
jeans,young,yes,0.000000,1183.107056,14.108887
jeans,young,yes,0.000000,1182.781982,6.109131
jeans,young,yes,0.000000,1182.457031,10.109375
jeans,young,yes,0.000000,1182.131958,24.109619
jeans,young,yes,0.000000,1181.807983,22.109863
jeans,young,yes,0.000000,1181.483032,13.110107
jeans,young,yes,0.000000,1181.157959,15.110352
jeans,young,yes,0.000000,1180.833008,0.000000
jeans,young,yes,0.000000,1180.508057,0.000000
jeans,young,yes,0.000000,1180.182983,9.111084
jeans,young,yes,0.000000,1179.858032,3.111328
jeans,young,yes,0.000000,1179.532959,25.111572
jeans,young,yes,0.000000,1179.208984,44.111816
jeans,young,yes,0.000000,1178.884033,33.112061
jeans,young,yes,0.000000,1178.558960,13.112305
jeans,young,yes,0.000000,1178.234009,13.112549
jeans,young,yes,0.000000,1177.909058,23.112793
jeans,young,yes,0.000000,1177.583984,8.113037
jeans,young,yes,0.000000,1177.259033,0.000000
jeans,young,yes,0.000000,1176.933960,0.000000
jeans,young,yes,0.000000,1176.609009,0.000000
jeans,young,yes,0.000000,1176.285034,1.114014
jeans,young,yes,0.000000,1175.959961,7.114014
jeans,young,yes,0.000000,1175.635010,7.114258
jeans,young,yes,0.000000,1175.310059,9.114502
jeans,young,yes,0.000000,1174.984985,7.114746
jeans,young,yes,0.000000,1174.660034,7.114990
jeans,young,yes,0.000000,1174.334961,12.115234
jeans,young,yes,0.000000,1174.010010,0.000000
jeans,young,yes,0.000000,1173.686035,0.000000
jeans,young,yes,0.000000,1173.360962,0.000000
jeans,young,yes,0.000000,1173.036011,0.000000
jeans,young,yes,0.000000,1172.711060,22.116455
jeans,young,yes,0.000000,1172.385986,13.116699
jeans,young,yes,0.000000,1172.061035,4.116943
jeans,young,yes,0.000000,1171.735962,12.117188
jeans,young,yes,0.000000,1171.411011,3.117432
jeans,young,yes,0.000000,1171.086060,19.117676
jeans,young,yes,0.000000,1170.761963,17.117920
jeans,young,yes,0.000000,1170.437012,12.118164
jeans,young,yes,0.000000,1170.112061,17.118408
jeans,young,yes,0.000000,1169.786987,19.118652
jeans,young,yes,0.000000,1169.462036,10.118896
jeans,young,yes,0.000000,1169.136963,22.119141
jeans,young,yes,0.000000,1168.812012,29.119385
jeans,young,yes,0.000000,1168.487061,16.119629
jeans,young,yes,0.000000,1168.162964,7.119873
jeans,young,yes,0.000000,1167.838013,5.120117
jeans,young,yes,0.000000,1167.512939,1.120361
jeans,young,yes,0.000000,1167.187988,14.120605
jeans,young,yes,0.000000,1166.863037,18.120850
jeans,young,yes,0.000000,1166.537964,28.121094
jeans,young,yes,0.000000,1166.213013,25.121338
jeans,young,yes,0.000000,1165.887939,7.121582
jeans,young,yes,0.000000,1165.562988,17.121826
jeans,young,yes,0.000000,1165.239014,18.122070
jeans,young,yes,0.000000,1164.913940,0.000000
jeans,young,yes,0.000000,1164.588989,6.122559
jeans,young,yes,0.000000,1164.264038,14.122803
jeans,young,yes,0.000000,1163.938965,8.123047
jeans,young,yes,0.000000,1163.614014,4.123291
jeans,young,yes,0.000000,1163.288940,24.123535
jeans,young,yes,0.000000,1162.963989,31.123779
jeans,young,yes,0.000000,1162.640015,20.124023
jeans,young,yes,0.000000,1162.314941,14.124268
jeans,young,yes,0.000000,1161.989990,12.124512
jeans,young,yes,0.000000,1161.665039,0.000000
jeans,young,yes,0.000000,1161.339966,5.125000
jeans,young,yes,0.000000,1161.015015,14.125244
jeans,young,yes,0.000000,1160.689941,22.125488
jeans,young,yes,0.000000,1160.364990,30.125732
jeans,young,yes,0.000000,1160.040039,22.125977
jeans,young,yes,0.000000,1159.715942,25.125977
jeans,young,yes,0.000000,1159.390991,23.126221
jeans,young,yes,0.000000,1159.066040,14.126465
jeans,young,yes,0.000000,1158.740967,0.000000
jeans,young,yes,0.000000,1158.416016,4.126953
jeans,young,yes,0.000000,1158.090942,3.127197
jeans,young,yes,0.000000,1157.765991,0.000000
jeans,young,yes,0.000000,1157.441040,0.000000
jeans,young,yes,0.000000,1157.116943,18.127930
jeans,young,yes,0.000000,1156.791992,14.128174
jeans,young,yes,0.000000,1156.467041,7.128418
jeans,young,yes,0.000000,1156.141968,22.128662
jeans,young,yes,0.000000,1155.817017,21.128906
jeans,young,yes,0.000000,1155.491943,24.129150
jeans,young,yes,0.000000,1155.166992,16.129395
jeans,young,yes,0.000000,1154.842041,11.129639
jeans,young,yes,0.000000,1154.516968,0.129883
jeans,young,yes,0.000000,1154.192993,9.130127
jeans,young,yes,0.000000,1153.868042,32.130371
jeans,young,yes,0.000000,1153.542969,24.130615
jeans,young,yes,0.000000,1153.218018,25.130859
jeans,young,yes,0.000000,1152.892944,25.131104
jeans,young,yes,0.000000,1152.567993,15.131348
jeans,young,yes,0.000000,1152.243042,1.131592
jeans,young,yes,0.000000,1151.917969,0.000000
jeans,young,yes,0.000000,1151.593994,4.132080
jeans,young,yes,0.000000,1151.269043,15.132324
jeans,young,yes,0.000000,1150.943970,28.132568
jeans,young,yes,0.000000,1150.619019,31.132812
jeans,young,yes,0.000000,1150.293945,16.133057
jeans,young,yes,0.000000,1149.968994,14.133301
jeans,young,yes,0.000000,1149.644043,23.133545
jeans,young,yes,0.000000,1149.318970,11.133789
jeans,young,yes,0.000000,1148.994019,15.134033
jeans,young,yes,0.000000,1148.670044,10.134277
jeans,young,yes,0.000000,1148.344971,17.134521
jeans,young,yes,0.000000,1148.020020,26.134766
jeans,young,yes,0.000000,1147.694946,5.135010
jeans,young,yes,0.000000,1147.369995,20.135254
jeans,young,yes,0.000000,1147.045044,15.135498
jeans,young,yes,0.000000,1146.719971,27.135742
jeans,young,yes,0.000000,1146.395020,29.135986
jeans,young,yes,0.000000,1146.071045,11.136230
jeans,young,yes,0.000000,1145.745972,3.136475
jeans,young,yes,0.000000,1145.421021,0.000000
jeans,young,yes,0.000000,1145.095947,0.000000
jeans,young,yes,0.000000,1144.770996,3.137207
jeans,young,yes,0.000000,1144.446045,20.137451
jeans,young,yes,0.000000,1144.120972,26.137695
jeans,young,yes,0.000000,1143.796021,16.137939
jeans,young,yes,0.000000,1143.470947,11.138184
jeans,young,yes,0.000000,1143.146973,4.138184
jeans,young,yes,0.000000,1142.822021,10.138428
jeans,young,yes,0.000000,1142.496948,19.138672
jeans,young,yes,0.000000,1142.171997,14.138916
jeans,young,yes,0.000000,1141.847046,13.139160
jeans,young,yes,0.000000,1141.521973,15.139404
jeans,young,yes,0.000000,1141.197021,7.139648
jeans,young,yes,0.000000,1140.871948,26.139893
jeans,young,yes,0.000000,1140.547974,33.140137
jeans,young,yes,0.000000,1140.223022,42.140381
jeans,young,yes,0.000000,1139.897949,43.140625
jeans,young,yes,0.000000,1139.572998,22.140869
jeans,young,yes,0.000000,1139.248047,22.141113
jeans,young,yes,0.000000,1138.922974,27.141357
jeans,young,yes,0.000000,1138.598022,9.141602
jeans,young,yes,0.000000,1138.272949,18.141846
jeans,young,yes,0.000000,1137.947998,27.142090
jeans,young,yes,0.000000,1137.624023,18.142334
jeans,young,yes,0.000000,1137.298950,36.142578
jeans,young,yes,0.000000,1136.973999,25.142822
jeans,young,yes,0.000000,1136.649048,3.143066
jeans,young,yes,0.000000,1136.323975,0.000000
jeans,young,yes,0.000000,1135.999023,0.000000
jeans,young,yes,0.000000,1135.673950,7.143799
jeans,young,yes,0.000000,1135.348999,13.144043
jeans,young,yes,0.000000,1135.025024,10.144287
jeans,young,yes,0.000000,1134.699951,17.144531
jeans,young,yes,0.000000,1134.375000,20.144775
jeans,young,yes,0.000000,1134.050049,11.145020
jeans,young,yes,0.000000,1133.724976,14.145264
