Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
table,young,yes,0.000000,1233.788940,55.250000
table,young,yes,0.000000,1233.463989,47.248535
table,young,yes,0.000000,1233.139038,0.000000
table,young,yes,0.000000,1232.813965,4.245361
table,young,yes,0.000000,1232.489014,2.243652
table,young,yes,0.000000,1232.163940,0.000000
table,young,yes,0.000000,1231.839966,0.000000
table,young,yes,0.000000,1231.515015,0.000000
table,young,yes,0.000000,1231.189941,2.237305
table,young,yes,0.000000,1230.864990,9.235840
table,young,yes,0.000000,1230.540039,0.000000
table,young,yes,0.000000,1230.214966,0.000000
table,young,yes,0.000000,1229.890015,0.000000
table,young,yes,0.000000,1229.564941,0.000000
table,young,yes,0.000000,1229.239990,0.000000
table,young,yes,0.000000,1228.916016,0.000000
table,young,yes,0.000000,1228.590942,0.000000
table,young,yes,0.000000,1228.265991,5.223145
table,young,yes,0.000000,1227.941040,7.221680
table,young,yes,0.000000,1227.615967,9.219971
table,young,yes,0.000000,1227.291016,21.218506
table,young,yes,0.000000,1226.965942,25.216797
table,young,yes,0.000000,1226.640991,17.215332
table,young,yes,0.000000,1226.317017,23.213867
table,young,yes,0.000000,1225.991943,18.212158
table,young,yes,0.000000,1225.666992,5.210693
table,young,yes,0.000000,1225.342041,0.000000
table,young,yes,0.000000,1225.016968,4.207520
table,young,yes,0.000000,1224.692017,8.205811
table,young,yes,0.000000,1224.366943,3.204346
table,young,yes,0.000000,1224.041992,2.202637
table,young,yes,0.000000,1223.717041,8.201172
table,young,yes,0.000000,1223.392944,28.199463
table,young,yes,0.000000,1223.067993,31.197998
table,young,yes,0.000000,1222.743042,6.196533
table,young,yes,0.000000,1222.417969,0.000000
table,young,yes,0.000000,1222.093018,0.000000
table,young,yes,0.000000,1221.767944,0.000000
table,young,yes,0.000000,1221.442993,0.000000
table,young,yes,0.000000,1221.118042,9.188477
table,young,yes,0.000000,1220.793945,17.187012
table,young,yes,0.000000,1220.468994,9.185303
table,young,yes,0.000000,1220.144043,29.183838
table,young,yes,0.000000,1219.818970,10.182129
table,young,yes,0.000000,1219.494019,0.180664
table,young,yes,0.000000,1219.168945,0.179199
table,young,yes,0.000000,1218.843994,14.177490
table,young,yes,0.000000,1218.519043,11.176025
table,young,yes,0.000000,1218.193970,13.174316
table,young,yes,0.000000,1217.869995,21.172852
table,young,yes,0.000000,1217.545044,26.171143
table,young,yes,0.000000,1217.219971,18.169678
table,young,yes,0.000000,1216.895020,2.167969
table,young,yes,0.000000,1216.569946,8.166504
table,young,yes,0.000000,1216.244995,30.164795
table,young,yes,0.000000,1215.920044,23.163330
table,young,yes,0.000000,1215.594971,18.161865
table,young,yes,0.000000,1215.270996,11.160156
table,young,yes,0.000000,1214.946045,15.158691
table,young,yes,0.000000,1214.620972,10.156982
table,young,yes,0.000000,1214.296021,1.155518
table,young,yes,0.000000,1213.970947,0.000000
table,young,yes,0.000000,1213.645996,6.152344
table,young,yes,0.000000,1213.321045,0.000000
table,young,yes,0.000000,1212.995972,7.149170
table,young,yes,0.000000,1212.671021,11.147461
table,young,yes,0.000000,1212.347046,0.145996
table,young,yes,0.000000,1212.021973,0.000000
table,young,yes,0.000000,1211.697021,8.142822
table,young,yes,0.000000,1211.371948,16.141357
table,young,yes,0.000000,1211.046997,15.139648
table,young,yes,0.000000,1210.722046,25.138184
table,young,yes,0.000000,1210.396973,18.136475
table,young,yes,0.000000,1210.072021,0.135010
table,young,yes,0.000000,1209.746948,0.000000
table,young,yes,0.000000,1209.422974,6.131836
table,young,yes,0.000000,1209.098022,1.130127
table,young,yes,0.000000,1208.772949,0.128662
table,young,yes,0.000000,1208.447998,10.127197
table,young,yes,0.000000,1208.123047,7.125488
table,young,yes,0.000000,1207.797974,31.124023
table,young,yes,0.000000,1207.473022,33.122314
table,young,yes,0.000000,1207.147949,23.120850
table,young,yes,0.000000,1206.823975,17.119141
table,young,yes,0.000000,1206.499023,12.117676
table,young,yes,0.000000,1206.173950,19.115967
table,young,yes,0.000000,1205.848999,25.114502
table,young,yes,0.000000,1205.524048,12.112793
table,young,yes,0.000000,1205.198975,0.000000
table,young,yes,0.000000,1204.874023,2.109619
table,young,yes,0.000000,1204.548950,0.000000
table,young,yes,0.000000,1204.223999,1.106689
table,young,yes,0.000000,1203.900024,4.104980
table,young,yes,0.000000,1203.574951,6.103516
table,young,yes,0.000000,1203.250000,12.101807
table,young,yes,0.000000,1202.925049,21.100342
table,young,yes,0.000000,1202.599976,21.098633
table,young,yes,0.000000,1202.275024,8.097168
table,young,yes,0.000000,1201.949951,1.095459
table,young,yes,0.000000,1201.625000,11.093994
table,young,yes,0.000000,1201.301025,17.092285
table,young,yes,0.000000,1200.975952,19.090820
table,young,yes,0.000000,1200.651001,39.089355
table,young,yes,0.000000,1200.326050,25.087646
table,young,yes,0.000000,1200.000977,14.086182
table,young,yes,0.000000,1199.676025,11.084473
table,young,yes,0.000000,1199.350952,24.083008
table,young,yes,0.000000,1199.026001,22.081299
table,young,yes,0.000000,1198.701050,21.079834
table,young,yes,0.000000,1198.376953,24.078125
table,young,yes,0.000000,1198.052002,24.076660
table,young,yes,0.000000,1197.727051,10.074951
table,young,yes,0.000000,1197.401978,9.073486
table,young,yes,0.000000,1197.077026,8.072021
table,young,yes,0.000000,1196.751953,15.070312
table,young,yes,0.000000,1196.427002,0.000000
table,young,yes,0.000000,1196.102051,0.000000
table,young,yes,0.000000,1195.777954,0.000000
table,young,yes,0.000000,1195.453003,28.063965
table,young,yes,0.000000,1195.128052,23.062500
table,young,yes,0.000000,1194.802979,4.060791
table,young,yes,0.000000,1194.478027,0.000000
table,young,yes,0.000000,1194.152954,22.057617
table,young,yes,0.000000,1193.828003,37.056152
table,young,yes,0.000000,1193.503052,22.054688
table,young,yes,0.000000,1193.177979,6.052979
table,young,yes,0.000000,1192.854004,17.051514
table,young,yes,0.000000,1192.529053,13.049805
table,young,yes,0.000000,1192.203979,8.048340
table,young,yes,0.000000,1191.879028,21.046631
table,young,yes,0.000000,1191.553955,3.045166
table,young,yes,0.000000,1191.229004,4.043457
table,young,yes,0.000000,1190.904053,23.041992
table,young,yes,0.000000,1190.578979,22.040283
table,young,yes,0.000000,1190.255005,1.038818
table,young,yes,0.000000,1189.930054,3.037354
table,young,yes,0.000000,1189.604980,4.035645
table,young,yes,0.000000,1189.280029,2.034180
table,young,yes,0.000000,1188.954956,15.032471
table,young,yes,0.000000,1188.630005,10.031006
table,young,yes,0.000000,1188.305054,3.029297
table,young,yes,0.000000,1187.979980,2.027832
table,young,yes,0.000000,1187.655029,0.000000
table,young,yes,0.000000,1187.331055,4.024658
table,young,yes,0.000000,1187.005981,15.022949
table,young,yes,0.000000,1186.681030,30.021484
table,young,yes,0.000000,1186.355957,14.020020
table,young,yes,0.000000,1186.031006,5.018311
table,young,yes,0.000000,1185.706055,3.016846
table,young,yes,0.000000,1185.380981,2.015137
table,young,yes,0.000000,1185.056030,0.000000
table,young,yes,0.000000,1184.732056,13.011963
table,young,yes,0.000000,1184.406982,18.010498
table,young,yes,0.000000,1184.082031,22.008789
table,young,yes,0.000000,1183.756958,28.007324
table,young,yes,0.000000,1183.432007,17.005615
table,young,yes,0.000000,1183.107056,0.000000
table,young,yes,0.000000,1182.781982,10.002686
