Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
paper,young,yes,0.000000,1233.788940,61.375000
paper,young,yes,0.000000,1233.463989,50.372314
paper,young,yes,0.000000,1233.139038,5.369873
paper,young,yes,0.000000,1232.813965,8.367188
paper,young,yes,0.000000,1232.489014,0.000000
paper,young,yes,0.000000,1232.163940,0.000000
paper,young,yes,0.000000,1231.839966,0.000000
paper,young,yes,0.000000,1231.515015,0.000000
paper,young,yes,0.000000,1231.189941,0.000000
paper,young,yes,0.000000,1230.864990,1.351562
paper,young,yes,0.000000,1230.540039,0.000000
paper,young,yes,0.000000,1230.214966,0.000000
paper,young,yes,0.000000,1229.890015,3.343750
paper,young,yes,0.000000,1229.564941,0.000000
paper,young,yes,0.000000,1229.239990,0.000000
paper,young,yes,0.000000,1228.916016,0.000000
paper,young,yes,0.000000,1228.590942,0.000000
paper,young,yes,0.000000,1228.265991,0.000000
paper,young,yes,0.000000,1227.941040,0.328369
paper,young,yes,0.000000,1227.615967,0.000000
paper,young,yes,0.000000,1227.291016,8.322998
paper,young,yes,0.000000,1226.965942,3.320557
paper,young,yes,0.000000,1226.640991,9.317871
paper,young,yes,0.000000,1226.317017,15.315186
paper,young,yes,0.000000,1225.991943,10.312744
paper,young,yes,0.000000,1225.666992,16.310059
paper,young,yes,0.000000,1225.342041,20.307617
paper,young,yes,0.000000,1225.016968,0.000000
paper,young,yes,0.000000,1224.692017,0.000000
paper,young,yes,0.000000,1224.366943,0.000000
paper,young,yes,0.000000,1224.041992,11.297119
paper,young,yes,0.000000,1223.717041,9.294434
paper,young,yes,0.000000,1223.392944,3.291992
paper,young,yes,0.000000,1223.067993,0.000000
paper,young,yes,0.000000,1222.743042,0.000000
paper,young,yes,0.000000,1222.417969,5.284180
paper,young,yes,0.000000,1222.093018,0.281494
paper,young,yes,0.000000,1221.767944,0.000000
paper,young,yes,0.000000,1221.442993,3.276367
paper,young,yes,0.000000,1221.118042,1.273682
paper,young,yes,0.000000,1220.793945,1.271240
paper,young,yes,0.000000,1220.468994,0.268555
paper,young,yes,0.000000,1220.144043,10.265869
paper,young,yes,0.000000,1219.818970,0.263428
paper,young,yes,0.000000,1219.494019,1.260742
paper,young,yes,0.000000,1219.168945,2.258301
paper,young,yes,0.000000,1218.843994,6.255615
paper,young,yes,0.000000,1218.519043,26.252930
paper,young,yes,0.000000,1218.193970,11.250488
paper,young,yes,0.000000,1217.869995,15.247803
paper,young,yes,0.000000,1217.545044,26.245117
paper,young,yes,0.000000,1217.219971,18.242676
paper,young,yes,0.000000,1216.895020,0.000000
paper,young,yes,0.000000,1216.569946,0.000000
paper,young,yes,0.000000,1216.244995,4.234863
