Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
white_foam,young,yes,0.000000,1233.788940,36.812500
white_foam,young,yes,0.000000,1233.463989,30.812012
white_foam,young,yes,0.000000,1233.139038,0.000000
white_foam,young,yes,0.000000,1232.813965,16.810791
white_foam,young,yes,0.000000,1232.489014,11.810303
white_foam,young,yes,0.000000,1232.163940,3.809814
white_foam,young,yes,0.000000,1231.839966,1.809326
white_foam,young,yes,0.000000,1231.515015,0.000000
white_foam,young,yes,0.000000,1231.189941,0.000000
white_foam,young,yes,0.000000,1230.864990,0.000000
white_foam,young,yes,0.000000,1230.540039,0.000000
white_foam,young,yes,0.000000,1230.214966,2.806396
white_foam,young,yes,0.000000,1229.890015,0.000000
white_foam,young,yes,0.000000,1229.564941,0.000000
white_foam,young,yes,0.000000,1229.239990,5.804932
white_foam,young,yes,0.000000,1228.916016,0.000000
white_foam,young,yes,0.000000,1228.590942,0.000000
white_foam,young,yes,0.000000,1228.265991,0.000000
white_foam,young,yes,0.000000,1227.941040,11.802734
white_foam,young,yes,0.000000,1227.615967,13.802002
white_foam,young,yes,0.000000,1227.291016,0.801514
white_foam,young,yes,0.000000,1226.965942,0.000000
white_foam,young,yes,0.000000,1226.640991,3.800537
white_foam,young,yes,0.000000,1226.317017,13.799805
white_foam,young,yes,0.000000,1225.991943,26.799316
white_foam,young,yes,0.000000,1225.666992,24.798828
white_foam,young,yes,0.000000,1225.342041,3.798340
white_foam,young,yes,0.000000,1225.016968,4.797607
white_foam,young,yes,0.000000,1224.692017,0.000000
white_foam,young,yes,0.000000,1224.366943,0.000000
white_foam,young,yes,0.000000,1224.041992,8.796143
white_foam,young,yes,0.000000,1223.717041,6.795410
white_foam,young,yes,0.000000,1223.392944,17.794922
white_foam,young,yes,0.000000,1223.067993,10.794434
white_foam,young,yes,0.000000,1222.743042,12.793945
white_foam,young,yes,0.000000,1222.417969,10.793213
white_foam,young,yes,0.000000,1222.093018,14.792725
white_foam,young,yes,0.000000,1221.767944,13.792236
white_foam,young,yes,0.000000,1221.442993,0.791748
white_foam,young,yes,0.000000,1221.118042,10.791016
white_foam,young,yes,0.000000,1220.793945,9.790527
white_foam,young,yes,0.000000,1220.468994,0.000000
white_foam,young,yes,0.000000,1220.144043,21.789551
white_foam,young,yes,0.000000,1219.818970,34.788818
white_foam,young,yes,0.000000,1219.494019,31.788330
white_foam,young,yes,0.000000,1219.168945,29.787842
white_foam,young,yes,0.000000,1218.843994,15.787354
white_foam,young,yes,0.000000,1218.519043,2.786621
white_foam,young,yes,0.000000,1218.193970,0.786133
white_foam,young,yes,0.000000,1217.869995,2.785645
white_foam,young,yes,0.000000,1217.545044,0.785156
white_foam,young,yes,0.000000,1217.219971,12.784424
white_foam,young,yes,0.000000,1216.895020,28.783936
white_foam,young,yes,0.000000,1216.569946,35.783447
white_foam,young,yes,0.000000,1216.244995,27.782959
white_foam,young,yes,0.000000,1215.920044,21.782227
white_foam,young,yes,0.000000,1215.594971,18.781738
white_foam,young,yes,0.000000,1215.270996,0.000000
white_foam,young,yes,0.000000,1214.946045,0.000000
white_foam,young,yes,0.000000,1214.620972,5.780029
white_foam,young,yes,0.000000,1214.296021,12.779541
white_foam,young,yes,0.000000,1213.970947,17.779053
white_foam,young,yes,0.000000,1213.645996,11.778564
white_foam,young,yes,0.000000,1213.321045,17.777832
white_foam,young,yes,0.000000,1212.995972,17.777344
white_foam,young,yes,0.000000,1212.671021,20.776855
white_foam,young,yes,0.000000,1212.347046,18.776367
white_foam,young,yes,0.000000,1212.021973,20.775635
white_foam,young,yes,0.000000,1211.697021,18.775146
white_foam,young,yes,0.000000,1211.371948,7.774658
white_foam,young,yes,0.000000,1211.046997,23.774170
white_foam,young,yes,0.000000,1210.722046,15.773438
white_foam,young,yes,0.000000,1210.396973,19.772949
white_foam,young,yes,0.000000,1210.072021,26.772461
white_foam,young,yes,0.000000,1209.746948,18.771973
white_foam,young,yes,0.000000,1209.422974,13.771240
white_foam,young,yes,0.000000,1209.098022,0.000000
white_foam,young,yes,0.000000,1208.772949,0.000000
white_foam,young,yes,0.000000,1208.447998,0.000000
white_foam,young,yes,0.000000,1208.123047,4.769043
white_foam,young,yes,0.000000,1207.797974,22.768555
white_foam,young,yes,0.000000,1207.473022,20.768066
white_foam,young,yes,0.000000,1207.147949,10.767578
white_foam,young,yes,0.000000,1206.823975,8.766846
white_foam,young,yes,0.000000,1206.499023,12.766357
white_foam,young,yes,0.000000,1206.173950,10.765869
white_foam,young,yes,0.000000,1205.848999,15.765381
white_foam,young,yes,0.000000,1205.524048,13.764648
white_foam,young,yes,0.000000,1205.198975,0.000000
white_foam,young,yes,0.000000,1204.874023,0.000000
white_foam,young,yes,0.000000,1204.548950,9.763184
white_foam,young,yes,0.000000,1204.223999,16.762451
white_foam,young,yes,0.000000,1203.900024,0.000000
white_foam,young,yes,0.000000,1203.574951,4.761475
white_foam,young,yes,0.000000,1203.250000,2.760986
white_foam,young,yes,0.000000,1202.925049,0.000000
white_foam,young,yes,0.000000,1202.599976,0.000000
white_foam,young,yes,0.000000,1202.275024,2.759277
white_foam,young,yes,0.000000,1201.949951,12.758789
white_foam,young,yes,0.000000,1201.625000,0.000000
white_foam,young,yes,0.000000,1201.301025,0.000000
white_foam,young,yes,0.000000,1200.975952,9.757080
white_foam,young,yes,0.000000,1200.651001,16.756592
white_foam,young,yes,0.000000,1200.326050,34.756104
