Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
strawberry_leaf,young,yes,0.000000,1233.788940,62.125000
strawberry_leaf,young,yes,0.000000,1233.463989,50.121826
strawberry_leaf,young,yes,0.000000,1233.139038,0.000000
strawberry_leaf,young,yes,0.000000,1232.813965,7.115234
strawberry_leaf,young,yes,0.000000,1232.489014,0.112061
strawberry_leaf,young,yes,0.000000,1232.163940,0.000000
strawberry_leaf,young,yes,0.000000,1231.839966,0.000000
strawberry_leaf,young,yes,0.000000,1231.515015,0.000000
strawberry_leaf,young,yes,0.000000,1231.189941,0.000000
strawberry_leaf,young,yes,0.000000,1230.864990,0.000000
strawberry_leaf,young,yes,0.000000,1230.540039,0.000000
strawberry_leaf,young,yes,0.000000,1230.214966,0.000000
strawberry_leaf,young,yes,0.000000,1229.890015,7.085938
strawberry_leaf,young,yes,0.000000,1229.564941,0.000000
strawberry_leaf,young,yes,0.000000,1229.239990,0.000000
strawberry_leaf,young,yes,0.000000,1228.916016,0.000000
strawberry_leaf,young,yes,0.000000,1228.590942,0.000000
strawberry_leaf,young,yes,0.000000,1228.265991,0.000000
strawberry_leaf,young,yes,0.000000,1227.941040,7.066162
strawberry_leaf,young,yes,0.000000,1227.615967,26.062988
strawberry_leaf,young,yes,0.000000,1227.291016,25.059814
strawberry_leaf,young,yes,0.000000,1226.965942,19.056396
strawberry_leaf,young,yes,0.000000,1226.640991,5.053223
strawberry_leaf,young,yes,0.000000,1226.317017,0.000000
strawberry_leaf,young,yes,0.000000,1225.991943,20.046631
strawberry_leaf,young,yes,0.000000,1225.666992,23.043457
strawberry_leaf,young,yes,0.000000,1225.342041,15.040283
strawberry_leaf,young,yes,0.000000,1225.016968,13.036865
strawberry_leaf,young,yes,0.000000,1224.692017,10.033691
strawberry_leaf,young,yes,0.000000,1224.366943,7.030273
strawberry_leaf,young,yes,0.000000,1224.041992,2.027100
strawberry_leaf,young,yes,0.000000,1223.717041,0.000000
strawberry_leaf,young,yes,0.000000,1223.392944,4.020508
strawberry_leaf,young,yes,0.000000,1223.067993,0.000000
strawberry_leaf,young,yes,0.000000,1222.743042,0.000000
strawberry_leaf,young,yes,0.000000,1222.417969,0.000000
strawberry_leaf,young,yes,0.000000,1222.093018,0.000000
strawberry_leaf,young,yes,0.000000,1221.767944,14.004150
strawberry_leaf,young,yes,0.000000,1221.442993,3.000977
strawberry_leaf,young,yes,0.000000,1221.118042,12.997803
strawberry_leaf,young,yes,0.000000,1220.793945,6.994385
strawberry_leaf,young,yes,0.000000,1220.468994,2.991211
strawberry_leaf,young,yes,0.000000,1220.144043,9.988037
strawberry_leaf,young,yes,0.000000,1219.818970,25.984619
strawberry_leaf,young,yes,0.000000,1219.494019,25.981445
strawberry_leaf,young,yes,0.000000,1219.168945,31.978271
strawberry_leaf,young,yes,0.000000,1218.843994,29.974854
strawberry_leaf,young,yes,0.000000,1218.519043,8.971680
strawberry_leaf,young,yes,0.000000,1218.193970,10.968262
strawberry_leaf,young,yes,0.000000,1217.869995,17.965088
strawberry_leaf,young,yes,0.000000,1217.545044,4.961914
strawberry_leaf,young,yes,0.000000,1217.219971,25.958496
strawberry_leaf,young,yes,0.000000,1216.895020,30.955322
strawberry_leaf,young,yes,0.000000,1216.569946,40.952148
strawberry_leaf,young,yes,0.000000,1216.244995,40.948730
