Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
soybean_leaf,young,no,0.000000,1233.788940,27.642822
soybean_leaf,young,no,0.000000,1233.463989,18.645264
soybean_leaf,young,no,0.000000,1233.139038,0.000000
soybean_leaf,young,no,0.000000,1232.813965,8.650391
soybean_leaf,young,no,0.000000,1232.489014,20.653076
soybean_leaf,young,no,0.000000,1232.163940,5.655518
soybean_leaf,young,no,0.000000,1231.839966,11.657959
soybean_leaf,young,no,0.000000,1231.515015,11.660645
soybean_leaf,young,no,0.000000,1231.189941,2.663086
soybean_leaf,young,no,0.000000,1230.864990,21.665771
soybean_leaf,young,no,0.000000,1230.540039,0.000000
soybean_leaf,young,no,0.000000,1230.214966,0.000000
soybean_leaf,young,no,0.000000,1229.890015,11.673340
soybean_leaf,young,no,0.000000,1229.564941,16.675781
soybean_leaf,young,no,0.000000,1229.239990,6.678467
soybean_leaf,young,no,0.000000,1228.916016,2.680908
soybean_leaf,young,no,0.000000,1228.590942,0.000000
soybean_leaf,young,no,0.000000,1228.265991,0.000000
soybean_leaf,young,no,0.000000,1227.941040,16.688477
soybean_leaf,young,no,0.000000,1227.615967,22.691162
soybean_leaf,young,no,0.000000,1227.291016,25.693604
soybean_leaf,young,no,0.000000,1226.965942,13.696289
soybean_leaf,young,no,0.000000,1226.640991,0.000000
soybean_leaf,young,no,0.000000,1226.317017,6.701416
soybean_leaf,young,no,0.000000,1225.991943,0.000000
soybean_leaf,young,no,0.000000,1225.666992,0.706299
soybean_leaf,young,no,0.000000,1225.342041,4.708984
soybean_leaf,young,no,0.000000,1225.016968,3.711426
soybean_leaf,young,no,0.000000,1224.692017,0.000000
soybean_leaf,young,no,0.000000,1224.366943,4.716553
soybean_leaf,young,no,0.000000,1224.041992,21.718994
soybean_leaf,young,no,0.000000,1223.717041,17.721680
soybean_leaf,young,no,0.000000,1223.392944,0.000000
soybean_leaf,young,no,0.000000,1223.067993,1.726807
soybean_leaf,young,no,0.000000,1222.743042,8.729248
soybean_leaf,young,no,0.000000,1222.417969,25.731934
soybean_leaf,young,no,0.000000,1222.093018,0.000000
soybean_leaf,young,no,0.000000,1221.767944,0.000000
soybean_leaf,young,no,0.000000,1221.442993,5.739502
soybean_leaf,young,no,0.000000,1221.118042,0.000000
soybean_leaf,young,no,0.000000,1220.793945,0.000000
soybean_leaf,young,no,0.000000,1220.468994,0.000000
soybean_leaf,young,no,0.000000,1220.144043,27.749512
soybean_leaf,young,no,0.000000,1219.818970,13.752197
soybean_leaf,young,no,0.000000,1219.494019,14.754639
soybean_leaf,young,no,0.000000,1219.168945,11.757324
soybean_leaf,young,no,0.000000,1218.843994,10.759766
soybean_leaf,young,no,0.000000,1218.519043,0.000000
soybean_leaf,young,no,0.000000,1218.193970,16.764893
soybean_leaf,young,no,0.000000,1217.869995,11.767334
soybean_leaf,young,no,0.000000,1217.545044,0.000000
soybean_leaf,young,no,0.000000,1217.219971,5.772461
soybean_leaf,young,no,0.000000,1216.895020,1.775146
soybean_leaf,young,no,0.000000,1216.569946,0.000000
soybean_leaf,young,no,0.000000,1216.244995,22.780029
soybean_leaf,young,no,0.000000,1215.920044,0.000000
soybean_leaf,young,no,0.000000,1215.594971,13.785156
soybean_leaf,young,no,0.000000,1215.270996,5.787842
soybean_leaf,young,no,0.000000,1214.946045,7.790283
soybean_leaf,young,no,0.000000,1214.620972,0.000000
soybean_leaf,young,no,0.000000,1214.296021,0.000000
soybean_leaf,young,no,0.000000,1213.970947,9.797852
soybean_leaf,young,no,0.000000,1213.645996,1.800537
soybean_leaf,young,no,0.000000,1213.321045,11.802979
soybean_leaf,young,no,0.000000,1212.995972,0.805664
soybean_leaf,young,no,0.000000,1212.671021,0.000000
soybean_leaf,young,no,0.000000,1212.347046,0.000000
soybean_leaf,young,no,0.000000,1212.021973,0.000000
soybean_leaf,young,no,0.000000,1211.697021,4.815674
soybean_leaf,young,no,0.000000,1211.371948,3.818359
soybean_leaf,young,no,0.000000,1211.046997,0.820801
soybean_leaf,young,no,0.000000,1210.722046,0.000000
soybean_leaf,young,no,0.000000,1210.396973,11.825928
soybean_leaf,young,no,0.000000,1210.072021,15.828369
soybean_leaf,young,no,0.000000,1209.746948,5.831055
soybean_leaf,young,no,0.000000,1209.422974,20.833496
soybean_leaf,young,no,0.000000,1209.098022,2.836182
soybean_leaf,young,no,0.000000,1208.772949,0.000000
soybean_leaf,young,no,0.000000,1208.447998,14.841064
soybean_leaf,young,no,0.000000,1208.123047,12.843750
soybean_leaf,young,no,0.000000,1207.797974,9.846191
soybean_leaf,young,no,0.000000,1207.473022,13.848877
soybean_leaf,young,no,0.000000,1207.147949,14.851318
