Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
magnolia_leaf,mature,yes,800.000000,1233.788940,2819.000000
magnolia_leaf,mature,yes,800.000000,1233.463989,2812.000000
magnolia_leaf,mature,yes,800.000000,1233.139038,2795.000000
magnolia_leaf,mature,yes,800.000000,1232.813965,2837.000000
magnolia_leaf,mature,yes,800.000000,1232.489014,2859.000000
magnolia_leaf,mature,yes,800.000000,1232.163940,2814.000000
magnolia_leaf,mature,yes,800.000000,1231.839966,2838.000000
magnolia_leaf,mature,yes,800.000000,1231.515015,2805.000000
magnolia_leaf,mature,yes,800.000000,1231.189941,2795.000000
magnolia_leaf,mature,yes,800.000000,1230.864990,2822.000000
magnolia_leaf,mature,yes,800.000000,1230.540039,2809.000000
magnolia_leaf,mature,yes,800.000000,1230.214966,2846.000000
magnolia_leaf,mature,yes,800.000000,1229.890015,2799.000000
magnolia_leaf,mature,yes,800.000000,1229.564941,2792.000000
magnolia_leaf,mature,yes,800.000000,1229.239990,2782.000000
magnolia_leaf,mature,yes,800.000000,1228.916016,2807.000000
magnolia_leaf,mature,yes,800.000000,1228.590942,2798.000000
magnolia_leaf,mature,yes,800.000000,1228.265991,2837.000000
magnolia_leaf,mature,yes,800.000000,1227.941040,2813.000000
magnolia_leaf,mature,yes,800.000000,1227.615967,2760.000000
magnolia_leaf,mature,yes,800.000000,1227.291016,2874.000000
magnolia_leaf,mature,yes,800.000000,1226.965942,2824.000000
magnolia_leaf,mature,yes,800.000000,1226.640991,2787.000000
magnolia_leaf,mature,yes,800.000000,1226.317017,2837.000000
magnolia_leaf,mature,yes,800.000000,1225.991943,2817.000000
magnolia_leaf,mature,yes,800.000000,1225.666992,2833.000000
magnolia_leaf,mature,yes,800.000000,1225.342041,2825.000000
magnolia_leaf,mature,yes,800.000000,1225.016968,2830.000000
magnolia_leaf,mature,yes,800.000000,1224.692017,2799.000000
magnolia_leaf,mature,yes,800.000000,1224.366943,2808.000000
magnolia_leaf,mature,yes,800.000000,1224.041992,2818.000000
magnolia_leaf,mature,yes,800.000000,1223.717041,2781.000000
magnolia_leaf,mature,yes,800.000000,1223.392944,2822.000000
magnolia_leaf,mature,yes,800.000000,1223.067993,2813.000000
magnolia_leaf,mature,yes,800.000000,1222.743042,2819.000000
magnolia_leaf,mature,yes,800.000000,1222.417969,2827.000000
magnolia_leaf,mature,yes,800.000000,1222.093018,2816.000000
magnolia_leaf,mature,yes,800.000000,1221.767944,2840.000000
magnolia_leaf,mature,yes,800.000000,1221.442993,2780.000000
magnolia_leaf,mature,yes,800.000000,1221.118042,2834.000000
magnolia_leaf,mature,yes,800.000000,1220.793945,2758.000000
magnolia_leaf,mature,yes,800.000000,1220.468994,2831.000000
magnolia_leaf,mature,yes,800.000000,1220.144043,2800.000000
magnolia_leaf,mature,yes,800.000000,1219.818970,2772.000000
magnolia_leaf,mature,yes,800.000000,1219.494019,2763.000000
magnolia_leaf,mature,yes,800.000000,1219.168945,2835.000000
magnolia_leaf,mature,yes,800.000000,1218.843994,2831.000000
magnolia_leaf,mature,yes,800.000000,1218.519043,2820.000000
magnolia_leaf,mature,yes,800.000000,1218.193970,2870.000000
magnolia_leaf,mature,yes,800.000000,1217.869995,2868.000000
magnolia_leaf,mature,yes,800.000000,1217.545044,2768.000000
magnolia_leaf,mature,yes,800.000000,1217.219971,2813.000000
magnolia_leaf,mature,yes,800.000000,1216.895020,2826.000000
magnolia_leaf,mature,yes,800.000000,1216.569946,2868.000000
magnolia_leaf,mature,yes,800.000000,1216.244995,2849.000000
magnolia_leaf,mature,yes,800.000000,1215.920044,2792.000000
magnolia_leaf,mature,yes,800.000000,1215.594971,2795.000000
magnolia_leaf,mature,yes,800.000000,1215.270996,2851.000000
magnolia_leaf,mature,yes,800.000000,1214.946045,2820.000000
magnolia_leaf,mature,yes,800.000000,1214.620972,2766.000000
magnolia_leaf,mature,yes,800.000000,1214.296021,2769.000000
magnolia_leaf,mature,yes,800.000000,1213.970947,2821.000000
magnolia_leaf,mature,yes,800.000000,1213.645996,2811.000000
magnolia_leaf,mature,yes,800.000000,1213.321045,2800.000000
magnolia_leaf,mature,yes,800.000000,1212.995972,2828.000000
magnolia_leaf,mature,yes,800.000000,1212.671021,2845.000000
magnolia_leaf,mature,yes,800.000000,1212.347046,2803.000000
magnolia_leaf,mature,yes,800.000000,1212.021973,2883.000000
magnolia_leaf,mature,yes,800.000000,1211.697021,2837.000000
magnolia_leaf,mature,yes,800.000000,1211.371948,2786.000000
magnolia_leaf,mature,yes,800.000000,1211.046997,2775.000000
