Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
holly_leaf,mature,yes,800.000000,1233.788940,2784.000000
holly_leaf,mature,yes,800.000000,1233.463989,2777.000000
holly_leaf,mature,yes,800.000000,1233.139038,2716.000000
holly_leaf,mature,yes,800.000000,1232.813965,2749.000000
holly_leaf,mature,yes,800.000000,1232.489014,2773.000000
holly_leaf,mature,yes,800.000000,1232.163940,2736.000000
holly_leaf,mature,yes,800.000000,1231.839966,2759.000000
holly_leaf,mature,yes,800.000000,1231.515015,2766.000000
holly_leaf,mature,yes,800.000000,1231.189941,2761.000000
holly_leaf,mature,yes,800.000000,1230.864990,2781.000000
holly_leaf,mature,yes,800.000000,1230.540039,2748.000000
holly_leaf,mature,yes,800.000000,1230.214966,2753.000000
holly_leaf,mature,yes,800.000000,1229.890015,2780.000000
holly_leaf,mature,yes,800.000000,1229.564941,2786.000000
holly_leaf,mature,yes,800.000000,1229.239990,2789.000000
holly_leaf,mature,yes,800.000000,1228.916016,2756.000000
holly_leaf,mature,yes,800.000000,1228.590942,2774.000000
holly_leaf,mature,yes,800.000000,1228.265991,2761.000000
holly_leaf,mature,yes,800.000000,1227.941040,2784.000000
holly_leaf,mature,yes,800.000000,1227.615967,2724.000000
holly_leaf,mature,yes,800.000000,1227.291016,2751.000000
holly_leaf,mature,yes,800.000000,1226.965942,2756.000000
holly_leaf,mature,yes,800.000000,1226.640991,2711.000000
holly_leaf,mature,yes,800.000000,1226.317017,2753.000000
holly_leaf,mature,yes,800.000000,1225.991943,2723.000000
holly_leaf,mature,yes,800.000000,1225.666992,2747.000000
holly_leaf,mature,yes,800.000000,1225.342041,2790.000000
holly_leaf,mature,yes,800.000000,1225.016968,2784.000000
holly_leaf,mature,yes,800.000000,1224.692017,2755.000000
holly_leaf,mature,yes,800.000000,1224.366943,2785.000000
holly_leaf,mature,yes,800.000000,1224.041992,2753.000000
holly_leaf,mature,yes,800.000000,1223.717041,2774.000000
holly_leaf,mature,yes,800.000000,1223.392944,2746.000000
holly_leaf,mature,yes,800.000000,1223.067993,2758.000000
holly_leaf,mature,yes,800.000000,1222.743042,2784.000000
holly_leaf,mature,yes,800.000000,1222.417969,2788.000000
holly_leaf,mature,yes,800.000000,1222.093018,2765.000000
holly_leaf,mature,yes,800.000000,1221.767944,2783.000000
holly_leaf,mature,yes,800.000000,1221.442993,2814.000000
holly_leaf,mature,yes,800.000000,1221.118042,2788.000000
holly_leaf,mature,yes,800.000000,1220.793945,2765.000000
holly_leaf,mature,yes,800.000000,1220.468994,2744.000000
holly_leaf,mature,yes,800.000000,1220.144043,2759.000000
holly_leaf,mature,yes,800.000000,1219.818970,2764.000000
holly_leaf,mature,yes,800.000000,1219.494019,2740.000000
holly_leaf,mature,yes,800.000000,1219.168945,2770.000000
holly_leaf,mature,yes,800.000000,1218.843994,2775.000000
holly_leaf,mature,yes,800.000000,1218.519043,2749.000000
holly_leaf,mature,yes,800.000000,1218.193970,2768.000000
holly_leaf,mature,yes,800.000000,1217.869995,2802.000000
holly_leaf,mature,yes,800.000000,1217.545044,2784.000000
holly_leaf,mature,yes,800.000000,1217.219971,2767.000000
holly_leaf,mature,yes,800.000000,1216.895020,2760.000000
holly_leaf,mature,yes,800.000000,1216.569946,2696.000000
holly_leaf,mature,yes,800.000000,1216.244995,2709.000000
holly_leaf,mature,yes,800.000000,1215.920044,2769.000000
holly_leaf,mature,yes,800.000000,1215.594971,2753.000000
holly_leaf,mature,yes,800.000000,1215.270996,2750.000000
holly_leaf,mature,yes,800.000000,1214.946045,2811.000000
holly_leaf,mature,yes,800.000000,1214.620972,2771.000000
holly_leaf,mature,yes,800.000000,1214.296021,2739.000000
holly_leaf,mature,yes,800.000000,1213.970947,2752.000000
holly_leaf,mature,yes,800.000000,1213.645996,2762.000000
holly_leaf,mature,yes,800.000000,1213.321045,2752.000000
holly_leaf,mature,yes,800.000000,1212.995972,2782.000000
holly_leaf,mature,yes,800.000000,1212.671021,2793.000000
holly_leaf,mature,yes,800.000000,1212.347046,2786.000000
holly_leaf,mature,yes,800.000000,1212.021973,2808.000000
holly_leaf,mature,yes,800.000000,1211.697021,2811.000000
holly_leaf,mature,yes,800.000000,1211.371948,2804.000000
holly_leaf,mature,yes,800.000000,1211.046997,2779.000000
holly_leaf,mature,yes,800.000000,1210.722046,2771.000000
holly_leaf,mature,yes,800.000000,1210.396973,2736.000000
