Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
grass,mature,yes,800.000000,1233.788940,3016.000000
grass,mature,yes,800.000000,1233.463989,3010.000000
grass,mature,yes,800.000000,1233.139038,3017.000000
grass,mature,yes,800.000000,1232.813965,3000.000000
grass,mature,yes,800.000000,1232.489014,3041.000000
grass,mature,yes,800.000000,1232.163940,3013.000000
grass,mature,yes,800.000000,1231.839966,3006.000000
grass,mature,yes,800.000000,1231.515015,3042.000000
grass,mature,yes,800.000000,1231.189941,3028.000000
grass,mature,yes,800.000000,1230.864990,3031.000000
grass,mature,yes,800.000000,1230.540039,3050.000000
grass,mature,yes,800.000000,1230.214966,3012.000000
grass,mature,yes,800.000000,1229.890015,3026.000000
grass,mature,yes,800.000000,1229.564941,2995.000000
grass,mature,yes,800.000000,1229.239990,3003.000000
grass,mature,yes,800.000000,1228.916016,3008.000000
grass,mature,yes,800.000000,1228.590942,3025.000000
grass,mature,yes,800.000000,1228.265991,3065.000000
grass,mature,yes,800.000000,1227.941040,3103.000000
grass,mature,yes,800.000000,1227.615967,3025.000000
grass,mature,yes,800.000000,1227.291016,3048.000000
grass,mature,yes,800.000000,1226.965942,3056.000000
grass,mature,yes,800.000000,1226.640991,3021.000000
grass,mature,yes,800.000000,1226.317017,3056.000000
grass,mature,yes,800.000000,1225.991943,3018.000000
grass,mature,yes,800.000000,1225.666992,3029.000000
grass,mature,yes,800.000000,1225.342041,3042.000000
grass,mature,yes,800.000000,1225.016968,3067.000000
grass,mature,yes,800.000000,1224.692017,3089.000000
grass,mature,yes,800.000000,1224.366943,3059.000000
grass,mature,yes,800.000000,1224.041992,3057.000000
grass,mature,yes,800.000000,1223.717041,3034.000000
grass,mature,yes,800.000000,1223.392944,2962.000000
grass,mature,yes,800.000000,1223.067993,2978.000000
grass,mature,yes,800.000000,1222.743042,3011.000000
grass,mature,yes,800.000000,1222.417969,3034.000000
grass,mature,yes,800.000000,1222.093018,2993.000000
grass,mature,yes,800.000000,1221.767944,3057.000000
grass,mature,yes,800.000000,1221.442993,3070.000000
grass,mature,yes,800.000000,1221.118042,3076.000000
grass,mature,yes,800.000000,1220.793945,3049.000000
grass,mature,yes,800.000000,1220.468994,3015.000000
grass,mature,yes,800.000000,1220.144043,3016.000000
