Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
hand,mature,yes,800.000000,1233.788940,2417.000000
hand,mature,yes,800.000000,1233.463989,2415.000000
hand,mature,yes,800.000000,1233.139038,2413.000000
hand,mature,yes,800.000000,1232.813965,2465.000000
hand,mature,yes,800.000000,1232.489014,2377.000000
hand,mature,yes,800.000000,1232.163940,2458.000000
hand,mature,yes,800.000000,1231.839966,2452.000000
hand,mature,yes,800.000000,1231.515015,2428.000000
hand,mature,yes,800.000000,1231.189941,2352.000000
hand,mature,yes,800.000000,1230.864990,2397.000000
hand,mature,yes,800.000000,1230.540039,2398.000000
hand,mature,yes,800.000000,1230.214966,2433.000000
hand,mature,yes,800.000000,1229.890015,2419.000000
hand,mature,yes,800.000000,1229.564941,2471.000000
hand,mature,yes,800.000000,1229.239990,2420.000000
hand,mature,yes,800.000000,1228.916016,2462.000000
hand,mature,yes,800.000000,1228.590942,2458.000000
hand,mature,yes,800.000000,1228.265991,2401.000000
hand,mature,yes,800.000000,1227.941040,2421.000000
hand,mature,yes,800.000000,1227.615967,2419.000000
hand,mature,yes,800.000000,1227.291016,2454.000000
hand,mature,yes,800.000000,1226.965942,2485.000000
hand,mature,yes,800.000000,1226.640991,2462.000000
hand,mature,yes,800.000000,1226.317017,2422.000000
hand,mature,yes,800.000000,1225.991943,2451.000000
hand,mature,yes,800.000000,1225.666992,2466.000000
hand,mature,yes,800.000000,1225.342041,2451.000000
hand,mature,yes,800.000000,1225.016968,2418.000000
hand,mature,yes,800.000000,1224.692017,2467.000000
hand,mature,yes,800.000000,1224.366943,2431.000000
hand,mature,yes,800.000000,1224.041992,2430.000000
hand,mature,yes,800.000000,1223.717041,2447.000000
hand,mature,yes,800.000000,1223.392944,2460.000000
hand,mature,yes,800.000000,1223.067993,2441.000000
hand,mature,yes,800.000000,1222.743042,2457.000000
hand,mature,yes,800.000000,1222.417969,2428.000000
hand,mature,yes,800.000000,1222.093018,2409.000000
hand,mature,yes,800.000000,1221.767944,2427.000000
hand,mature,yes,800.000000,1221.442993,2419.000000
hand,mature,yes,800.000000,1221.118042,2426.000000
hand,mature,yes,800.000000,1220.793945,2420.000000
hand,mature,yes,800.000000,1220.468994,2448.000000
hand,mature,yes,800.000000,1220.144043,2439.000000
hand,mature,yes,800.000000,1219.818970,2398.000000
hand,mature,yes,800.000000,1219.494019,2444.000000
hand,mature,yes,800.000000,1219.168945,2418.000000
hand,mature,yes,800.000000,1218.843994,2455.000000
hand,mature,yes,800.000000,1218.519043,2385.000000
hand,mature,yes,800.000000,1218.193970,2428.000000
hand,mature,yes,800.000000,1217.869995,2403.000000
hand,mature,yes,800.000000,1217.545044,2424.000000
hand,mature,yes,800.000000,1217.219971,2443.000000
hand,mature,yes,800.000000,1216.895020,2435.000000
hand,mature,yes,800.000000,1216.569946,2417.000000
hand,mature,yes,800.000000,1216.244995,2425.000000
hand,mature,yes,800.000000,1215.920044,2410.000000
hand,mature,yes,800.000000,1215.594971,2448.000000
hand,mature,yes,800.000000,1215.270996,2432.000000
hand,mature,yes,800.000000,1214.946045,2414.000000
hand,mature,yes,800.000000,1214.620972,2434.000000
hand,mature,yes,800.000000,1214.296021,2471.000000
hand,mature,yes,800.000000,1213.970947,2482.000000
hand,mature,yes,800.000000,1213.645996,2458.000000
hand,mature,yes,800.000000,1213.321045,2451.000000
hand,mature,yes,800.000000,1212.995972,2437.000000
hand,mature,yes,800.000000,1212.671021,2440.000000
hand,mature,yes,800.000000,1212.347046,2398.000000
hand,mature,yes,800.000000,1212.021973,2433.000000
hand,mature,yes,800.000000,1211.697021,2457.000000
hand,mature,yes,800.000000,1211.371948,2414.000000
hand,mature,yes,800.000000,1211.046997,2442.000000
hand,mature,yes,800.000000,1210.722046,2461.000000
hand,mature,yes,800.000000,1210.396973,2444.000000
hand,mature,yes,800.000000,1210.072021,2433.000000
hand,mature,yes,800.000000,1209.746948,2422.000000
hand,mature,yes,800.000000,1209.422974,2416.000000
hand,mature,yes,800.000000,1209.098022,2458.000000
hand,mature,yes,800.000000,1208.772949,2441.000000
hand,mature,yes,800.000000,1208.447998,2451.000000
hand,mature,yes,800.000000,1208.123047,2440.000000
hand,mature,yes,800.000000,1207.797974,2459.000000
hand,mature,yes,800.000000,1207.473022,2415.000000
hand,mature,yes,800.000000,1207.147949,2456.000000
hand,mature,yes,800.000000,1206.823975,2448.000000
hand,mature,yes,800.000000,1206.499023,2429.000000
hand,mature,yes,800.000000,1206.173950,2431.000000
hand,mature,yes,800.000000,1205.848999,2414.000000
hand,mature,yes,800.000000,1205.524048,2425.000000
hand,mature,yes,800.000000,1205.198975,2450.000000
hand,mature,yes,800.000000,1204.874023,2416.000000
hand,mature,yes,800.000000,1204.548950,2480.000000
hand,mature,yes,800.000000,1204.223999,2488.000000
hand,mature,yes,800.000000,1203.900024,2406.000000
hand,mature,yes,800.000000,1203.574951,2421.000000
hand,mature,yes,800.000000,1203.250000,2450.000000
hand,mature,yes,800.000000,1202.925049,2400.000000
hand,mature,yes,800.000000,1202.599976,2438.000000
hand,mature,yes,800.000000,1202.275024,2433.000000
hand,mature,yes,800.000000,1201.949951,2458.000000
hand,mature,yes,800.000000,1201.625000,2458.000000
hand,mature,yes,800.000000,1201.301025,2431.000000
hand,mature,yes,800.000000,1200.975952,2428.000000
