Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
curb_concrete,mature,yes,400.000000,1233.788940,3118.000000
curb_concrete,mature,yes,400.000000,1233.463989,3104.000000
curb_concrete,mature,yes,400.000000,1233.139038,3005.000000
curb_concrete,mature,yes,400.000000,1232.813965,2977.000000
curb_concrete,mature,yes,400.000000,1232.489014,2932.000000
curb_concrete,mature,yes,400.000000,1232.163940,2981.000000
curb_concrete,mature,yes,400.000000,1231.839966,2992.000000
curb_concrete,mature,yes,400.000000,1231.515015,2978.000000
curb_concrete,mature,yes,400.000000,1231.189941,2982.000000
curb_concrete,mature,yes,400.000000,1230.864990,2992.000000
curb_concrete,mature,yes,400.000000,1230.540039,2979.000000
curb_concrete,mature,yes,400.000000,1230.214966,2981.000000
curb_concrete,mature,yes,400.000000,1229.890015,3011.000000
curb_concrete,mature,yes,400.000000,1229.564941,2988.000000
curb_concrete,mature,yes,400.000000,1229.239990,2977.000000
curb_concrete,mature,yes,400.000000,1228.916016,2955.000000
curb_concrete,mature,yes,400.000000,1228.590942,2981.000000
curb_concrete,mature,yes,400.000000,1228.265991,3026.000000
curb_concrete,mature,yes,400.000000,1227.941040,3045.000000
curb_concrete,mature,yes,400.000000,1227.615967,3017.000000
curb_concrete,mature,yes,400.000000,1227.291016,2981.000000
curb_concrete,mature,yes,400.000000,1226.965942,3006.000000
curb_concrete,mature,yes,400.000000,1226.640991,3000.000000
curb_concrete,mature,yes,400.000000,1226.317017,2984.000000
curb_concrete,mature,yes,400.000000,1225.991943,3009.000000
curb_concrete,mature,yes,400.000000,1225.666992,3004.000000
curb_concrete,mature,yes,400.000000,1225.342041,2973.000000
curb_concrete,mature,yes,400.000000,1225.016968,2987.000000
curb_concrete,mature,yes,400.000000,1224.692017,3011.000000
curb_concrete,mature,yes,400.000000,1224.366943,2958.000000
curb_concrete,mature,yes,400.000000,1224.041992,2958.000000
curb_concrete,mature,yes,400.000000,1223.717041,3009.000000
