Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
cardboard,young,yes,400.000000,1233.788940,2602.000000
cardboard,young,yes,400.000000,1233.463989,2600.000000
cardboard,young,yes,400.000000,1233.139038,2597.000000
cardboard,young,yes,400.000000,1232.813965,2613.000000
cardboard,young,yes,400.000000,1232.489014,2608.000000
cardboard,young,yes,400.000000,1232.163940,2594.000000
cardboard,young,yes,400.000000,1231.839966,2609.000000
cardboard,young,yes,400.000000,1231.515015,2600.000000
cardboard,young,yes,400.000000,1231.189941,2639.000000
cardboard,young,yes,400.000000,1230.864990,2637.000000
cardboard,young,yes,400.000000,1230.540039,2595.000000
cardboard,young,yes,400.000000,1230.214966,2622.000000
cardboard,young,yes,400.000000,1229.890015,2591.000000
cardboard,young,yes,400.000000,1229.564941,2619.000000
cardboard,young,yes,400.000000,1229.239990,2630.000000
cardboard,young,yes,400.000000,1228.916016,2589.000000
cardboard,young,yes,400.000000,1228.590942,2567.000000
cardboard,young,yes,400.000000,1228.265991,2605.000000
cardboard,young,yes,400.000000,1227.941040,2599.000000
cardboard,young,yes,400.000000,1227.615967,2633.000000
cardboard,young,yes,400.000000,1227.291016,2627.000000
cardboard,young,yes,400.000000,1226.965942,2661.000000
cardboard,young,yes,400.000000,1226.640991,2632.000000
cardboard,young,yes,400.000000,1226.317017,2610.000000
cardboard,young,yes,400.000000,1225.991943,2625.000000
cardboard,young,yes,400.000000,1225.666992,2632.000000
cardboard,young,yes,400.000000,1225.342041,2622.000000
cardboard,young,yes,400.000000,1225.016968,2652.000000
cardboard,young,yes,400.000000,1224.692017,2625.000000
cardboard,young,yes,400.000000,1224.366943,2606.000000
cardboard,young,yes,400.000000,1224.041992,2597.000000
cardboard,young,yes,400.000000,1223.717041,2668.000000
cardboard,young,yes,400.000000,1223.392944,2666.000000
cardboard,young,yes,400.000000,1223.067993,2617.000000
cardboard,young,yes,400.000000,1222.743042,2665.000000
cardboard,young,yes,400.000000,1222.417969,2601.000000
