Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
stickynote,young,no,0.000000,1233.788940,55.375000
stickynote,young,no,0.000000,1233.463989,43.374512
stickynote,young,no,0.000000,1233.139038,0.000000
stickynote,young,no,0.000000,1232.813965,0.000000
stickynote,young,no,0.000000,1232.489014,0.372803
stickynote,young,no,0.000000,1232.163940,0.000000
stickynote,young,no,0.000000,1231.839966,0.000000
stickynote,young,no,0.000000,1231.515015,0.000000
stickynote,young,no,0.000000,1231.189941,0.000000
stickynote,young,no,0.000000,1230.864990,0.000000
stickynote,young,no,0.000000,1230.540039,0.000000
stickynote,young,no,0.000000,1230.214966,0.000000
stickynote,young,no,0.000000,1229.890015,0.000000
stickynote,young,no,0.000000,1229.564941,4.367676
stickynote,young,no,0.000000,1229.239990,4.367188
stickynote,young,no,0.000000,1228.916016,0.000000
stickynote,young,no,0.000000,1228.590942,0.000000
stickynote,young,no,0.000000,1228.265991,0.000000
stickynote,young,no,0.000000,1227.941040,0.000000
stickynote,young,no,0.000000,1227.615967,5.364258
stickynote,young,no,0.000000,1227.291016,12.363770
stickynote,young,no,0.000000,1226.965942,9.363037
stickynote,young,no,0.000000,1226.640991,22.362549
stickynote,young,no,0.000000,1226.317017,26.362061
stickynote,young,no,0.000000,1225.991943,18.361328
stickynote,young,no,0.000000,1225.666992,8.360840
stickynote,young,no,0.000000,1225.342041,8.360352
stickynote,young,no,0.000000,1225.016968,4.359619
stickynote,young,no,0.000000,1224.692017,6.359131
stickynote,young,no,0.000000,1224.366943,8.358643
stickynote,young,no,0.000000,1224.041992,0.000000
stickynote,young,no,0.000000,1223.717041,0.000000
stickynote,young,no,0.000000,1223.392944,0.000000
stickynote,young,no,0.000000,1223.067993,19.356445
stickynote,young,no,0.000000,1222.743042,14.355713
stickynote,young,no,0.000000,1222.417969,1.355225
stickynote,young,no,0.000000,1222.093018,0.000000
stickynote,young,no,0.000000,1221.767944,0.000000
stickynote,young,no,0.000000,1221.442993,10.353516
stickynote,young,no,0.000000,1221.118042,0.353027
stickynote,young,no,0.000000,1220.793945,3.352295
stickynote,young,no,0.000000,1220.468994,19.351807
stickynote,young,no,0.000000,1220.144043,32.351318
stickynote,young,no,0.000000,1219.818970,28.350586
stickynote,young,no,0.000000,1219.494019,20.350098
stickynote,young,no,0.000000,1219.168945,13.349609
stickynote,young,no,0.000000,1218.843994,25.348877
stickynote,young,no,0.000000,1218.519043,19.348389
stickynote,young,no,0.000000,1218.193970,17.347900
stickynote,young,no,0.000000,1217.869995,14.347168
stickynote,young,no,0.000000,1217.545044,7.346680
stickynote,young,no,0.000000,1217.219971,2.346191
stickynote,young,no,0.000000,1216.895020,18.345703
stickynote,young,no,0.000000,1216.569946,7.344971
stickynote,young,no,0.000000,1216.244995,18.344482
stickynote,young,no,0.000000,1215.920044,11.343994
stickynote,young,no,0.000000,1215.594971,13.343262
stickynote,young,no,0.000000,1215.270996,17.342773
stickynote,young,no,0.000000,1214.946045,2.342285
stickynote,young,no,0.000000,1214.620972,2.341553
stickynote,young,no,0.000000,1214.296021,8.341064
stickynote,young,no,0.000000,1213.970947,17.340576
stickynote,young,no,0.000000,1213.645996,16.339844
stickynote,young,no,0.000000,1213.321045,2.339355
stickynote,young,no,0.000000,1212.995972,19.338867
stickynote,young,no,0.000000,1212.671021,5.338135
stickynote,young,no,0.000000,1212.347046,10.337646
stickynote,young,no,0.000000,1212.021973,24.337158
stickynote,young,no,0.000000,1211.697021,13.336426
stickynote,young,no,0.000000,1211.371948,3.335938
