Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
jeans,young,yes,0.000000,1233.788940,41.375000
jeans,young,yes,0.000000,1233.463989,23.374756
jeans,young,yes,0.000000,1233.139038,0.000000
jeans,young,yes,0.000000,1232.813965,0.000000
jeans,young,yes,0.000000,1232.489014,17.373779
jeans,young,yes,0.000000,1232.163940,0.373535
jeans,young,yes,0.000000,1231.839966,0.000000
jeans,young,yes,0.000000,1231.515015,10.373047
jeans,young,yes,0.000000,1231.189941,4.372559
jeans,young,yes,0.000000,1230.864990,0.000000
jeans,young,yes,0.000000,1230.540039,0.000000
jeans,young,yes,0.000000,1230.214966,0.000000
jeans,young,yes,0.000000,1229.890015,0.000000
jeans,young,yes,0.000000,1229.564941,0.000000
jeans,young,yes,0.000000,1229.239990,0.000000
jeans,young,yes,0.000000,1228.916016,0.000000
jeans,young,yes,0.000000,1228.590942,11.370361
jeans,young,yes,0.000000,1228.265991,27.369873
jeans,young,yes,0.000000,1227.941040,29.369629
jeans,young,yes,0.000000,1227.615967,12.369385
jeans,young,yes,0.000000,1227.291016,31.369141
jeans,young,yes,0.000000,1226.965942,12.368896
jeans,young,yes,0.000000,1226.640991,0.000000
jeans,young,yes,0.000000,1226.317017,1.368164
jeans,young,yes,0.000000,1225.991943,6.367920
jeans,young,yes,0.000000,1225.666992,6.367676
jeans,young,yes,0.000000,1225.342041,11.367432
jeans,young,yes,0.000000,1225.016968,16.366943
jeans,young,yes,0.000000,1224.692017,23.366699
jeans,young,yes,0.000000,1224.366943,19.366455
jeans,young,yes,0.000000,1224.041992,0.000000
jeans,young,yes,0.000000,1223.717041,0.000000
jeans,young,yes,0.000000,1223.392944,14.365479
jeans,young,yes,0.000000,1223.067993,13.365234
jeans,young,yes,0.000000,1222.743042,4.364990
jeans,young,yes,0.000000,1222.417969,9.364746
jeans,young,yes,0.000000,1222.093018,20.364502
jeans,young,yes,0.000000,1221.767944,2.364014
jeans,young,yes,0.000000,1221.442993,11.363770
jeans,young,yes,0.000000,1221.118042,9.363525
jeans,young,yes,0.000000,1220.793945,0.000000
jeans,young,yes,0.000000,1220.468994,0.000000
jeans,young,yes,0.000000,1220.144043,8.362549
jeans,young,yes,0.000000,1219.818970,11.362305
jeans,young,yes,0.000000,1219.494019,0.000000
jeans,young,yes,0.000000,1219.168945,23.361816
jeans,young,yes,0.000000,1218.843994,24.361328
jeans,young,yes,0.000000,1218.519043,19.361084
jeans,young,yes,0.000000,1218.193970,37.360840
jeans,young,yes,0.000000,1217.869995,35.360596
jeans,young,yes,0.000000,1217.545044,17.360352
jeans,young,yes,0.000000,1217.219971,9.359863
jeans,young,yes,0.000000,1216.895020,9.359619
jeans,young,yes,0.000000,1216.569946,3.359375
jeans,young,yes,0.000000,1216.244995,28.359131
jeans,young,yes,0.000000,1215.920044,25.358887
jeans,young,yes,0.000000,1215.594971,6.358398
jeans,young,yes,0.000000,1215.270996,27.358154
jeans,young,yes,0.000000,1214.946045,14.357910
jeans,young,yes,0.000000,1214.620972,0.000000
jeans,young,yes,0.000000,1214.296021,6.357422
jeans,young,yes,0.000000,1213.970947,11.356934
jeans,young,yes,0.000000,1213.645996,14.356689
jeans,young,yes,0.000000,1213.321045,8.356445
jeans,young,yes,0.000000,1212.995972,14.356201
jeans,young,yes,0.000000,1212.671021,22.355713
jeans,young,yes,0.000000,1212.347046,20.355469
jeans,young,yes,0.000000,1212.021973,28.355225
jeans,young,yes,0.000000,1211.697021,29.354980
jeans,young,yes,0.000000,1211.371948,23.354736
jeans,young,yes,0.000000,1211.046997,4.354248
jeans,young,yes,0.000000,1210.722046,11.354004
jeans,young,yes,0.000000,1210.396973,21.353760
jeans,young,yes,0.000000,1210.072021,8.353516
jeans,young,yes,0.000000,1209.746948,34.353271
jeans,young,yes,0.000000,1209.422974,44.352783
jeans,young,yes,0.000000,1209.098022,36.352539
jeans,young,yes,0.000000,1208.772949,6.352295
jeans,young,yes,0.000000,1208.447998,0.000000
jeans,young,yes,0.000000,1208.123047,0.000000
jeans,young,yes,0.000000,1207.797974,11.351318
jeans,young,yes,0.000000,1207.473022,18.351074
jeans,young,yes,0.000000,1207.147949,28.350830
jeans,young,yes,0.000000,1206.823975,28.350586
jeans,young,yes,0.000000,1206.499023,18.350342
jeans,young,yes,0.000000,1206.173950,0.000000
jeans,young,yes,0.000000,1205.848999,22.349609
jeans,young,yes,0.000000,1205.524048,30.349365
jeans,young,yes,0.000000,1205.198975,17.349121
jeans,young,yes,0.000000,1204.874023,9.348633
jeans,young,yes,0.000000,1204.548950,0.000000
jeans,young,yes,0.000000,1204.223999,13.348145
jeans,young,yes,0.000000,1203.900024,5.347900
jeans,young,yes,0.000000,1203.574951,10.347656
jeans,young,yes,0.000000,1203.250000,10.347168
jeans,young,yes,0.000000,1202.925049,11.346924
jeans,young,yes,0.000000,1202.599976,15.346680
jeans,young,yes,0.000000,1202.275024,19.346436
jeans,young,yes,0.000000,1201.949951,22.346191
jeans,young,yes,0.000000,1201.625000,0.000000
jeans,young,yes,0.000000,1201.301025,12.345459
jeans,young,yes,0.000000,1200.975952,12.345215
jeans,young,yes,0.000000,1200.651001,17.344971
jeans,young,yes,0.000000,1200.326050,36.344727
jeans,young,yes,0.000000,1200.000977,43.344238
jeans,young,yes,0.000000,1199.676025,43.343994
jeans,young,yes,0.000000,1199.350952,21.343750
jeans,young,yes,0.000000,1199.026001,20.343506
jeans,young,yes,0.000000,1198.701050,28.343262
jeans,young,yes,0.000000,1198.376953,25.342773
jeans,young,yes,0.000000,1198.052002,8.342529
jeans,young,yes,0.000000,1197.727051,11.342285
jeans,young,yes,0.000000,1197.401978,22.342041
jeans,young,yes,0.000000,1197.077026,35.341797
jeans,young,yes,0.000000,1196.751953,30.341309
jeans,young,yes,0.000000,1196.427002,32.341064
jeans,young,yes,0.000000,1196.102051,34.340820
jeans,young,yes,0.000000,1195.777954,22.340576
jeans,young,yes,0.000000,1195.453003,22.340088
jeans,young,yes,0.000000,1195.128052,26.339844
jeans,young,yes,0.000000,1194.802979,23.339600
jeans,young,yes,0.000000,1194.478027,26.339355
jeans,young,yes,0.000000,1194.152954,26.339111
jeans,young,yes,0.000000,1193.828003,35.338623
jeans,young,yes,0.000000,1193.503052,24.338379
jeans,young,yes,0.000000,1193.177979,5.338135
jeans,young,yes,0.000000,1192.854004,15.337891
jeans,young,yes,0.000000,1192.529053,35.337646
jeans,young,yes,0.000000,1192.203979,17.337158
jeans,young,yes,0.000000,1191.879028,4.336914
jeans,young,yes,0.000000,1191.553955,7.336670
jeans,young,yes,0.000000,1191.229004,5.336426
jeans,young,yes,0.000000,1190.904053,2.336182
jeans,young,yes,0.000000,1190.578979,22.335693
jeans,young,yes,0.000000,1190.255005,31.335449
jeans,young,yes,0.000000,1189.930054,31.335205
jeans,young,yes,0.000000,1189.604980,30.334961
jeans,young,yes,0.000000,1189.280029,7.334717
jeans,young,yes,0.000000,1188.954956,5.334229
jeans,young,yes,0.000000,1188.630005,20.333984
jeans,young,yes,0.000000,1188.305054,17.333740
jeans,young,yes,0.000000,1187.979980,10.333496
jeans,young,yes,0.000000,1187.655029,24.333008
jeans,young,yes,0.000000,1187.331055,24.332764
jeans,young,yes,0.000000,1187.005981,21.332520
jeans,young,yes,0.000000,1186.681030,6.332275
jeans,young,yes,0.000000,1186.355957,9.332031
jeans,young,yes,0.000000,1186.031006,10.331543
jeans,young,yes,0.000000,1185.706055,24.331299
jeans,young,yes,0.000000,1185.380981,11.331055
jeans,young,yes,0.000000,1185.056030,2.330811
jeans,young,yes,0.000000,1184.732056,12.330566
jeans,young,yes,0.000000,1184.406982,23.330078
jeans,young,yes,0.000000,1184.082031,27.329834
jeans,young,yes,0.000000,1183.756958,38.329590
jeans,young,yes,0.000000,1183.432007,30.329346
jeans,young,yes,0.000000,1183.107056,12.329102
jeans,young,yes,0.000000,1182.781982,5.328613
jeans,young,yes,0.000000,1182.457031,1.328369
jeans,young,yes,0.000000,1182.131958,22.328125
jeans,young,yes,0.000000,1181.807983,11.327881
jeans,young,yes,0.000000,1181.483032,5.327637
jeans,young,yes,0.000000,1181.157959,13.327148
jeans,young,yes,0.000000,1180.833008,22.326904
jeans,young,yes,0.000000,1180.508057,29.326660
jeans,young,yes,0.000000,1180.182983,35.326416
jeans,young,yes,0.000000,1179.858032,4.325928
jeans,young,yes,0.000000,1179.532959,11.325684
jeans,young,yes,0.000000,1179.208984,21.325439
jeans,young,yes,0.000000,1178.884033,31.325195
jeans,young,yes,0.000000,1178.558960,24.324951
jeans,young,yes,0.000000,1178.234009,13.324463
jeans,young,yes,0.000000,1177.909058,30.324219
jeans,young,yes,0.000000,1177.583984,33.323975
jeans,young,yes,0.000000,1177.259033,20.323730
jeans,young,yes,0.000000,1176.933960,15.323486
jeans,young,yes,0.000000,1176.609009,14.322998
jeans,young,yes,0.000000,1176.285034,2.322754
jeans,young,yes,0.000000,1175.959961,0.322510
jeans,young,yes,0.000000,1175.635010,2.322266
jeans,young,yes,0.000000,1175.310059,6.322021
jeans,young,yes,0.000000,1174.984985,12.321533
jeans,young,yes,0.000000,1174.660034,4.321289
jeans,young,yes,0.000000,1174.334961,13.321045
jeans,young,yes,0.000000,1174.010010,24.320801
jeans,young,yes,0.000000,1173.686035,17.320557
jeans,young,yes,0.000000,1173.360962,19.320068
jeans,young,yes,0.000000,1173.036011,0.000000
jeans,young,yes,0.000000,1172.711060,0.000000
jeans,young,yes,0.000000,1172.385986,10.319336
jeans,young,yes,0.000000,1172.061035,12.318848
jeans,young,yes,0.000000,1171.735962,27.318604
jeans,young,yes,0.000000,1171.411011,25.318359
jeans,young,yes,0.000000,1171.086060,23.318115
jeans,young,yes,0.000000,1170.761963,28.317871
jeans,young,yes,0.000000,1170.437012,14.317383
jeans,young,yes,0.000000,1170.112061,6.317139
