Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
table,young,yes,0.000000,1233.788940,34.750000
table,young,yes,0.000000,1233.463989,22.749023
table,young,yes,0.000000,1233.139038,0.000000
table,young,yes,0.000000,1232.813965,1.746826
table,young,yes,0.000000,1232.489014,0.745605
table,young,yes,0.000000,1232.163940,0.000000
table,young,yes,0.000000,1231.839966,0.000000
table,young,yes,0.000000,1231.515015,0.000000
table,young,yes,0.000000,1231.189941,0.000000
table,young,yes,0.000000,1230.864990,0.000000
table,young,yes,0.000000,1230.540039,2.739258
table,young,yes,0.000000,1230.214966,0.000000
table,young,yes,0.000000,1229.890015,0.000000
table,young,yes,0.000000,1229.564941,3.736084
table,young,yes,0.000000,1229.239990,10.734863
table,young,yes,0.000000,1228.916016,0.000000
table,young,yes,0.000000,1228.590942,0.000000
table,young,yes,0.000000,1228.265991,0.000000
table,young,yes,0.000000,1227.941040,0.000000
table,young,yes,0.000000,1227.615967,4.729492
table,young,yes,0.000000,1227.291016,6.728516
table,young,yes,0.000000,1226.965942,0.000000
table,young,yes,0.000000,1226.640991,0.000000
table,young,yes,0.000000,1226.317017,3.725342
table,young,yes,0.000000,1225.991943,25.724365
table,young,yes,0.000000,1225.666992,20.723145
table,young,yes,0.000000,1225.342041,17.722168
table,young,yes,0.000000,1225.016968,10.720947
table,young,yes,0.000000,1224.692017,0.000000
table,young,yes,0.000000,1224.366943,0.000000
table,young,yes,0.000000,1224.041992,13.717773
table,young,yes,0.000000,1223.717041,8.716797
table,young,yes,0.000000,1223.392944,2.715576
table,young,yes,0.000000,1223.067993,0.000000
table,young,yes,0.000000,1222.743042,0.713623
table,young,yes,0.000000,1222.417969,0.712402
table,young,yes,0.000000,1222.093018,0.000000
table,young,yes,0.000000,1221.767944,8.710205
table,young,yes,0.000000,1221.442993,8.709229
table,young,yes,0.000000,1221.118042,11.708252
table,young,yes,0.000000,1220.793945,11.707031
table,young,yes,0.000000,1220.468994,24.706055
table,young,yes,0.000000,1220.144043,27.704834
table,young,yes,0.000000,1219.818970,0.703857
table,young,yes,0.000000,1219.494019,0.000000
table,young,yes,0.000000,1219.168945,12.701660
table,young,yes,0.000000,1218.843994,24.700684
table,young,yes,0.000000,1218.519043,22.699463
table,young,yes,0.000000,1218.193970,9.698486
