Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
paper,young,yes,0.000000,1233.788940,72.357178
paper,young,yes,0.000000,1233.463989,62.358154
paper,young,yes,0.000000,1233.139038,0.000000
paper,young,yes,0.000000,1232.813965,6.359863
paper,young,yes,0.000000,1232.489014,0.000000
paper,young,yes,0.000000,1232.163940,0.000000
paper,young,yes,0.000000,1231.839966,0.362305
paper,young,yes,0.000000,1231.515015,0.000000
paper,young,yes,0.000000,1231.189941,0.000000
paper,young,yes,0.000000,1230.864990,0.000000
paper,young,yes,0.000000,1230.540039,0.000000
paper,young,yes,0.000000,1230.214966,0.000000
paper,young,yes,0.000000,1229.890015,0.000000
paper,young,yes,0.000000,1229.564941,0.000000
paper,young,yes,0.000000,1229.239990,0.000000
paper,young,yes,0.000000,1228.916016,0.000000
paper,young,yes,0.000000,1228.590942,0.000000
paper,young,yes,0.000000,1228.265991,0.000000
paper,young,yes,0.000000,1227.941040,13.372559
paper,young,yes,0.000000,1227.615967,21.373535
paper,young,yes,0.000000,1227.291016,2.374268
paper,young,yes,0.000000,1226.965942,0.000000
paper,young,yes,0.000000,1226.640991,0.000000
paper,young,yes,0.000000,1226.317017,0.000000
paper,young,yes,0.000000,1225.991943,10.377686
paper,young,yes,0.000000,1225.666992,12.378662
paper,young,yes,0.000000,1225.342041,8.379395
paper,young,yes,0.000000,1225.016968,28.380371
paper,young,yes,0.000000,1224.692017,12.381104
paper,young,yes,0.000000,1224.366943,0.000000
paper,young,yes,0.000000,1224.041992,0.000000
paper,young,yes,0.000000,1223.717041,0.000000
paper,young,yes,0.000000,1223.392944,11.384521
paper,young,yes,0.000000,1223.067993,8.385498
paper,young,yes,0.000000,1222.743042,5.386230
paper,young,yes,0.000000,1222.417969,10.387207
paper,young,yes,0.000000,1222.093018,6.388184
paper,young,yes,0.000000,1221.767944,3.388916
paper,young,yes,0.000000,1221.442993,20.389893
paper,young,yes,0.000000,1221.118042,12.390625
paper,young,yes,0.000000,1220.793945,3.391602
paper,young,yes,0.000000,1220.468994,0.000000
paper,young,yes,0.000000,1220.144043,0.000000
paper,young,yes,0.000000,1219.818970,20.394043
paper,young,yes,0.000000,1219.494019,9.395020
paper,young,yes,0.000000,1219.168945,3.395752
paper,young,yes,0.000000,1218.843994,21.396729
paper,young,yes,0.000000,1218.519043,12.397461
paper,young,yes,0.000000,1218.193970,11.398438
paper,young,yes,0.000000,1217.869995,3.399170
paper,young,yes,0.000000,1217.545044,3.400146
paper,young,yes,0.000000,1217.219971,0.000000
paper,young,yes,0.000000,1216.895020,3.401855
paper,young,yes,0.000000,1216.569946,21.402588
paper,young,yes,0.000000,1216.244995,25.403564
paper,young,yes,0.000000,1215.920044,2.404297
paper,young,yes,0.000000,1215.594971,0.000000
paper,young,yes,0.000000,1215.270996,8.406006
paper,young,yes,0.000000,1214.946045,15.406982
paper,young,yes,0.000000,1214.620972,6.407715
paper,young,yes,0.000000,1214.296021,5.408691
paper,young,yes,0.000000,1213.970947,13.409424
paper,young,yes,0.000000,1213.645996,20.410400
paper,young,yes,0.000000,1213.321045,0.000000
paper,young,yes,0.000000,1212.995972,0.412109
paper,young,yes,0.000000,1212.671021,8.412842
paper,young,yes,0.000000,1212.347046,1.413818
paper,young,yes,0.000000,1212.021973,0.000000
paper,young,yes,0.000000,1211.697021,14.415527
paper,young,yes,0.000000,1211.371948,24.416504
paper,young,yes,0.000000,1211.046997,35.417236
paper,young,yes,0.000000,1210.722046,35.418213
paper,young,yes,0.000000,1210.396973,19.418945
paper,young,yes,0.000000,1210.072021,0.000000
paper,young,yes,0.000000,1209.746948,0.000000
paper,young,yes,0.000000,1209.422974,17.421631
paper,young,yes,0.000000,1209.098022,18.422363
paper,young,yes,0.000000,1208.772949,0.000000
paper,young,yes,0.000000,1208.447998,3.424072
paper,young,yes,0.000000,1208.123047,0.000000
paper,young,yes,0.000000,1207.797974,0.000000
paper,young,yes,0.000000,1207.473022,15.426758
paper,young,yes,0.000000,1207.147949,29.427490
paper,young,yes,0.000000,1206.823975,25.428467
paper,young,yes,0.000000,1206.499023,0.000000
paper,young,yes,0.000000,1206.173950,5.430176
paper,young,yes,0.000000,1205.848999,26.430908
paper,young,yes,0.000000,1205.524048,14.431885
paper,young,yes,0.000000,1205.198975,0.000000
paper,young,yes,0.000000,1204.874023,4.433594
paper,young,yes,0.000000,1204.548950,4.434326
paper,young,yes,0.000000,1204.223999,25.435303
paper,young,yes,0.000000,1203.900024,20.436035
paper,young,yes,0.000000,1203.574951,11.437012
paper,young,yes,0.000000,1203.250000,7.437744
paper,young,yes,0.000000,1202.925049,6.438721
paper,young,yes,0.000000,1202.599976,7.439453
paper,young,yes,0.000000,1202.275024,9.440430
paper,young,yes,0.000000,1201.949951,0.000000
paper,young,yes,0.000000,1201.625000,0.000000
paper,young,yes,0.000000,1201.301025,12.442871
paper,young,yes,0.000000,1200.975952,11.443848
paper,young,yes,0.000000,1200.651001,3.444580
paper,young,yes,0.000000,1200.326050,8.445557
paper,young,yes,0.000000,1200.000977,4.446533
paper,young,yes,0.000000,1199.676025,5.447266
paper,young,yes,0.000000,1199.350952,16.448242
paper,young,yes,0.000000,1199.026001,20.448975
paper,young,yes,0.000000,1198.701050,22.449951
paper,young,yes,0.000000,1198.376953,25.450684
paper,young,yes,0.000000,1198.052002,31.451660
paper,young,yes,0.000000,1197.727051,16.452393
paper,young,yes,0.000000,1197.401978,0.453369
paper,young,yes,0.000000,1197.077026,3.454102
paper,young,yes,0.000000,1196.751953,24.455078
paper,young,yes,0.000000,1196.427002,18.455811
paper,young,yes,0.000000,1196.102051,6.456787
paper,young,yes,0.000000,1195.777954,4.457520
paper,young,yes,0.000000,1195.453003,24.458496
paper,young,yes,0.000000,1195.128052,25.459229
paper,young,yes,0.000000,1194.802979,22.460205
paper,young,yes,0.000000,1194.478027,25.460938
paper,young,yes,0.000000,1194.152954,17.461914
paper,young,yes,0.000000,1193.828003,8.462646
paper,young,yes,0.000000,1193.503052,19.463623
paper,young,yes,0.000000,1193.177979,5.464355
paper,young,yes,0.000000,1192.854004,0.465332
paper,young,yes,0.000000,1192.529053,14.466064
paper,young,yes,0.000000,1192.203979,35.467041
paper,young,yes,0.000000,1191.879028,27.467773
paper,young,yes,0.000000,1191.553955,2.468750
paper,young,yes,0.000000,1191.229004,4.469482
paper,young,yes,0.000000,1190.904053,6.470459
paper,young,yes,0.000000,1190.578979,28.471191
paper,young,yes,0.000000,1190.255005,34.472168
paper,young,yes,0.000000,1189.930054,21.472900
paper,young,yes,0.000000,1189.604980,9.473877
paper,young,yes,0.000000,1189.280029,0.000000
paper,young,yes,0.000000,1188.954956,0.475586
paper,young,yes,0.000000,1188.630005,9.476562
paper,young,yes,0.000000,1188.305054,23.477295
paper,young,yes,0.000000,1187.979980,21.478271
paper,young,yes,0.000000,1187.655029,30.479004
paper,young,yes,0.000000,1187.331055,15.479980
paper,young,yes,0.000000,1187.005981,13.480713
paper,young,yes,0.000000,1186.681030,0.000000
paper,young,yes,0.000000,1186.355957,10.482422
paper,young,yes,0.000000,1186.031006,12.483398
paper,young,yes,0.000000,1185.706055,11.484131
paper,young,yes,0.000000,1185.380981,13.485107
paper,young,yes,0.000000,1185.056030,12.485840
paper,young,yes,0.000000,1184.732056,9.486816
paper,young,yes,0.000000,1184.406982,20.487549
paper,young,yes,0.000000,1184.082031,19.488525
paper,young,yes,0.000000,1183.756958,12.489258
paper,young,yes,0.000000,1183.432007,2.490234
paper,young,yes,0.000000,1183.107056,0.000000
paper,young,yes,0.000000,1182.781982,18.491943
paper,young,yes,0.000000,1182.457031,3.492676
paper,young,yes,0.000000,1182.131958,4.493652
paper,young,yes,0.000000,1181.807983,30.494385
paper,young,yes,0.000000,1181.483032,28.495361
paper,young,yes,0.000000,1181.157959,35.496094
paper,young,yes,0.000000,1180.833008,27.497070
paper,young,yes,0.000000,1180.508057,0.000000
paper,young,yes,0.000000,1180.182983,10.498779
paper,young,yes,0.000000,1179.858032,5.499512
paper,young,yes,0.000000,1179.532959,8.500488
paper,young,yes,0.000000,1179.208984,20.501221
paper,young,yes,0.000000,1178.884033,23.502197
paper,young,yes,0.000000,1178.558960,16.502930
paper,young,yes,0.000000,1178.234009,3.503906
paper,young,yes,0.000000,1177.909058,13.504883
paper,young,yes,0.000000,1177.583984,25.505615
paper,young,yes,0.000000,1177.259033,30.506592
paper,young,yes,0.000000,1176.933960,2.507324
paper,young,yes,0.000000,1176.609009,0.000000
paper,young,yes,0.000000,1176.285034,0.000000
paper,young,yes,0.000000,1175.959961,3.510010
paper,young,yes,0.000000,1175.635010,30.510742
paper,young,yes,0.000000,1175.310059,24.511719
paper,young,yes,0.000000,1174.984985,25.512451
paper,young,yes,0.000000,1174.660034,12.513428
paper,young,yes,0.000000,1174.334961,0.514160
paper,young,yes,0.000000,1174.010010,0.000000
paper,young,yes,0.000000,1173.686035,0.000000
paper,young,yes,0.000000,1173.360962,16.516846
paper,young,yes,0.000000,1173.036011,0.000000
