Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
white_foam,young,yes,0.000000,1233.788940,67.857178
white_foam,young,yes,0.000000,1233.463989,54.858887
white_foam,young,yes,0.000000,1233.139038,0.000000
white_foam,young,yes,0.000000,1232.813965,24.862061
white_foam,young,yes,0.000000,1232.489014,14.863770
white_foam,young,yes,0.000000,1232.163940,0.000000
white_foam,young,yes,0.000000,1231.839966,0.000000
white_foam,young,yes,0.000000,1231.515015,0.000000
white_foam,young,yes,0.000000,1231.189941,7.870117
white_foam,young,yes,0.000000,1230.864990,2.871826
white_foam,young,yes,0.000000,1230.540039,4.873291
white_foam,young,yes,0.000000,1230.214966,0.000000
white_foam,young,yes,0.000000,1229.890015,0.000000
white_foam,young,yes,0.000000,1229.564941,0.000000
white_foam,young,yes,0.000000,1229.239990,0.000000
white_foam,young,yes,0.000000,1228.916016,0.000000
white_foam,young,yes,0.000000,1228.590942,0.000000
white_foam,young,yes,0.000000,1228.265991,8.884766
white_foam,young,yes,0.000000,1227.941040,12.886230
white_foam,young,yes,0.000000,1227.615967,11.887939
white_foam,young,yes,0.000000,1227.291016,16.889648
white_foam,young,yes,0.000000,1226.965942,15.891113
white_foam,young,yes,0.000000,1226.640991,0.000000
white_foam,young,yes,0.000000,1226.317017,0.000000
white_foam,young,yes,0.000000,1225.991943,12.895996
white_foam,young,yes,0.000000,1225.666992,1.897705
white_foam,young,yes,0.000000,1225.342041,0.000000
white_foam,young,yes,0.000000,1225.016968,2.900879
white_foam,young,yes,0.000000,1224.692017,0.000000
white_foam,young,yes,0.000000,1224.366943,4.904053
white_foam,young,yes,0.000000,1224.041992,24.905762
white_foam,young,yes,0.000000,1223.717041,8.907471
white_foam,young,yes,0.000000,1223.392944,5.908936
white_foam,young,yes,0.000000,1223.067993,5.910645
white_foam,young,yes,0.000000,1222.743042,9.912354
white_foam,young,yes,0.000000,1222.417969,2.913818
white_foam,young,yes,0.000000,1222.093018,0.000000
white_foam,young,yes,0.000000,1221.767944,13.916992
white_foam,young,yes,0.000000,1221.442993,26.918701
white_foam,young,yes,0.000000,1221.118042,10.920410
white_foam,young,yes,0.000000,1220.793945,5.921875
white_foam,young,yes,0.000000,1220.468994,7.923584
white_foam,young,yes,0.000000,1220.144043,3.925293
white_foam,young,yes,0.000000,1219.818970,18.926758
white_foam,young,yes,0.000000,1219.494019,21.928467
white_foam,young,yes,0.000000,1219.168945,5.929932
white_foam,young,yes,0.000000,1218.843994,10.931641
white_foam,young,yes,0.000000,1218.519043,26.933350
white_foam,young,yes,0.000000,1218.193970,9.934814
white_foam,young,yes,0.000000,1217.869995,2.936523
white_foam,young,yes,0.000000,1217.545044,13.938232
white_foam,young,yes,0.000000,1217.219971,0.000000
white_foam,young,yes,0.000000,1216.895020,7.941406
white_foam,young,yes,0.000000,1216.569946,11.943115
white_foam,young,yes,0.000000,1216.244995,13.944580
white_foam,young,yes,0.000000,1215.920044,4.946289
white_foam,young,yes,0.000000,1215.594971,13.947754
white_foam,young,yes,0.000000,1215.270996,6.949463
white_foam,young,yes,0.000000,1214.946045,8.951172
white_foam,young,yes,0.000000,1214.620972,18.952637
white_foam,young,yes,0.000000,1214.296021,6.954346
white_foam,young,yes,0.000000,1213.970947,11.956055
white_foam,young,yes,0.000000,1213.645996,6.957520
white_foam,young,yes,0.000000,1213.321045,0.000000
white_foam,young,yes,0.000000,1212.995972,17.960938
white_foam,young,yes,0.000000,1212.671021,34.962402
