Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
magnolia_bark,young,yes,0.000000,1233.788940,32.875000
magnolia_bark,young,yes,0.000000,1233.463989,24.872559
magnolia_bark,young,yes,0.000000,1233.139038,0.000000
magnolia_bark,young,yes,0.000000,1232.813965,14.867920
magnolia_bark,young,yes,0.000000,1232.489014,17.865723
magnolia_bark,young,yes,0.000000,1232.163940,0.000000
magnolia_bark,young,yes,0.000000,1231.839966,0.861084
magnolia_bark,young,yes,0.000000,1231.515015,0.000000
magnolia_bark,young,yes,0.000000,1231.189941,0.000000
magnolia_bark,young,yes,0.000000,1230.864990,0.000000
magnolia_bark,young,yes,0.000000,1230.540039,0.000000
magnolia_bark,young,yes,0.000000,1230.214966,0.000000
magnolia_bark,young,yes,0.000000,1229.890015,0.000000
magnolia_bark,young,yes,0.000000,1229.564941,0.000000
magnolia_bark,young,yes,0.000000,1229.239990,0.000000
magnolia_bark,young,yes,0.000000,1228.916016,0.000000
magnolia_bark,young,yes,0.000000,1228.590942,0.000000
magnolia_bark,young,yes,0.000000,1228.265991,13.835449
magnolia_bark,young,yes,0.000000,1227.941040,22.833252
magnolia_bark,young,yes,0.000000,1227.615967,10.830811
magnolia_bark,young,yes,0.000000,1227.291016,17.828613
magnolia_bark,young,yes,0.000000,1226.965942,20.826172
magnolia_bark,young,yes,0.000000,1226.640991,4.823730
magnolia_bark,young,yes,0.000000,1226.317017,14.821533
magnolia_bark,young,yes,0.000000,1225.991943,20.819092
magnolia_bark,young,yes,0.000000,1225.666992,4.816895
magnolia_bark,young,yes,0.000000,1225.342041,10.814453
magnolia_bark,young,yes,0.000000,1225.016968,25.812256
magnolia_bark,young,yes,0.000000,1224.692017,20.809814
magnolia_bark,young,yes,0.000000,1224.366943,0.000000
magnolia_bark,young,yes,0.000000,1224.041992,4.805176
magnolia_bark,young,yes,0.000000,1223.717041,15.802979
magnolia_bark,young,yes,0.000000,1223.392944,9.800537
magnolia_bark,young,yes,0.000000,1223.067993,15.798340
magnolia_bark,young,yes,0.000000,1222.743042,10.795898
magnolia_bark,young,yes,0.000000,1222.417969,0.793701
magnolia_bark,young,yes,0.000000,1222.093018,18.791260
magnolia_bark,young,yes,0.000000,1221.767944,20.789062
magnolia_bark,young,yes,0.000000,1221.442993,1.786621
magnolia_bark,young,yes,0.000000,1221.118042,14.784424
magnolia_bark,young,yes,0.000000,1220.793945,23.781982
magnolia_bark,young,yes,0.000000,1220.468994,15.779785
magnolia_bark,young,yes,0.000000,1220.144043,22.777344
magnolia_bark,young,yes,0.000000,1219.818970,23.774902
magnolia_bark,young,yes,0.000000,1219.494019,17.772705
magnolia_bark,young,yes,0.000000,1219.168945,20.770264
magnolia_bark,young,yes,0.000000,1218.843994,29.768066
magnolia_bark,young,yes,0.000000,1218.519043,39.765625
magnolia_bark,young,yes,0.000000,1218.193970,23.763428
magnolia_bark,young,yes,0.000000,1217.869995,18.760986
magnolia_bark,young,yes,0.000000,1217.545044,20.758789
magnolia_bark,young,yes,0.000000,1217.219971,9.756348
magnolia_bark,young,yes,0.000000,1216.895020,8.754150
magnolia_bark,young,yes,0.000000,1216.569946,5.751709
magnolia_bark,young,yes,0.000000,1216.244995,13.749512
magnolia_bark,young,yes,0.000000,1215.920044,25.747070
magnolia_bark,young,yes,0.000000,1215.594971,27.744873
magnolia_bark,young,yes,0.000000,1215.270996,26.742432
magnolia_bark,young,yes,0.000000,1214.946045,7.740234
magnolia_bark,young,yes,0.000000,1214.620972,13.737793
