Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
magnolia_leaf,mature,yes,400.000000,1233.788940,2884.000000
magnolia_leaf,mature,yes,400.000000,1233.463989,2880.000000
magnolia_leaf,mature,yes,400.000000,1233.139038,2909.000000
magnolia_leaf,mature,yes,400.000000,1232.813965,2888.000000
magnolia_leaf,mature,yes,400.000000,1232.489014,2869.000000
magnolia_leaf,mature,yes,400.000000,1232.163940,2872.000000
magnolia_leaf,mature,yes,400.000000,1231.839966,2879.000000
magnolia_leaf,mature,yes,400.000000,1231.515015,2804.000000
magnolia_leaf,mature,yes,400.000000,1231.189941,2846.000000
magnolia_leaf,mature,yes,400.000000,1230.864990,2822.000000
magnolia_leaf,mature,yes,400.000000,1230.540039,2846.000000
magnolia_leaf,mature,yes,400.000000,1230.214966,2878.000000
magnolia_leaf,mature,yes,400.000000,1229.890015,2893.000000
magnolia_leaf,mature,yes,400.000000,1229.564941,2882.000000
magnolia_leaf,mature,yes,400.000000,1229.239990,2902.000000
magnolia_leaf,mature,yes,400.000000,1228.916016,2863.000000
magnolia_leaf,mature,yes,400.000000,1228.590942,2876.000000
magnolia_leaf,mature,yes,400.000000,1228.265991,2881.000000
magnolia_leaf,mature,yes,400.000000,1227.941040,2874.000000
magnolia_leaf,mature,yes,400.000000,1227.615967,2846.000000
magnolia_leaf,mature,yes,400.000000,1227.291016,2870.000000
magnolia_leaf,mature,yes,400.000000,1226.965942,2844.000000
magnolia_leaf,mature,yes,400.000000,1226.640991,2851.000000
magnolia_leaf,mature,yes,400.000000,1226.317017,2870.000000
magnolia_leaf,mature,yes,400.000000,1225.991943,2903.000000
magnolia_leaf,mature,yes,400.000000,1225.666992,2935.000000
magnolia_leaf,mature,yes,400.000000,1225.342041,2854.000000
magnolia_leaf,mature,yes,400.000000,1225.016968,2863.000000
magnolia_leaf,mature,yes,400.000000,1224.692017,2897.000000
magnolia_leaf,mature,yes,400.000000,1224.366943,2876.000000
magnolia_leaf,mature,yes,400.000000,1224.041992,2901.000000
magnolia_leaf,mature,yes,400.000000,1223.717041,2912.000000
magnolia_leaf,mature,yes,400.000000,1223.392944,2908.000000
magnolia_leaf,mature,yes,400.000000,1223.067993,2869.000000
magnolia_leaf,mature,yes,400.000000,1222.743042,2896.000000
magnolia_leaf,mature,yes,400.000000,1222.417969,2819.000000
magnolia_leaf,mature,yes,400.000000,1222.093018,2855.000000
magnolia_leaf,mature,yes,400.000000,1221.767944,2844.000000
magnolia_leaf,mature,yes,400.000000,1221.442993,2857.000000
magnolia_leaf,mature,yes,400.000000,1221.118042,2913.000000
magnolia_leaf,mature,yes,400.000000,1220.793945,2868.000000
magnolia_leaf,mature,yes,400.000000,1220.468994,2860.000000
magnolia_leaf,mature,yes,400.000000,1220.144043,2897.000000
magnolia_leaf,mature,yes,400.000000,1219.818970,2867.000000
magnolia_leaf,mature,yes,400.000000,1219.494019,2839.000000
magnolia_leaf,mature,yes,400.000000,1219.168945,2818.000000
magnolia_leaf,mature,yes,400.000000,1218.843994,2925.000000
magnolia_leaf,mature,yes,400.000000,1218.519043,2878.000000
magnolia_leaf,mature,yes,400.000000,1218.193970,2864.000000
magnolia_leaf,mature,yes,400.000000,1217.869995,2902.000000
magnolia_leaf,mature,yes,400.000000,1217.545044,2863.000000
magnolia_leaf,mature,yes,400.000000,1217.219971,2860.000000
magnolia_leaf,mature,yes,400.000000,1216.895020,2856.000000
magnolia_leaf,mature,yes,400.000000,1216.569946,2883.000000
magnolia_leaf,mature,yes,400.000000,1216.244995,2852.000000
magnolia_leaf,mature,yes,400.000000,1215.920044,2844.000000
magnolia_leaf,mature,yes,400.000000,1215.594971,2868.000000
magnolia_leaf,mature,yes,400.000000,1215.270996,2904.000000
magnolia_leaf,mature,yes,400.000000,1214.946045,2814.000000
magnolia_leaf,mature,yes,400.000000,1214.620972,2845.000000
magnolia_leaf,mature,yes,400.000000,1214.296021,2867.000000
magnolia_leaf,mature,yes,400.000000,1213.970947,2852.000000
magnolia_leaf,mature,yes,400.000000,1213.645996,2857.000000
magnolia_leaf,mature,yes,400.000000,1213.321045,2841.000000
magnolia_leaf,mature,yes,400.000000,1212.995972,2816.000000
magnolia_leaf,mature,yes,400.000000,1212.671021,2838.000000
magnolia_leaf,mature,yes,400.000000,1212.347046,2856.000000
magnolia_leaf,mature,yes,400.000000,1212.021973,2894.000000
magnolia_leaf,mature,yes,400.000000,1211.697021,2887.000000
magnolia_leaf,mature,yes,400.000000,1211.371948,2862.000000
magnolia_leaf,mature,yes,400.000000,1211.046997,2874.000000
magnolia_leaf,mature,yes,400.000000,1210.722046,2836.000000
magnolia_leaf,mature,yes,400.000000,1210.396973,2880.000000
magnolia_leaf,mature,yes,400.000000,1210.072021,2872.000000
magnolia_leaf,mature,yes,400.000000,1209.746948,2855.000000
magnolia_leaf,mature,yes,400.000000,1209.422974,2861.000000
magnolia_leaf,mature,yes,400.000000,1209.098022,2900.000000
magnolia_leaf,mature,yes,400.000000,1208.772949,2932.000000
magnolia_leaf,mature,yes,400.000000,1208.447998,2904.000000
magnolia_leaf,mature,yes,400.000000,1208.123047,2918.000000
magnolia_leaf,mature,yes,400.000000,1207.797974,2861.000000
magnolia_leaf,mature,yes,400.000000,1207.473022,2880.000000
magnolia_leaf,mature,yes,400.000000,1207.147949,2895.000000
magnolia_leaf,mature,yes,400.000000,1206.823975,2829.000000
magnolia_leaf,mature,yes,400.000000,1206.499023,2856.000000
magnolia_leaf,mature,yes,400.000000,1206.173950,2817.000000
magnolia_leaf,mature,yes,400.000000,1205.848999,2842.000000
magnolia_leaf,mature,yes,400.000000,1205.524048,2891.000000
magnolia_leaf,mature,yes,400.000000,1205.198975,2914.000000
magnolia_leaf,mature,yes,400.000000,1204.874023,2883.000000
magnolia_leaf,mature,yes,400.000000,1204.548950,2849.000000
magnolia_leaf,mature,yes,400.000000,1204.223999,2836.000000
magnolia_leaf,mature,yes,400.000000,1203.900024,2864.000000
magnolia_leaf,mature,yes,400.000000,1203.574951,2831.000000
magnolia_leaf,mature,yes,400.000000,1203.250000,2860.000000
magnolia_leaf,mature,yes,400.000000,1202.925049,2914.000000
magnolia_leaf,mature,yes,400.000000,1202.599976,2911.000000
magnolia_leaf,mature,yes,400.000000,1202.275024,2847.000000
magnolia_leaf,mature,yes,400.000000,1201.949951,2869.000000
magnolia_leaf,mature,yes,400.000000,1201.625000,2868.000000
magnolia_leaf,mature,yes,400.000000,1201.301025,2860.000000
magnolia_leaf,mature,yes,400.000000,1200.975952,2870.000000
magnolia_leaf,mature,yes,400.000000,1200.651001,2865.000000
magnolia_leaf,mature,yes,400.000000,1200.326050,2906.000000
magnolia_leaf,mature,yes,400.000000,1200.000977,2884.000000
magnolia_leaf,mature,yes,400.000000,1199.676025,2843.000000
magnolia_leaf,mature,yes,400.000000,1199.350952,2831.000000
magnolia_leaf,mature,yes,400.000000,1199.026001,2884.000000
magnolia_leaf,mature,yes,400.000000,1198.701050,2879.000000
magnolia_leaf,mature,yes,400.000000,1198.376953,2882.000000
magnolia_leaf,mature,yes,400.000000,1198.052002,2843.000000
magnolia_leaf,mature,yes,400.000000,1197.727051,2845.000000
magnolia_leaf,mature,yes,400.000000,1197.401978,2862.000000
magnolia_leaf,mature,yes,400.000000,1197.077026,2877.000000
magnolia_leaf,mature,yes,400.000000,1196.751953,2913.000000
magnolia_leaf,mature,yes,400.000000,1196.427002,2907.000000
magnolia_leaf,mature,yes,400.000000,1196.102051,2833.000000
magnolia_leaf,mature,yes,400.000000,1195.777954,2901.000000
magnolia_leaf,mature,yes,400.000000,1195.453003,2906.000000
magnolia_leaf,mature,yes,400.000000,1195.128052,2875.000000
magnolia_leaf,mature,yes,400.000000,1194.802979,2897.000000
magnolia_leaf,mature,yes,400.000000,1194.478027,2920.000000
magnolia_leaf,mature,yes,400.000000,1194.152954,2862.000000
magnolia_leaf,mature,yes,400.000000,1193.828003,2887.000000
magnolia_leaf,mature,yes,400.000000,1193.503052,2876.000000
magnolia_leaf,mature,yes,400.000000,1193.177979,2830.000000
magnolia_leaf,mature,yes,400.000000,1192.854004,2840.000000
magnolia_leaf,mature,yes,400.000000,1192.529053,2902.000000
magnolia_leaf,mature,yes,400.000000,1192.203979,2856.000000
magnolia_leaf,mature,yes,400.000000,1191.879028,2826.000000
magnolia_leaf,mature,yes,400.000000,1191.553955,2891.000000
magnolia_leaf,mature,yes,400.000000,1191.229004,2929.000000
magnolia_leaf,mature,yes,400.000000,1190.904053,2838.000000
magnolia_leaf,mature,yes,400.000000,1190.578979,2842.000000
magnolia_leaf,mature,yes,400.000000,1190.255005,2888.000000
