Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
soybean,young,yes,0.000000,1233.788940,57.187500
soybean,young,yes,0.000000,1233.463989,47.185791
soybean,young,yes,0.000000,1233.139038,0.000000
soybean,young,yes,0.000000,1232.813965,0.182373
soybean,young,yes,0.000000,1232.489014,0.000000
soybean,young,yes,0.000000,1232.163940,0.000000
soybean,young,yes,0.000000,1231.839966,0.000000
soybean,young,yes,0.000000,1231.515015,0.000000
soybean,young,yes,0.000000,1231.189941,0.000000
soybean,young,yes,0.000000,1230.864990,0.000000
soybean,young,yes,0.000000,1230.540039,0.000000
soybean,young,yes,0.000000,1230.214966,0.000000
soybean,young,yes,0.000000,1229.890015,0.000000
soybean,young,yes,0.000000,1229.564941,0.000000
soybean,young,yes,0.000000,1229.239990,0.000000
soybean,young,yes,0.000000,1228.916016,0.000000
soybean,young,yes,0.000000,1228.590942,0.000000
soybean,young,yes,0.000000,1228.265991,14.158447
soybean,young,yes,0.000000,1227.941040,14.156738
soybean,young,yes,0.000000,1227.615967,2.155029
soybean,young,yes,0.000000,1227.291016,0.000000
soybean,young,yes,0.000000,1226.965942,11.151611
soybean,young,yes,0.000000,1226.640991,8.149902
soybean,young,yes,0.000000,1226.317017,13.148193
soybean,young,yes,0.000000,1225.991943,17.146484
soybean,young,yes,0.000000,1225.666992,0.000000
soybean,young,yes,0.000000,1225.342041,5.143066
soybean,young,yes,0.000000,1225.016968,23.141113
soybean,young,yes,0.000000,1224.692017,24.139404
soybean,young,yes,0.000000,1224.366943,5.137695
soybean,young,yes,0.000000,1224.041992,14.135986
soybean,young,yes,0.000000,1223.717041,32.134277
soybean,young,yes,0.000000,1223.392944,18.132568
soybean,young,yes,0.000000,1223.067993,0.000000
soybean,young,yes,0.000000,1222.743042,8.129150
soybean,young,yes,0.000000,1222.417969,9.127441
soybean,young,yes,0.000000,1222.093018,8.125732
soybean,young,yes,0.000000,1221.767944,5.124023
soybean,young,yes,0.000000,1221.442993,19.122314
soybean,young,yes,0.000000,1221.118042,9.120605
soybean,young,yes,0.000000,1220.793945,4.118896
soybean,young,yes,0.000000,1220.468994,11.117188
soybean,young,yes,0.000000,1220.144043,38.115479
soybean,young,yes,0.000000,1219.818970,28.113770
soybean,young,yes,0.000000,1219.494019,11.112061
soybean,young,yes,0.000000,1219.168945,10.110352
soybean,young,yes,0.000000,1218.843994,8.108643
soybean,young,yes,0.000000,1218.519043,14.106934
soybean,young,yes,0.000000,1218.193970,20.105225
soybean,young,yes,0.000000,1217.869995,16.103516
soybean,young,yes,0.000000,1217.545044,0.000000
soybean,young,yes,0.000000,1217.219971,0.000000
soybean,young,yes,0.000000,1216.895020,22.098389
soybean,young,yes,0.000000,1216.569946,13.096680
soybean,young,yes,0.000000,1216.244995,4.094971
soybean,young,yes,0.000000,1215.920044,8.093262
soybean,young,yes,0.000000,1215.594971,24.091553
soybean,young,yes,0.000000,1215.270996,29.089844
soybean,young,yes,0.000000,1214.946045,21.088135
soybean,young,yes,0.000000,1214.620972,21.086426
soybean,young,yes,0.000000,1214.296021,23.084717
soybean,young,yes,0.000000,1213.970947,25.083008
soybean,young,yes,0.000000,1213.645996,11.081299
soybean,young,yes,0.000000,1213.321045,1.079590
soybean,young,yes,0.000000,1212.995972,15.077881
