Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
weed,young,yes,0.000000,1233.788940,90.785645
weed,young,yes,0.000000,1233.463989,77.787354
weed,young,yes,0.000000,1233.139038,7.788818
weed,young,yes,0.000000,1232.813965,15.790527
weed,young,yes,0.000000,1232.489014,8.791992
weed,young,yes,0.000000,1232.163940,0.000000
weed,young,yes,0.000000,1231.839966,0.000000
weed,young,yes,0.000000,1231.515015,0.000000
weed,young,yes,0.000000,1231.189941,0.000000
weed,young,yes,0.000000,1230.864990,0.000000
weed,young,yes,0.000000,1230.540039,0.000000
weed,young,yes,0.000000,1230.214966,0.000000
weed,young,yes,0.000000,1229.890015,0.000000
weed,young,yes,0.000000,1229.564941,0.000000
weed,young,yes,0.000000,1229.239990,0.000000
weed,young,yes,0.000000,1228.916016,0.000000
weed,young,yes,0.000000,1228.590942,0.000000
weed,young,yes,0.000000,1228.265991,0.000000
weed,young,yes,0.000000,1227.941040,8.814697
weed,young,yes,0.000000,1227.615967,16.816406
weed,young,yes,0.000000,1227.291016,16.817871
weed,young,yes,0.000000,1226.965942,15.819580
weed,young,yes,0.000000,1226.640991,11.821289
weed,young,yes,0.000000,1226.317017,13.822754
weed,young,yes,0.000000,1225.991943,6.824463
weed,young,yes,0.000000,1225.666992,2.826172
weed,young,yes,0.000000,1225.342041,20.827637
weed,young,yes,0.000000,1225.016968,22.829346
weed,young,yes,0.000000,1224.692017,13.830811
weed,young,yes,0.000000,1224.366943,6.832520
weed,young,yes,0.000000,1224.041992,8.834229
weed,young,yes,0.000000,1223.717041,7.835693
weed,young,yes,0.000000,1223.392944,6.837402
weed,young,yes,0.000000,1223.067993,0.839111
weed,young,yes,0.000000,1222.743042,0.000000
weed,young,yes,0.000000,1222.417969,1.842285
weed,young,yes,0.000000,1222.093018,10.843750
weed,young,yes,0.000000,1221.767944,14.845459
weed,young,yes,0.000000,1221.442993,9.847168
weed,young,yes,0.000000,1221.118042,13.848633
weed,young,yes,0.000000,1220.793945,8.850342
weed,young,yes,0.000000,1220.468994,16.852051
weed,young,yes,0.000000,1220.144043,20.853516
weed,young,yes,0.000000,1219.818970,23.855225
weed,young,yes,0.000000,1219.494019,22.856689
weed,young,yes,0.000000,1219.168945,23.858398
weed,young,yes,0.000000,1218.843994,32.860107
weed,young,yes,0.000000,1218.519043,16.861572
