Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
holly_leaf,mature,yes,800.000000,1233.788940,2714.000000
holly_leaf,mature,yes,800.000000,1233.463989,2716.000000
holly_leaf,mature,yes,800.000000,1233.139038,2731.000000
holly_leaf,mature,yes,800.000000,1232.813965,2766.000000
holly_leaf,mature,yes,800.000000,1232.489014,2782.000000
holly_leaf,mature,yes,800.000000,1232.163940,2780.000000
holly_leaf,mature,yes,800.000000,1231.839966,2775.000000
holly_leaf,mature,yes,800.000000,1231.515015,2745.000000
holly_leaf,mature,yes,800.000000,1231.189941,2731.000000
holly_leaf,mature,yes,800.000000,1230.864990,2737.000000
holly_leaf,mature,yes,800.000000,1230.540039,2724.000000
holly_leaf,mature,yes,800.000000,1230.214966,2784.000000
holly_leaf,mature,yes,800.000000,1229.890015,2738.000000
holly_leaf,mature,yes,800.000000,1229.564941,2784.000000
holly_leaf,mature,yes,800.000000,1229.239990,2737.000000
holly_leaf,mature,yes,800.000000,1228.916016,2775.000000
holly_leaf,mature,yes,800.000000,1228.590942,2750.000000
holly_leaf,mature,yes,800.000000,1228.265991,2765.000000
holly_leaf,mature,yes,800.000000,1227.941040,2821.000000
holly_leaf,mature,yes,800.000000,1227.615967,2712.000000
holly_leaf,mature,yes,800.000000,1227.291016,2723.000000
holly_leaf,mature,yes,800.000000,1226.965942,2724.000000
holly_leaf,mature,yes,800.000000,1226.640991,2790.000000
holly_leaf,mature,yes,800.000000,1226.317017,2740.000000
holly_leaf,mature,yes,800.000000,1225.991943,2745.000000
holly_leaf,mature,yes,800.000000,1225.666992,2735.000000
holly_leaf,mature,yes,800.000000,1225.342041,2763.000000
holly_leaf,mature,yes,800.000000,1225.016968,2800.000000
holly_leaf,mature,yes,800.000000,1224.692017,2748.000000
holly_leaf,mature,yes,800.000000,1224.366943,2746.000000
holly_leaf,mature,yes,800.000000,1224.041992,2762.000000
holly_leaf,mature,yes,800.000000,1223.717041,2750.000000
holly_leaf,mature,yes,800.000000,1223.392944,2769.000000
holly_leaf,mature,yes,800.000000,1223.067993,2783.000000
holly_leaf,mature,yes,800.000000,1222.743042,2754.000000
holly_leaf,mature,yes,800.000000,1222.417969,2810.000000
holly_leaf,mature,yes,800.000000,1222.093018,2741.000000
holly_leaf,mature,yes,800.000000,1221.767944,2742.000000
holly_leaf,mature,yes,800.000000,1221.442993,2755.000000
holly_leaf,mature,yes,800.000000,1221.118042,2754.000000
holly_leaf,mature,yes,800.000000,1220.793945,2739.000000
holly_leaf,mature,yes,800.000000,1220.468994,2733.000000
holly_leaf,mature,yes,800.000000,1220.144043,2742.000000
holly_leaf,mature,yes,800.000000,1219.818970,2773.000000
holly_leaf,mature,yes,800.000000,1219.494019,2743.000000
holly_leaf,mature,yes,800.000000,1219.168945,2733.000000
holly_leaf,mature,yes,800.000000,1218.843994,2748.000000
holly_leaf,mature,yes,800.000000,1218.519043,2741.000000
holly_leaf,mature,yes,800.000000,1218.193970,2738.000000
holly_leaf,mature,yes,800.000000,1217.869995,2693.000000
holly_leaf,mature,yes,800.000000,1217.545044,2766.000000
holly_leaf,mature,yes,800.000000,1217.219971,2779.000000
holly_leaf,mature,yes,800.000000,1216.895020,2794.000000
holly_leaf,mature,yes,800.000000,1216.569946,2709.000000
holly_leaf,mature,yes,800.000000,1216.244995,2762.000000
holly_leaf,mature,yes,800.000000,1215.920044,2732.000000
holly_leaf,mature,yes,800.000000,1215.594971,2785.000000
holly_leaf,mature,yes,800.000000,1215.270996,2788.000000
holly_leaf,mature,yes,800.000000,1214.946045,2796.000000
holly_leaf,mature,yes,800.000000,1214.620972,2762.000000
holly_leaf,mature,yes,800.000000,1214.296021,2784.000000
holly_leaf,mature,yes,800.000000,1213.970947,2758.000000
holly_leaf,mature,yes,800.000000,1213.645996,2765.000000
holly_leaf,mature,yes,800.000000,1213.321045,2793.000000
holly_leaf,mature,yes,800.000000,1212.995972,2761.000000
holly_leaf,mature,yes,800.000000,1212.671021,2763.000000
holly_leaf,mature,yes,800.000000,1212.347046,2805.000000
holly_leaf,mature,yes,800.000000,1212.021973,2737.000000
holly_leaf,mature,yes,800.000000,1211.697021,2754.000000
holly_leaf,mature,yes,800.000000,1211.371948,2734.000000
holly_leaf,mature,yes,800.000000,1211.046997,2767.000000
holly_leaf,mature,yes,800.000000,1210.722046,2802.000000
holly_leaf,mature,yes,800.000000,1210.396973,2809.000000
holly_leaf,mature,yes,800.000000,1210.072021,2763.000000
holly_leaf,mature,yes,800.000000,1209.746948,2776.000000
