Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
asphalt,mature,yes,800.000000,1233.788940,2822.000000
asphalt,mature,yes,800.000000,1233.463989,2813.000000
asphalt,mature,yes,800.000000,1233.139038,2747.000000
asphalt,mature,yes,800.000000,1232.813965,2722.000000
asphalt,mature,yes,800.000000,1232.489014,2724.000000
asphalt,mature,yes,800.000000,1232.163940,2764.000000
asphalt,mature,yes,800.000000,1231.839966,2768.000000
asphalt,mature,yes,800.000000,1231.515015,2780.000000
asphalt,mature,yes,800.000000,1231.189941,2764.000000
asphalt,mature,yes,800.000000,1230.864990,2749.000000
asphalt,mature,yes,800.000000,1230.540039,2733.000000
asphalt,mature,yes,800.000000,1230.214966,2764.000000
asphalt,mature,yes,800.000000,1229.890015,2745.000000
asphalt,mature,yes,800.000000,1229.564941,2720.000000
asphalt,mature,yes,800.000000,1229.239990,2773.000000
asphalt,mature,yes,800.000000,1228.916016,2749.000000
asphalt,mature,yes,800.000000,1228.590942,2795.000000
asphalt,mature,yes,800.000000,1228.265991,2770.000000
asphalt,mature,yes,800.000000,1227.941040,2750.000000
asphalt,mature,yes,800.000000,1227.615967,2731.000000
asphalt,mature,yes,800.000000,1227.291016,2787.000000
asphalt,mature,yes,800.000000,1226.965942,2731.000000
asphalt,mature,yes,800.000000,1226.640991,2779.000000
asphalt,mature,yes,800.000000,1226.317017,2738.000000
asphalt,mature,yes,800.000000,1225.991943,2731.000000
asphalt,mature,yes,800.000000,1225.666992,2771.000000
asphalt,mature,yes,800.000000,1225.342041,2781.000000
asphalt,mature,yes,800.000000,1225.016968,2762.000000
asphalt,mature,yes,800.000000,1224.692017,2791.000000
asphalt,mature,yes,800.000000,1224.366943,2822.000000
asphalt,mature,yes,800.000000,1224.041992,2813.000000
asphalt,mature,yes,800.000000,1223.717041,2767.000000
asphalt,mature,yes,800.000000,1223.392944,2779.000000
asphalt,mature,yes,800.000000,1223.067993,2762.000000
asphalt,mature,yes,800.000000,1222.743042,2798.000000
asphalt,mature,yes,800.000000,1222.417969,2767.000000
asphalt,mature,yes,800.000000,1222.093018,2792.000000
asphalt,mature,yes,800.000000,1221.767944,2796.000000
asphalt,mature,yes,800.000000,1221.442993,2788.000000
asphalt,mature,yes,800.000000,1221.118042,2744.000000
asphalt,mature,yes,800.000000,1220.793945,2785.000000
asphalt,mature,yes,800.000000,1220.468994,2769.000000
asphalt,mature,yes,800.000000,1220.144043,2740.000000
asphalt,mature,yes,800.000000,1219.818970,2761.000000
asphalt,mature,yes,800.000000,1219.494019,2718.000000
asphalt,mature,yes,800.000000,1219.168945,2748.000000
asphalt,mature,yes,800.000000,1218.843994,2719.000000
asphalt,mature,yes,800.000000,1218.519043,2732.000000
asphalt,mature,yes,800.000000,1218.193970,2740.000000
asphalt,mature,yes,800.000000,1217.869995,2749.000000
asphalt,mature,yes,800.000000,1217.545044,2788.000000
asphalt,mature,yes,800.000000,1217.219971,2743.000000
asphalt,mature,yes,800.000000,1216.895020,2750.000000
asphalt,mature,yes,800.000000,1216.569946,2683.000000
asphalt,mature,yes,800.000000,1216.244995,2752.000000
asphalt,mature,yes,800.000000,1215.920044,2820.000000
asphalt,mature,yes,800.000000,1215.594971,2790.000000
asphalt,mature,yes,800.000000,1215.270996,2759.000000
asphalt,mature,yes,800.000000,1214.946045,2737.000000
asphalt,mature,yes,800.000000,1214.620972,2774.000000
asphalt,mature,yes,800.000000,1214.296021,2738.000000
asphalt,mature,yes,800.000000,1213.970947,2770.000000
asphalt,mature,yes,800.000000,1213.645996,2786.000000
asphalt,mature,yes,800.000000,1213.321045,2806.000000
asphalt,mature,yes,800.000000,1212.995972,2760.000000
asphalt,mature,yes,800.000000,1212.671021,2789.000000
asphalt,mature,yes,800.000000,1212.347046,2773.000000
asphalt,mature,yes,800.000000,1212.021973,2756.000000
asphalt,mature,yes,800.000000,1211.697021,2786.000000
asphalt,mature,yes,800.000000,1211.371948,2801.000000
asphalt,mature,yes,800.000000,1211.046997,2751.000000
asphalt,mature,yes,800.000000,1210.722046,2741.000000
asphalt,mature,yes,800.000000,1210.396973,2806.000000
asphalt,mature,yes,800.000000,1210.072021,2757.000000
asphalt,mature,yes,800.000000,1209.746948,2760.000000
asphalt,mature,yes,800.000000,1209.422974,2761.000000
asphalt,mature,yes,800.000000,1209.098022,2788.000000
asphalt,mature,yes,800.000000,1208.772949,2740.000000
asphalt,mature,yes,800.000000,1208.447998,2746.000000
asphalt,mature,yes,800.000000,1208.123047,2782.000000
asphalt,mature,yes,800.000000,1207.797974,2804.000000
asphalt,mature,yes,800.000000,1207.473022,2736.000000
asphalt,mature,yes,800.000000,1207.147949,2718.000000
asphalt,mature,yes,800.000000,1206.823975,2762.000000
asphalt,mature,yes,800.000000,1206.499023,2757.000000
asphalt,mature,yes,800.000000,1206.173950,2765.000000
asphalt,mature,yes,800.000000,1205.848999,2734.000000
asphalt,mature,yes,800.000000,1205.524048,2760.000000
asphalt,mature,yes,800.000000,1205.198975,2769.000000
asphalt,mature,yes,800.000000,1204.874023,2780.000000
asphalt,mature,yes,800.000000,1204.548950,2778.000000
asphalt,mature,yes,800.000000,1204.223999,2772.000000
asphalt,mature,yes,800.000000,1203.900024,2751.000000
asphalt,mature,yes,800.000000,1203.574951,2778.000000
asphalt,mature,yes,800.000000,1203.250000,2755.000000
asphalt,mature,yes,800.000000,1202.925049,2807.000000
asphalt,mature,yes,800.000000,1202.599976,2797.000000
asphalt,mature,yes,800.000000,1202.275024,2742.000000
