Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
grass,mature,yes,400.000000,1233.788940,3071.000000
grass,mature,yes,400.000000,1233.463989,3061.000000
grass,mature,yes,400.000000,1233.139038,2987.000000
grass,mature,yes,400.000000,1232.813965,2993.000000
grass,mature,yes,400.000000,1232.489014,2997.000000
grass,mature,yes,400.000000,1232.163940,3014.000000
grass,mature,yes,400.000000,1231.839966,3003.000000
grass,mature,yes,400.000000,1231.515015,3037.000000
grass,mature,yes,400.000000,1231.189941,3008.000000
grass,mature,yes,400.000000,1230.864990,3003.000000
grass,mature,yes,400.000000,1230.540039,2977.000000
grass,mature,yes,400.000000,1230.214966,2942.000000
grass,mature,yes,400.000000,1229.890015,2933.000000
grass,mature,yes,400.000000,1229.564941,2963.000000
grass,mature,yes,400.000000,1229.239990,2983.000000
grass,mature,yes,400.000000,1228.916016,2998.000000
grass,mature,yes,400.000000,1228.590942,2983.000000
grass,mature,yes,400.000000,1228.265991,2962.000000
grass,mature,yes,400.000000,1227.941040,2989.000000
grass,mature,yes,400.000000,1227.615967,2971.000000
grass,mature,yes,400.000000,1227.291016,2950.000000
grass,mature,yes,400.000000,1226.965942,2952.000000
grass,mature,yes,400.000000,1226.640991,2992.000000
grass,mature,yes,400.000000,1226.317017,3015.000000
grass,mature,yes,400.000000,1225.991943,2985.000000
grass,mature,yes,400.000000,1225.666992,2974.000000
grass,mature,yes,400.000000,1225.342041,2984.000000
grass,mature,yes,400.000000,1225.016968,3022.000000
grass,mature,yes,400.000000,1224.692017,3031.000000
grass,mature,yes,400.000000,1224.366943,3002.000000
grass,mature,yes,400.000000,1224.041992,2998.000000
grass,mature,yes,400.000000,1223.717041,2998.000000
grass,mature,yes,400.000000,1223.392944,3011.000000
grass,mature,yes,400.000000,1223.067993,3029.000000
grass,mature,yes,400.000000,1222.743042,3012.000000
grass,mature,yes,400.000000,1222.417969,2980.000000
grass,mature,yes,400.000000,1222.093018,2973.000000
grass,mature,yes,400.000000,1221.767944,2990.000000
grass,mature,yes,400.000000,1221.442993,3014.000000
grass,mature,yes,400.000000,1221.118042,2976.000000
grass,mature,yes,400.000000,1220.793945,2986.000000
grass,mature,yes,400.000000,1220.468994,2998.000000
grass,mature,yes,400.000000,1220.144043,2986.000000
grass,mature,yes,400.000000,1219.818970,3012.000000
grass,mature,yes,400.000000,1219.494019,2998.000000
grass,mature,yes,400.000000,1219.168945,3017.000000
grass,mature,yes,400.000000,1218.843994,3004.000000
grass,mature,yes,400.000000,1218.519043,2995.000000
grass,mature,yes,400.000000,1218.193970,2992.000000
grass,mature,yes,400.000000,1217.869995,2966.000000
grass,mature,yes,400.000000,1217.545044,2972.000000
grass,mature,yes,400.000000,1217.219971,2974.000000
grass,mature,yes,400.000000,1216.895020,2980.000000
grass,mature,yes,400.000000,1216.569946,2998.000000
grass,mature,yes,400.000000,1216.244995,2965.000000
grass,mature,yes,400.000000,1215.920044,2976.000000
grass,mature,yes,400.000000,1215.594971,2974.000000
grass,mature,yes,400.000000,1215.270996,2983.000000
grass,mature,yes,400.000000,1214.946045,2975.000000
grass,mature,yes,400.000000,1214.620972,2982.000000
grass,mature,yes,400.000000,1214.296021,3000.000000
grass,mature,yes,400.000000,1213.970947,3008.000000
grass,mature,yes,400.000000,1213.645996,3017.000000
grass,mature,yes,400.000000,1213.321045,2999.000000
grass,mature,yes,400.000000,1212.995972,2984.000000
grass,mature,yes,400.000000,1212.671021,3010.000000
grass,mature,yes,400.000000,1212.347046,2990.000000
grass,mature,yes,400.000000,1212.021973,2963.000000
grass,mature,yes,400.000000,1211.697021,2961.000000
grass,mature,yes,400.000000,1211.371948,2966.000000
grass,mature,yes,400.000000,1211.046997,2988.000000
grass,mature,yes,400.000000,1210.722046,2992.000000
grass,mature,yes,400.000000,1210.396973,2991.000000
grass,mature,yes,400.000000,1210.072021,2992.000000
grass,mature,yes,400.000000,1209.746948,2998.000000
grass,mature,yes,400.000000,1209.422974,2984.000000
grass,mature,yes,400.000000,1209.098022,2963.000000
