Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
stickynote,young,yes,400.000000,1233.788940,2600.000000
stickynote,young,yes,400.000000,1233.463989,2592.000000
stickynote,young,yes,400.000000,1233.139038,2616.000000
stickynote,young,yes,400.000000,1232.813965,2596.000000
stickynote,young,yes,400.000000,1232.489014,2630.000000
stickynote,young,yes,400.000000,1232.163940,2586.000000
stickynote,young,yes,400.000000,1231.839966,2555.000000
stickynote,young,yes,400.000000,1231.515015,2637.000000
stickynote,young,yes,400.000000,1231.189941,2576.000000
stickynote,young,yes,400.000000,1230.864990,2624.000000
stickynote,young,yes,400.000000,1230.540039,2580.000000
stickynote,young,yes,400.000000,1230.214966,2578.000000
stickynote,young,yes,400.000000,1229.890015,2582.000000
stickynote,young,yes,400.000000,1229.564941,2625.000000
stickynote,young,yes,400.000000,1229.239990,2557.000000
stickynote,young,yes,400.000000,1228.916016,2548.000000
stickynote,young,yes,400.000000,1228.590942,2556.000000
stickynote,young,yes,400.000000,1228.265991,2624.000000
stickynote,young,yes,400.000000,1227.941040,2568.000000
stickynote,young,yes,400.000000,1227.615967,2568.000000
stickynote,young,yes,400.000000,1227.291016,2616.000000
stickynote,young,yes,400.000000,1226.965942,2556.000000
stickynote,young,yes,400.000000,1226.640991,2584.000000
stickynote,young,yes,400.000000,1226.317017,2638.000000
stickynote,young,yes,400.000000,1225.991943,2588.000000
stickynote,young,yes,400.000000,1225.666992,2606.000000
stickynote,young,yes,400.000000,1225.342041,2641.000000
stickynote,young,yes,400.000000,1225.016968,2621.000000
stickynote,young,yes,400.000000,1224.692017,2635.000000
stickynote,young,yes,400.000000,1224.366943,2610.000000
stickynote,young,yes,400.000000,1224.041992,2570.000000
stickynote,young,yes,400.000000,1223.717041,2603.000000
stickynote,young,yes,400.000000,1223.392944,2607.000000
stickynote,young,yes,400.000000,1223.067993,2625.000000
stickynote,young,yes,400.000000,1222.743042,2607.000000
stickynote,young,yes,400.000000,1222.417969,2603.000000
stickynote,young,yes,400.000000,1222.093018,2633.000000
