Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
dandelion,young,no,400.000000,1233.788940,2648.000000
dandelion,young,no,400.000000,1233.463989,2630.000000
dandelion,young,no,400.000000,1233.139038,2541.000000
dandelion,young,no,400.000000,1232.813965,2576.000000
dandelion,young,no,400.000000,1232.489014,2593.000000
dandelion,young,no,400.000000,1232.163940,2565.000000
dandelion,young,no,400.000000,1231.839966,2601.000000
dandelion,young,no,400.000000,1231.515015,2600.000000
dandelion,young,no,400.000000,1231.189941,2589.000000
dandelion,young,no,400.000000,1230.864990,2585.000000
dandelion,young,no,400.000000,1230.540039,2610.000000
dandelion,young,no,400.000000,1230.214966,2536.000000
dandelion,young,no,400.000000,1229.890015,2558.000000
dandelion,young,no,400.000000,1229.564941,2598.000000
dandelion,young,no,400.000000,1229.239990,2614.000000
dandelion,young,no,400.000000,1228.916016,2609.000000
dandelion,young,no,400.000000,1228.590942,2602.000000
dandelion,young,no,400.000000,1228.265991,2582.000000
dandelion,young,no,400.000000,1227.941040,2575.000000
dandelion,young,no,400.000000,1227.615967,2563.000000
dandelion,young,no,400.000000,1227.291016,2560.000000
dandelion,young,no,400.000000,1226.965942,2531.000000
dandelion,young,no,400.000000,1226.640991,2554.000000
dandelion,young,no,400.000000,1226.317017,2584.000000
dandelion,young,no,400.000000,1225.991943,2560.000000
dandelion,young,no,400.000000,1225.666992,2550.000000
dandelion,young,no,400.000000,1225.342041,2620.000000
dandelion,young,no,400.000000,1225.016968,2639.000000
dandelion,young,no,400.000000,1224.692017,2600.000000
dandelion,young,no,400.000000,1224.366943,2569.000000
dandelion,young,no,400.000000,1224.041992,2562.000000
dandelion,young,no,400.000000,1223.717041,2577.000000
dandelion,young,no,400.000000,1223.392944,2588.000000
dandelion,young,no,400.000000,1223.067993,2593.000000
dandelion,young,no,400.000000,1222.743042,2588.000000
dandelion,young,no,400.000000,1222.417969,2547.000000
dandelion,young,no,400.000000,1222.093018,2567.000000
dandelion,young,no,400.000000,1221.767944,2581.000000
dandelion,young,no,400.000000,1221.442993,2550.000000
dandelion,young,no,400.000000,1221.118042,2565.000000
