Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
holly_leaf,mature,yes,400.000000,1233.788940,2797.000000
holly_leaf,mature,yes,400.000000,1233.463989,2796.000000
holly_leaf,mature,yes,400.000000,1233.139038,2787.000000
holly_leaf,mature,yes,400.000000,1232.813965,2749.000000
holly_leaf,mature,yes,400.000000,1232.489014,2787.000000
holly_leaf,mature,yes,400.000000,1232.163940,2803.000000
holly_leaf,mature,yes,400.000000,1231.839966,2787.000000
holly_leaf,mature,yes,400.000000,1231.515015,2771.000000
holly_leaf,mature,yes,400.000000,1231.189941,2823.000000
holly_leaf,mature,yes,400.000000,1230.864990,2738.000000
holly_leaf,mature,yes,400.000000,1230.540039,2821.000000
holly_leaf,mature,yes,400.000000,1230.214966,2756.000000
holly_leaf,mature,yes,400.000000,1229.890015,2783.000000
holly_leaf,mature,yes,400.000000,1229.564941,2789.000000
holly_leaf,mature,yes,400.000000,1229.239990,2788.000000
holly_leaf,mature,yes,400.000000,1228.916016,2810.000000
holly_leaf,mature,yes,400.000000,1228.590942,2743.000000
holly_leaf,mature,yes,400.000000,1228.265991,2761.000000
holly_leaf,mature,yes,400.000000,1227.941040,2759.000000
holly_leaf,mature,yes,400.000000,1227.615967,2776.000000
holly_leaf,mature,yes,400.000000,1227.291016,2774.000000
holly_leaf,mature,yes,400.000000,1226.965942,2750.000000
holly_leaf,mature,yes,400.000000,1226.640991,2802.000000
holly_leaf,mature,yes,400.000000,1226.317017,2780.000000
holly_leaf,mature,yes,400.000000,1225.991943,2729.000000
holly_leaf,mature,yes,400.000000,1225.666992,2780.000000
holly_leaf,mature,yes,400.000000,1225.342041,2772.000000
holly_leaf,mature,yes,400.000000,1225.016968,2745.000000
holly_leaf,mature,yes,400.000000,1224.692017,2749.000000
holly_leaf,mature,yes,400.000000,1224.366943,2749.000000
holly_leaf,mature,yes,400.000000,1224.041992,2722.000000
holly_leaf,mature,yes,400.000000,1223.717041,2737.000000
holly_leaf,mature,yes,400.000000,1223.392944,2744.000000
holly_leaf,mature,yes,400.000000,1223.067993,2784.000000
holly_leaf,mature,yes,400.000000,1222.743042,2784.000000
holly_leaf,mature,yes,400.000000,1222.417969,2817.000000
holly_leaf,mature,yes,400.000000,1222.093018,2771.000000
holly_leaf,mature,yes,400.000000,1221.767944,2743.000000
holly_leaf,mature,yes,400.000000,1221.442993,2795.000000
holly_leaf,mature,yes,400.000000,1221.118042,2759.000000
holly_leaf,mature,yes,400.000000,1220.793945,2743.000000
holly_leaf,mature,yes,400.000000,1220.468994,2808.000000
holly_leaf,mature,yes,400.000000,1220.144043,2745.000000
holly_leaf,mature,yes,400.000000,1219.818970,2779.000000
holly_leaf,mature,yes,400.000000,1219.494019,2768.000000
holly_leaf,mature,yes,400.000000,1219.168945,2811.000000
holly_leaf,mature,yes,400.000000,1218.843994,2781.000000
holly_leaf,mature,yes,400.000000,1218.519043,2715.000000
holly_leaf,mature,yes,400.000000,1218.193970,2766.000000
holly_leaf,mature,yes,400.000000,1217.869995,2737.000000
holly_leaf,mature,yes,400.000000,1217.545044,2773.000000
holly_leaf,mature,yes,400.000000,1217.219971,2768.000000
holly_leaf,mature,yes,400.000000,1216.895020,2768.000000
holly_leaf,mature,yes,400.000000,1216.569946,2818.000000
holly_leaf,mature,yes,400.000000,1216.244995,2807.000000
holly_leaf,mature,yes,400.000000,1215.920044,2806.000000
holly_leaf,mature,yes,400.000000,1215.594971,2777.000000
holly_leaf,mature,yes,400.000000,1215.270996,2703.000000
holly_leaf,mature,yes,400.000000,1214.946045,2720.000000
holly_leaf,mature,yes,400.000000,1214.620972,2766.000000
holly_leaf,mature,yes,400.000000,1214.296021,2808.000000
holly_leaf,mature,yes,400.000000,1213.970947,2801.000000
holly_leaf,mature,yes,400.000000,1213.645996,2781.000000
holly_leaf,mature,yes,400.000000,1213.321045,2751.000000
holly_leaf,mature,yes,400.000000,1212.995972,2763.000000
holly_leaf,mature,yes,400.000000,1212.671021,2784.000000
holly_leaf,mature,yes,400.000000,1212.347046,2767.000000
holly_leaf,mature,yes,400.000000,1212.021973,2773.000000
holly_leaf,mature,yes,400.000000,1211.697021,2727.000000
