Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
magnolia_bark,mature,yes,800.000000,1233.788940,3067.000000
magnolia_bark,mature,yes,800.000000,1233.463989,3062.000000
magnolia_bark,mature,yes,800.000000,1233.139038,3064.000000
magnolia_bark,mature,yes,800.000000,1232.813965,2989.000000
magnolia_bark,mature,yes,800.000000,1232.489014,3048.000000
magnolia_bark,mature,yes,800.000000,1232.163940,3033.000000
magnolia_bark,mature,yes,800.000000,1231.839966,3043.000000
magnolia_bark,mature,yes,800.000000,1231.515015,3056.000000
magnolia_bark,mature,yes,800.000000,1231.189941,3032.000000
magnolia_bark,mature,yes,800.000000,1230.864990,3037.000000
magnolia_bark,mature,yes,800.000000,1230.540039,3045.000000
magnolia_bark,mature,yes,800.000000,1230.214966,3032.000000
magnolia_bark,mature,yes,800.000000,1229.890015,2992.000000
magnolia_bark,mature,yes,800.000000,1229.564941,3062.000000
magnolia_bark,mature,yes,800.000000,1229.239990,3068.000000
magnolia_bark,mature,yes,800.000000,1228.916016,3038.000000
magnolia_bark,mature,yes,800.000000,1228.590942,3014.000000
magnolia_bark,mature,yes,800.000000,1228.265991,3015.000000
magnolia_bark,mature,yes,800.000000,1227.941040,3056.000000
magnolia_bark,mature,yes,800.000000,1227.615967,3055.000000
magnolia_bark,mature,yes,800.000000,1227.291016,3045.000000
magnolia_bark,mature,yes,800.000000,1226.965942,3000.000000
magnolia_bark,mature,yes,800.000000,1226.640991,2970.000000
magnolia_bark,mature,yes,800.000000,1226.317017,2978.000000
magnolia_bark,mature,yes,800.000000,1225.991943,3058.000000
magnolia_bark,mature,yes,800.000000,1225.666992,3029.000000
magnolia_bark,mature,yes,800.000000,1225.342041,3006.000000
magnolia_bark,mature,yes,800.000000,1225.016968,3027.000000
magnolia_bark,mature,yes,800.000000,1224.692017,3005.000000
magnolia_bark,mature,yes,800.000000,1224.366943,3059.000000
magnolia_bark,mature,yes,800.000000,1224.041992,3014.000000
magnolia_bark,mature,yes,800.000000,1223.717041,3030.000000
magnolia_bark,mature,yes,800.000000,1223.392944,3038.000000
magnolia_bark,mature,yes,800.000000,1223.067993,3019.000000
magnolia_bark,mature,yes,800.000000,1222.743042,3023.000000
magnolia_bark,mature,yes,800.000000,1222.417969,3046.000000
magnolia_bark,mature,yes,800.000000,1222.093018,3054.000000
magnolia_bark,mature,yes,800.000000,1221.767944,3017.000000
magnolia_bark,mature,yes,800.000000,1221.442993,3041.000000
magnolia_bark,mature,yes,800.000000,1221.118042,3054.000000
magnolia_bark,mature,yes,800.000000,1220.793945,3003.000000
magnolia_bark,mature,yes,800.000000,1220.468994,3036.000000
magnolia_bark,mature,yes,800.000000,1220.144043,3032.000000
magnolia_bark,mature,yes,800.000000,1219.818970,3042.000000
magnolia_bark,mature,yes,800.000000,1219.494019,2997.000000
magnolia_bark,mature,yes,800.000000,1219.168945,2990.000000
magnolia_bark,mature,yes,800.000000,1218.843994,3050.000000
magnolia_bark,mature,yes,800.000000,1218.519043,3049.000000
magnolia_bark,mature,yes,800.000000,1218.193970,3020.000000
magnolia_bark,mature,yes,800.000000,1217.869995,3053.000000
