Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
stickynote,young,no,0.000000,1233.788940,50.187500
stickynote,young,no,0.000000,1233.463989,38.185303
stickynote,young,no,0.000000,1233.139038,0.000000
stickynote,young,no,0.000000,1232.813965,13.181152
stickynote,young,no,0.000000,1232.489014,0.178955
stickynote,young,no,0.000000,1232.163940,0.000000
stickynote,young,no,0.000000,1231.839966,0.000000
stickynote,young,no,0.000000,1231.515015,0.000000
stickynote,young,no,0.000000,1231.189941,0.000000
stickynote,young,no,0.000000,1230.864990,0.000000
stickynote,young,no,0.000000,1230.540039,0.000000
stickynote,young,no,0.000000,1230.214966,0.000000
stickynote,young,no,0.000000,1229.890015,0.000000
stickynote,young,no,0.000000,1229.564941,0.000000
stickynote,young,no,0.000000,1229.239990,3.157715
stickynote,young,no,0.000000,1228.916016,12.155762
stickynote,young,no,0.000000,1228.590942,0.000000
stickynote,young,no,0.000000,1228.265991,0.000000
stickynote,young,no,0.000000,1227.941040,3.149414
stickynote,young,no,0.000000,1227.615967,0.000000
stickynote,young,no,0.000000,1227.291016,0.000000
stickynote,young,no,0.000000,1226.965942,10.143066
stickynote,young,no,0.000000,1226.640991,23.140869
stickynote,young,no,0.000000,1226.317017,17.138672
stickynote,young,no,0.000000,1225.991943,0.000000
stickynote,young,no,0.000000,1225.666992,1.134521
stickynote,young,no,0.000000,1225.342041,2.132324
stickynote,young,no,0.000000,1225.016968,6.130371
stickynote,young,no,0.000000,1224.692017,0.000000
stickynote,young,no,0.000000,1224.366943,0.000000
stickynote,young,no,0.000000,1224.041992,5.124023
stickynote,young,no,0.000000,1223.717041,2.121826
stickynote,young,no,0.000000,1223.392944,0.000000
stickynote,young,no,0.000000,1223.067993,0.000000
stickynote,young,no,0.000000,1222.743042,17.115479
stickynote,young,no,0.000000,1222.417969,7.113281
stickynote,young,no,0.000000,1222.093018,16.111084
stickynote,young,no,0.000000,1221.767944,11.109131
stickynote,young,no,0.000000,1221.442993,28.106934
stickynote,young,no,0.000000,1221.118042,26.104736
stickynote,young,no,0.000000,1220.793945,12.102783
stickynote,young,no,0.000000,1220.468994,17.100586
stickynote,young,no,0.000000,1220.144043,22.098389
stickynote,young,no,0.000000,1219.818970,19.096436
stickynote,young,no,0.000000,1219.494019,19.094238
stickynote,young,no,0.000000,1219.168945,4.092041
stickynote,young,no,0.000000,1218.843994,11.090088
stickynote,young,no,0.000000,1218.519043,18.087891
stickynote,young,no,0.000000,1218.193970,5.085693
