Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
jeans,young,yes,0.000000,1233.788940,46.000000
jeans,young,yes,0.000000,1233.463989,36.997803
jeans,young,yes,0.000000,1233.139038,0.000000
jeans,young,yes,0.000000,1232.813965,20.993652
jeans,young,yes,0.000000,1232.489014,0.000000
jeans,young,yes,0.000000,1232.163940,0.000000
jeans,young,yes,0.000000,1231.839966,6.987305
jeans,young,yes,0.000000,1231.515015,0.000000
jeans,young,yes,0.000000,1231.189941,0.000000
jeans,young,yes,0.000000,1230.864990,0.000000
jeans,young,yes,0.000000,1230.540039,0.000000
jeans,young,yes,0.000000,1230.214966,0.000000
jeans,young,yes,0.000000,1229.890015,0.000000
jeans,young,yes,0.000000,1229.564941,0.000000
jeans,young,yes,0.000000,1229.239990,0.000000
jeans,young,yes,0.000000,1228.916016,0.000000
jeans,young,yes,0.000000,1228.590942,0.000000
jeans,young,yes,0.000000,1228.265991,0.000000
jeans,young,yes,0.000000,1227.941040,19.962158
jeans,young,yes,0.000000,1227.615967,0.000000
jeans,young,yes,0.000000,1227.291016,1.957764
jeans,young,yes,0.000000,1226.965942,16.955811
jeans,young,yes,0.000000,1226.640991,10.953613
jeans,young,yes,0.000000,1226.317017,0.000000
jeans,young,yes,0.000000,1225.991943,3.949463
jeans,young,yes,0.000000,1225.666992,6.947266
jeans,young,yes,0.000000,1225.342041,7.945312
jeans,young,yes,0.000000,1225.016968,0.000000
jeans,young,yes,0.000000,1224.692017,6.940918
jeans,young,yes,0.000000,1224.366943,22.938965
jeans,young,yes,0.000000,1224.041992,10.936768
jeans,young,yes,0.000000,1223.717041,9.934570
jeans,young,yes,0.000000,1223.392944,28.932617
jeans,young,yes,0.000000,1223.067993,6.930420
jeans,young,yes,0.000000,1222.743042,0.000000
jeans,young,yes,0.000000,1222.417969,3.926270
jeans,young,yes,0.000000,1222.093018,4.924072
jeans,young,yes,0.000000,1221.767944,6.922119
jeans,young,yes,0.000000,1221.442993,16.919922
