Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
table,young,yes,0.000000,1233.788940,72.642822
table,young,yes,0.000000,1233.463989,62.643066
table,young,yes,0.000000,1233.139038,0.000000
table,young,yes,0.000000,1232.813965,0.000000
table,young,yes,0.000000,1232.489014,14.644043
table,young,yes,0.000000,1232.163940,2.644531
table,young,yes,0.000000,1231.839966,0.000000
table,young,yes,0.000000,1231.515015,0.000000
table,young,yes,0.000000,1231.189941,0.000000
table,young,yes,0.000000,1230.864990,0.000000
table,young,yes,0.000000,1230.540039,0.000000
table,young,yes,0.000000,1230.214966,0.000000
table,young,yes,0.000000,1229.890015,0.000000
table,young,yes,0.000000,1229.564941,0.000000
table,young,yes,0.000000,1229.239990,10.647461
table,young,yes,0.000000,1228.916016,5.647705
table,young,yes,0.000000,1228.590942,0.000000
table,young,yes,0.000000,1228.265991,0.000000
table,young,yes,0.000000,1227.941040,3.648682
table,young,yes,0.000000,1227.615967,0.000000
table,young,yes,0.000000,1227.291016,5.649414
table,young,yes,0.000000,1226.965942,7.649658
table,young,yes,0.000000,1226.640991,3.649902
table,young,yes,0.000000,1226.317017,0.000000
table,young,yes,0.000000,1225.991943,9.650635
table,young,yes,0.000000,1225.666992,20.650879
table,young,yes,0.000000,1225.342041,20.651367
table,young,yes,0.000000,1225.016968,7.651611
table,young,yes,0.000000,1224.692017,0.000000
table,young,yes,0.000000,1224.366943,3.652344
table,young,yes,0.000000,1224.041992,7.652588
table,young,yes,0.000000,1223.717041,12.652832
table,young,yes,0.000000,1223.392944,17.653320
table,young,yes,0.000000,1223.067993,19.653564
table,young,yes,0.000000,1222.743042,12.653809
table,young,yes,0.000000,1222.417969,2.654297
table,young,yes,0.000000,1222.093018,10.654541
table,young,yes,0.000000,1221.767944,1.654785
table,young,yes,0.000000,1221.442993,11.655273
table,young,yes,0.000000,1221.118042,22.655518
table,young,yes,0.000000,1220.793945,13.655762
table,young,yes,0.000000,1220.468994,16.656250
table,young,yes,0.000000,1220.144043,25.656494
table,young,yes,0.000000,1219.818970,10.656738
table,young,yes,0.000000,1219.494019,17.657227
table,young,yes,0.000000,1219.168945,26.657471
table,young,yes,0.000000,1218.843994,19.657715
table,young,yes,0.000000,1218.519043,18.658203
table,young,yes,0.000000,1218.193970,11.658447
table,young,yes,0.000000,1217.869995,4.658691
table,young,yes,0.000000,1217.545044,0.000000
table,young,yes,0.000000,1217.219971,0.659424
table,young,yes,0.000000,1216.895020,3.659668
table,young,yes,0.000000,1216.569946,26.660156
table,young,yes,0.000000,1216.244995,25.660400
table,young,yes,0.000000,1215.920044,8.660889
table,young,yes,0.000000,1215.594971,16.661133
table,young,yes,0.000000,1215.270996,20.661377
table,young,yes,0.000000,1214.946045,8.661865
table,young,yes,0.000000,1214.620972,23.662109
table,young,yes,0.000000,1214.296021,9.662354
table,young,yes,0.000000,1213.970947,16.662842
table,young,yes,0.000000,1213.645996,17.663086
