Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
paper,young,yes,0.000000,1233.788940,71.437500
paper,young,yes,0.000000,1233.463989,61.436035
paper,young,yes,0.000000,1233.139038,0.000000
paper,young,yes,0.000000,1232.813965,0.000000
paper,young,yes,0.000000,1232.489014,0.000000
paper,young,yes,0.000000,1232.163940,0.000000
paper,young,yes,0.000000,1231.839966,0.000000
paper,young,yes,0.000000,1231.515015,0.000000
paper,young,yes,0.000000,1231.189941,0.000000
paper,young,yes,0.000000,1230.864990,0.000000
paper,young,yes,0.000000,1230.540039,0.000000
paper,young,yes,0.000000,1230.214966,2.421387
paper,young,yes,0.000000,1229.890015,5.419922
paper,young,yes,0.000000,1229.564941,2.418457
paper,young,yes,0.000000,1229.239990,0.000000
paper,young,yes,0.000000,1228.916016,0.000000
paper,young,yes,0.000000,1228.590942,0.000000
paper,young,yes,0.000000,1228.265991,2.412598
paper,young,yes,0.000000,1227.941040,25.410889
paper,young,yes,0.000000,1227.615967,33.409424
paper,young,yes,0.000000,1227.291016,8.407959
paper,young,yes,0.000000,1226.965942,6.406494
paper,young,yes,0.000000,1226.640991,14.405029
paper,young,yes,0.000000,1226.317017,1.403564
paper,young,yes,0.000000,1225.991943,4.402100
paper,young,yes,0.000000,1225.666992,12.400635
paper,young,yes,0.000000,1225.342041,7.399170
paper,young,yes,0.000000,1225.016968,0.000000
paper,young,yes,0.000000,1224.692017,0.396240
paper,young,yes,0.000000,1224.366943,21.394775
paper,young,yes,0.000000,1224.041992,28.393311
paper,young,yes,0.000000,1223.717041,29.391846
paper,young,yes,0.000000,1223.392944,19.390381
paper,young,yes,0.000000,1223.067993,0.000000
paper,young,yes,0.000000,1222.743042,0.000000
paper,young,yes,0.000000,1222.417969,0.000000
paper,young,yes,0.000000,1222.093018,8.384521
paper,young,yes,0.000000,1221.767944,5.383057
paper,young,yes,0.000000,1221.442993,8.381592
paper,young,yes,0.000000,1221.118042,0.000000
paper,young,yes,0.000000,1220.793945,1.378662
paper,young,yes,0.000000,1220.468994,0.000000
paper,young,yes,0.000000,1220.144043,4.375732
paper,young,yes,0.000000,1219.818970,4.374268
paper,young,yes,0.000000,1219.494019,2.372803
paper,young,yes,0.000000,1219.168945,7.371338
paper,young,yes,0.000000,1218.843994,5.369873
paper,young,yes,0.000000,1218.519043,5.368408
paper,young,yes,0.000000,1218.193970,15.366943
paper,young,yes,0.000000,1217.869995,15.365479
paper,young,yes,0.000000,1217.545044,4.364014
paper,young,yes,0.000000,1217.219971,14.362549
paper,young,yes,0.000000,1216.895020,13.360840
paper,young,yes,0.000000,1216.569946,9.359375
paper,young,yes,0.000000,1216.244995,19.357910
paper,young,yes,0.000000,1215.920044,20.356445
paper,young,yes,0.000000,1215.594971,22.354980
paper,young,yes,0.000000,1215.270996,16.353516
paper,young,yes,0.000000,1214.946045,17.352051
paper,young,yes,0.000000,1214.620972,9.350586
paper,young,yes,0.000000,1214.296021,2.349121
paper,young,yes,0.000000,1213.970947,11.347656
paper,young,yes,0.000000,1213.645996,7.346191
paper,young,yes,0.000000,1213.321045,28.344727
paper,young,yes,0.000000,1212.995972,22.343262
paper,young,yes,0.000000,1212.671021,1.341797
paper,young,yes,0.000000,1212.347046,11.340332
paper,young,yes,0.000000,1212.021973,33.338867
paper,young,yes,0.000000,1211.697021,17.337402
paper,young,yes,0.000000,1211.371948,6.335938
paper,young,yes,0.000000,1211.046997,4.334473
paper,young,yes,0.000000,1210.722046,18.333008
paper,young,yes,0.000000,1210.396973,11.331543
paper,young,yes,0.000000,1210.072021,7.330078
paper,young,yes,0.000000,1209.746948,17.328613
paper,young,yes,0.000000,1209.422974,11.327148
paper,young,yes,0.000000,1209.098022,20.325684
paper,young,yes,0.000000,1208.772949,15.324219
paper,young,yes,0.000000,1208.447998,0.000000
paper,young,yes,0.000000,1208.123047,13.321289
paper,young,yes,0.000000,1207.797974,19.319824
paper,young,yes,0.000000,1207.473022,11.318359
paper,young,yes,0.000000,1207.147949,14.316895
paper,young,yes,0.000000,1206.823975,30.315430
paper,young,yes,0.000000,1206.499023,23.313965
paper,young,yes,0.000000,1206.173950,33.312500
paper,young,yes,0.000000,1205.848999,19.310791
paper,young,yes,0.000000,1205.524048,15.309326
paper,young,yes,0.000000,1205.198975,11.307861
paper,young,yes,0.000000,1204.874023,8.306396
paper,young,yes,0.000000,1204.548950,0.000000
paper,young,yes,0.000000,1204.223999,0.000000
