Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
tin_foil,young,yes,0.000000,1233.788940,42.714355
tin_foil,young,yes,0.000000,1233.463989,29.714600
tin_foil,young,yes,0.000000,1233.139038,0.000000
tin_foil,young,yes,0.000000,1232.813965,0.000000
tin_foil,young,yes,0.000000,1232.489014,0.714844
tin_foil,young,yes,0.000000,1232.163940,0.000000
tin_foil,young,yes,0.000000,1231.839966,1.715088
tin_foil,young,yes,0.000000,1231.515015,3.715332
tin_foil,young,yes,0.000000,1231.189941,0.000000
tin_foil,young,yes,0.000000,1230.864990,0.000000
tin_foil,young,yes,0.000000,1230.540039,0.000000
tin_foil,young,yes,0.000000,1230.214966,1.715820
tin_foil,young,yes,0.000000,1229.890015,0.000000
tin_foil,young,yes,0.000000,1229.564941,0.000000
tin_foil,young,yes,0.000000,1229.239990,2.716064
tin_foil,young,yes,0.000000,1228.916016,0.000000
tin_foil,young,yes,0.000000,1228.590942,0.000000
tin_foil,young,yes,0.000000,1228.265991,7.716553
tin_foil,young,yes,0.000000,1227.941040,10.716553
tin_foil,young,yes,0.000000,1227.615967,0.000000
tin_foil,young,yes,0.000000,1227.291016,7.716797
tin_foil,young,yes,0.000000,1226.965942,0.000000
tin_foil,young,yes,0.000000,1226.640991,0.000000
tin_foil,young,yes,0.000000,1226.317017,6.717285
tin_foil,young,yes,0.000000,1225.991943,13.717285
tin_foil,young,yes,0.000000,1225.666992,2.717529
tin_foil,young,yes,0.000000,1225.342041,23.717529
tin_foil,young,yes,0.000000,1225.016968,26.717773
tin_foil,young,yes,0.000000,1224.692017,0.000000
tin_foil,young,yes,0.000000,1224.366943,8.718018
tin_foil,young,yes,0.000000,1224.041992,0.000000
tin_foil,young,yes,0.000000,1223.717041,0.000000
tin_foil,young,yes,0.000000,1223.392944,12.718262
tin_foil,young,yes,0.000000,1223.067993,1.718506
tin_foil,young,yes,0.000000,1222.743042,4.718750
tin_foil,young,yes,0.000000,1222.417969,0.718750
tin_foil,young,yes,0.000000,1222.093018,12.718994
tin_foil,young,yes,0.000000,1221.767944,8.718994
tin_foil,young,yes,0.000000,1221.442993,1.719238
tin_foil,young,yes,0.000000,1221.118042,2.719238
tin_foil,young,yes,0.000000,1220.793945,0.000000
tin_foil,young,yes,0.000000,1220.468994,0.000000
tin_foil,young,yes,0.000000,1220.144043,0.000000
