Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
magnolia_leaf,young,yes,0.000000,1233.788940,59.625000
magnolia_leaf,young,yes,0.000000,1233.463989,51.624756
magnolia_leaf,young,yes,0.000000,1233.139038,0.000000
magnolia_leaf,young,yes,0.000000,1232.813965,1.624512
magnolia_leaf,young,yes,0.000000,1232.489014,0.000000
magnolia_leaf,young,yes,0.000000,1232.163940,0.000000
magnolia_leaf,young,yes,0.000000,1231.839966,0.000000
magnolia_leaf,young,yes,0.000000,1231.515015,0.000000
magnolia_leaf,young,yes,0.000000,1231.189941,0.000000
magnolia_leaf,young,yes,0.000000,1230.864990,0.000000
magnolia_leaf,young,yes,0.000000,1230.540039,0.000000
magnolia_leaf,young,yes,0.000000,1230.214966,0.000000
magnolia_leaf,young,yes,0.000000,1229.890015,0.000000
magnolia_leaf,young,yes,0.000000,1229.564941,0.000000
magnolia_leaf,young,yes,0.000000,1229.239990,0.000000
magnolia_leaf,young,yes,0.000000,1228.916016,0.000000
magnolia_leaf,young,yes,0.000000,1228.590942,8.622803
magnolia_leaf,young,yes,0.000000,1228.265991,22.622803
magnolia_leaf,young,yes,0.000000,1227.941040,28.622559
magnolia_leaf,young,yes,0.000000,1227.615967,16.622559
magnolia_leaf,young,yes,0.000000,1227.291016,0.000000
magnolia_leaf,young,yes,0.000000,1226.965942,8.622314
magnolia_leaf,young,yes,0.000000,1226.640991,9.622070
magnolia_leaf,young,yes,0.000000,1226.317017,16.622070
magnolia_leaf,young,yes,0.000000,1225.991943,17.621826
magnolia_leaf,young,yes,0.000000,1225.666992,8.621826
magnolia_leaf,young,yes,0.000000,1225.342041,3.621582
magnolia_leaf,young,yes,0.000000,1225.016968,32.621582
magnolia_leaf,young,yes,0.000000,1224.692017,19.621338
magnolia_leaf,young,yes,0.000000,1224.366943,0.621094
magnolia_leaf,young,yes,0.000000,1224.041992,12.621094
magnolia_leaf,young,yes,0.000000,1223.717041,0.000000
magnolia_leaf,young,yes,0.000000,1223.392944,0.000000
magnolia_leaf,young,yes,0.000000,1223.067993,0.000000
magnolia_leaf,young,yes,0.000000,1222.743042,0.000000
magnolia_leaf,young,yes,0.000000,1222.417969,6.620361
magnolia_leaf,young,yes,0.000000,1222.093018,9.620361
magnolia_leaf,young,yes,0.000000,1221.767944,0.000000
magnolia_leaf,young,yes,0.000000,1221.442993,11.620117
magnolia_leaf,young,yes,0.000000,1221.118042,3.619873
magnolia_leaf,young,yes,0.000000,1220.793945,5.619873
magnolia_leaf,young,yes,0.000000,1220.468994,0.000000
magnolia_leaf,young,yes,0.000000,1220.144043,20.619629
magnolia_leaf,young,yes,0.000000,1219.818970,14.619385
magnolia_leaf,young,yes,0.000000,1219.494019,21.619141
magnolia_leaf,young,yes,0.000000,1219.168945,21.619141
magnolia_leaf,young,yes,0.000000,1218.843994,16.618896
magnolia_leaf,young,yes,0.000000,1218.519043,8.618896
magnolia_leaf,young,yes,0.000000,1218.193970,3.618652
magnolia_leaf,young,yes,0.000000,1217.869995,0.000000
magnolia_leaf,young,yes,0.000000,1217.545044,0.000000
magnolia_leaf,young,yes,0.000000,1217.219971,13.618408
magnolia_leaf,young,yes,0.000000,1216.895020,10.618164
magnolia_leaf,young,yes,0.000000,1216.569946,0.000000
magnolia_leaf,young,yes,0.000000,1216.244995,3.617920
magnolia_leaf,young,yes,0.000000,1215.920044,5.617920
magnolia_leaf,young,yes,0.000000,1215.594971,8.617676
magnolia_leaf,young,yes,0.000000,1215.270996,11.617676
magnolia_leaf,young,yes,0.000000,1214.946045,4.617432
magnolia_leaf,young,yes,0.000000,1214.620972,8.617188
magnolia_leaf,young,yes,0.000000,1214.296021,3.617188
magnolia_leaf,young,yes,0.000000,1213.970947,3.616943
magnolia_leaf,young,yes,0.000000,1213.645996,12.616943
magnolia_leaf,young,yes,0.000000,1213.321045,16.616699
magnolia_leaf,young,yes,0.000000,1212.995972,23.616699
magnolia_leaf,young,yes,0.000000,1212.671021,6.616455
magnolia_leaf,young,yes,0.000000,1212.347046,3.616455
magnolia_leaf,young,yes,0.000000,1212.021973,18.616211
magnolia_leaf,young,yes,0.000000,1211.697021,18.616211
magnolia_leaf,young,yes,0.000000,1211.371948,13.615967
magnolia_leaf,young,yes,0.000000,1211.046997,27.615967
magnolia_leaf,young,yes,0.000000,1210.722046,30.615723
magnolia_leaf,young,yes,0.000000,1210.396973,23.615723
magnolia_leaf,young,yes,0.000000,1210.072021,10.615479
magnolia_leaf,young,yes,0.000000,1209.746948,0.615234
magnolia_leaf,young,yes,0.000000,1209.422974,0.000000
magnolia_leaf,young,yes,0.000000,1209.098022,0.000000
magnolia_leaf,young,yes,0.000000,1208.772949,0.000000
magnolia_leaf,young,yes,0.000000,1208.447998,0.614746
magnolia_leaf,young,yes,0.000000,1208.123047,15.614746
magnolia_leaf,young,yes,0.000000,1207.797974,25.614502
magnolia_leaf,young,yes,0.000000,1207.473022,16.614502
magnolia_leaf,young,yes,0.000000,1207.147949,15.614258
magnolia_leaf,young,yes,0.000000,1206.823975,16.614258
magnolia_leaf,young,yes,0.000000,1206.499023,4.614014
magnolia_leaf,young,yes,0.000000,1206.173950,0.000000
magnolia_leaf,young,yes,0.000000,1205.848999,1.613770
