Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
dandelion,young,yes,0.000000,1233.788940,70.625000
dandelion,young,yes,0.000000,1233.463989,56.623779
dandelion,young,yes,0.000000,1233.139038,0.000000
dandelion,young,yes,0.000000,1232.813965,5.621338
dandelion,young,yes,0.000000,1232.489014,1.620117
dandelion,young,yes,0.000000,1232.163940,0.000000
dandelion,young,yes,0.000000,1231.839966,1.617920
dandelion,young,yes,0.000000,1231.515015,0.000000
dandelion,young,yes,0.000000,1231.189941,0.000000
dandelion,young,yes,0.000000,1230.864990,0.000000
dandelion,young,yes,0.000000,1230.540039,0.000000
dandelion,young,yes,0.000000,1230.214966,0.000000
dandelion,young,yes,0.000000,1229.890015,0.000000
dandelion,young,yes,0.000000,1229.564941,0.000000
dandelion,young,yes,0.000000,1229.239990,0.000000
dandelion,young,yes,0.000000,1228.916016,0.000000
dandelion,young,yes,0.000000,1228.590942,0.000000
dandelion,young,yes,0.000000,1228.265991,0.000000
dandelion,young,yes,0.000000,1227.941040,10.603516
dandelion,young,yes,0.000000,1227.615967,12.602295
dandelion,young,yes,0.000000,1227.291016,7.601074
dandelion,young,yes,0.000000,1226.965942,0.000000
dandelion,young,yes,0.000000,1226.640991,9.598633
dandelion,young,yes,0.000000,1226.317017,28.597656
dandelion,young,yes,0.000000,1225.991943,22.596436
dandelion,young,yes,0.000000,1225.666992,7.595215
dandelion,young,yes,0.000000,1225.342041,7.593994
dandelion,young,yes,0.000000,1225.016968,9.592773
dandelion,young,yes,0.000000,1224.692017,24.591553
dandelion,young,yes,0.000000,1224.366943,23.590332
dandelion,young,yes,0.000000,1224.041992,13.589111
dandelion,young,yes,0.000000,1223.717041,4.587891
dandelion,young,yes,0.000000,1223.392944,6.586670
dandelion,young,yes,0.000000,1223.067993,8.585693
dandelion,young,yes,0.000000,1222.743042,0.000000
dandelion,young,yes,0.000000,1222.417969,0.583252
dandelion,young,yes,0.000000,1222.093018,17.582031
dandelion,young,yes,0.000000,1221.767944,26.580811
dandelion,young,yes,0.000000,1221.442993,2.579590
dandelion,young,yes,0.000000,1221.118042,2.578369
dandelion,young,yes,0.000000,1220.793945,15.577148
dandelion,young,yes,0.000000,1220.468994,7.575928
dandelion,young,yes,0.000000,1220.144043,8.574951
dandelion,young,yes,0.000000,1219.818970,11.573730
dandelion,young,yes,0.000000,1219.494019,0.572510
dandelion,young,yes,0.000000,1219.168945,25.571289
dandelion,young,yes,0.000000,1218.843994,23.570068
dandelion,young,yes,0.000000,1218.519043,5.568848
dandelion,young,yes,0.000000,1218.193970,13.567627
dandelion,young,yes,0.000000,1217.869995,11.566406
dandelion,young,yes,0.000000,1217.545044,6.565186
dandelion,young,yes,0.000000,1217.219971,18.564209
dandelion,young,yes,0.000000,1216.895020,21.562988
