Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
soybean,young,yes,0.000000,1233.788940,57.642822
soybean,young,yes,0.000000,1233.463989,46.642822
soybean,young,yes,0.000000,1233.139038,2.642822
soybean,young,yes,0.000000,1232.813965,18.643066
soybean,young,yes,0.000000,1232.489014,8.643066
soybean,young,yes,0.000000,1232.163940,0.000000
soybean,young,yes,0.000000,1231.839966,0.000000
soybean,young,yes,0.000000,1231.515015,1.643311
soybean,young,yes,0.000000,1231.189941,0.000000
soybean,young,yes,0.000000,1230.864990,0.000000
soybean,young,yes,0.000000,1230.540039,0.000000
soybean,young,yes,0.000000,1230.214966,0.000000
soybean,young,yes,0.000000,1229.890015,0.000000
soybean,young,yes,0.000000,1229.564941,0.000000
soybean,young,yes,0.000000,1229.239990,0.000000
soybean,young,yes,0.000000,1228.916016,0.000000
soybean,young,yes,0.000000,1228.590942,0.000000
soybean,young,yes,0.000000,1228.265991,0.000000
soybean,young,yes,0.000000,1227.941040,0.000000
soybean,young,yes,0.000000,1227.615967,0.000000
soybean,young,yes,0.000000,1227.291016,6.644043
soybean,young,yes,0.000000,1226.965942,14.644043
soybean,young,yes,0.000000,1226.640991,15.644043
soybean,young,yes,0.000000,1226.317017,8.644043
soybean,young,yes,0.000000,1225.991943,4.644043
soybean,young,yes,0.000000,1225.666992,1.644287
soybean,young,yes,0.000000,1225.342041,2.644287
soybean,young,yes,0.000000,1225.016968,19.644287
soybean,young,yes,0.000000,1224.692017,8.644287
soybean,young,yes,0.000000,1224.366943,5.644531
soybean,young,yes,0.000000,1224.041992,0.000000
soybean,young,yes,0.000000,1223.717041,22.644531
soybean,young,yes,0.000000,1223.392944,21.644531
soybean,young,yes,0.000000,1223.067993,0.644775
soybean,young,yes,0.000000,1222.743042,7.644775
soybean,young,yes,0.000000,1222.417969,15.644775
soybean,young,yes,0.000000,1222.093018,12.644775
soybean,young,yes,0.000000,1221.767944,16.644775
soybean,young,yes,0.000000,1221.442993,17.645020
soybean,young,yes,0.000000,1221.118042,15.645020
soybean,young,yes,0.000000,1220.793945,0.645020
soybean,young,yes,0.000000,1220.468994,1.645020
soybean,young,yes,0.000000,1220.144043,3.645264
soybean,young,yes,0.000000,1219.818970,0.000000
soybean,young,yes,0.000000,1219.494019,2.645264
soybean,young,yes,0.000000,1219.168945,0.000000
soybean,young,yes,0.000000,1218.843994,3.645264
soybean,young,yes,0.000000,1218.519043,0.000000
soybean,young,yes,0.000000,1218.193970,4.645508
soybean,young,yes,0.000000,1217.869995,24.645508
soybean,young,yes,0.000000,1217.545044,11.645508
soybean,young,yes,0.000000,1217.219971,1.645752
soybean,young,yes,0.000000,1216.895020,0.000000
soybean,young,yes,0.000000,1216.569946,0.000000
soybean,young,yes,0.000000,1216.244995,1.645752
soybean,young,yes,0.000000,1215.920044,0.000000
soybean,young,yes,0.000000,1215.594971,6.645996
soybean,young,yes,0.000000,1215.270996,0.000000
soybean,young,yes,0.000000,1214.946045,0.000000
soybean,young,yes,0.000000,1214.620972,0.000000
soybean,young,yes,0.000000,1214.296021,0.000000
soybean,young,yes,0.000000,1213.970947,0.000000
soybean,young,yes,0.000000,1213.645996,5.646240
soybean,young,yes,0.000000,1213.321045,15.646240
soybean,young,yes,0.000000,1212.995972,16.646484
soybean,young,yes,0.000000,1212.671021,10.646484
soybean,young,yes,0.000000,1212.347046,3.646484
soybean,young,yes,0.000000,1212.021973,10.646484
soybean,young,yes,0.000000,1211.697021,6.646484
soybean,young,yes,0.000000,1211.371948,5.646729
soybean,young,yes,0.000000,1211.046997,2.646729
soybean,young,yes,0.000000,1210.722046,0.000000
soybean,young,yes,0.000000,1210.396973,12.646729
soybean,young,yes,0.000000,1210.072021,10.646973
soybean,young,yes,0.000000,1209.746948,0.646973
soybean,young,yes,0.000000,1209.422974,14.646973
soybean,young,yes,0.000000,1209.098022,8.646973
soybean,young,yes,0.000000,1208.772949,8.647217
soybean,young,yes,0.000000,1208.447998,17.647217
soybean,young,yes,0.000000,1208.123047,8.647217
soybean,young,yes,0.000000,1207.797974,0.000000
soybean,young,yes,0.000000,1207.473022,15.647217
soybean,young,yes,0.000000,1207.147949,9.647461
soybean,young,yes,0.000000,1206.823975,5.647461
soybean,young,yes,0.000000,1206.499023,0.000000
soybean,young,yes,0.000000,1206.173950,0.000000
soybean,young,yes,0.000000,1205.848999,0.000000
soybean,young,yes,0.000000,1205.524048,7.647705
soybean,young,yes,0.000000,1205.198975,24.647705
soybean,young,yes,0.000000,1204.874023,31.647705
soybean,young,yes,0.000000,1204.548950,18.647705
soybean,young,yes,0.000000,1204.223999,1.647949
