Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
weed,young,yes,0.000000,1233.788940,22.562500
weed,young,yes,0.000000,1233.463989,11.560791
weed,young,yes,0.000000,1233.139038,0.000000
weed,young,yes,0.000000,1232.813965,17.557129
weed,young,yes,0.000000,1232.489014,28.555420
weed,young,yes,0.000000,1232.163940,7.553711
weed,young,yes,0.000000,1231.839966,0.000000
weed,young,yes,0.000000,1231.515015,0.000000
weed,young,yes,0.000000,1231.189941,0.000000
weed,young,yes,0.000000,1230.864990,0.000000
weed,young,yes,0.000000,1230.540039,1.544678
weed,young,yes,0.000000,1230.214966,0.000000
weed,young,yes,0.000000,1229.890015,4.541260
weed,young,yes,0.000000,1229.564941,2.539307
weed,young,yes,0.000000,1229.239990,0.000000
weed,young,yes,0.000000,1228.916016,0.000000
weed,young,yes,0.000000,1228.590942,0.000000
weed,young,yes,0.000000,1228.265991,4.532227
weed,young,yes,0.000000,1227.941040,22.530518
weed,young,yes,0.000000,1227.615967,23.528809
weed,young,yes,0.000000,1227.291016,17.526855
weed,young,yes,0.000000,1226.965942,12.525146
weed,young,yes,0.000000,1226.640991,4.523438
weed,young,yes,0.000000,1226.317017,12.521729
weed,young,yes,0.000000,1225.991943,19.519775
weed,young,yes,0.000000,1225.666992,21.518066
weed,young,yes,0.000000,1225.342041,19.516357
weed,young,yes,0.000000,1225.016968,20.514648
weed,young,yes,0.000000,1224.692017,13.512695
weed,young,yes,0.000000,1224.366943,22.510986
weed,young,yes,0.000000,1224.041992,17.509277
weed,young,yes,0.000000,1223.717041,21.507324
weed,young,yes,0.000000,1223.392944,1.505615
weed,young,yes,0.000000,1223.067993,0.000000
weed,young,yes,0.000000,1222.743042,7.502197
weed,young,yes,0.000000,1222.417969,23.500244
weed,young,yes,0.000000,1222.093018,17.498535
weed,young,yes,0.000000,1221.767944,0.000000
weed,young,yes,0.000000,1221.442993,1.494873
weed,young,yes,0.000000,1221.118042,23.493164
weed,young,yes,0.000000,1220.793945,33.491455
weed,young,yes,0.000000,1220.468994,14.489746
weed,young,yes,0.000000,1220.144043,8.487793
weed,young,yes,0.000000,1219.818970,11.486084
weed,young,yes,0.000000,1219.494019,11.484375
weed,young,yes,0.000000,1219.168945,27.482666
weed,young,yes,0.000000,1218.843994,36.480713
weed,young,yes,0.000000,1218.519043,4.479004
weed,young,yes,0.000000,1218.193970,16.477295
weed,young,yes,0.000000,1217.869995,29.475342
weed,young,yes,0.000000,1217.545044,18.473633
weed,young,yes,0.000000,1217.219971,0.000000
weed,young,yes,0.000000,1216.895020,7.470215
weed,young,yes,0.000000,1216.569946,17.468262
weed,young,yes,0.000000,1216.244995,22.466553
weed,young,yes,0.000000,1215.920044,9.464844
weed,young,yes,0.000000,1215.594971,15.463135
weed,young,yes,0.000000,1215.270996,29.461182
weed,young,yes,0.000000,1214.946045,23.459473
weed,young,yes,0.000000,1214.620972,27.457764
weed,young,yes,0.000000,1214.296021,24.455811
weed,young,yes,0.000000,1213.970947,22.454102
weed,young,yes,0.000000,1213.645996,21.452393
weed,young,yes,0.000000,1213.321045,19.450684
weed,young,yes,0.000000,1212.995972,21.448730
weed,young,yes,0.000000,1212.671021,18.447021
weed,young,yes,0.000000,1212.347046,10.445312
weed,young,yes,0.000000,1212.021973,15.443359
weed,young,yes,0.000000,1211.697021,15.441650
weed,young,yes,0.000000,1211.371948,18.439941
weed,young,yes,0.000000,1211.046997,27.438232
weed,young,yes,0.000000,1210.722046,7.436279
weed,young,yes,0.000000,1210.396973,27.434570
weed,young,yes,0.000000,1210.072021,34.432861
weed,young,yes,0.000000,1209.746948,26.431152
weed,young,yes,0.000000,1209.422974,17.429199
weed,young,yes,0.000000,1209.098022,8.427490
weed,young,yes,0.000000,1208.772949,7.425781
weed,young,yes,0.000000,1208.447998,25.423828
weed,young,yes,0.000000,1208.123047,21.422119
weed,young,yes,0.000000,1207.797974,16.420410
weed,young,yes,0.000000,1207.473022,6.418701
weed,young,yes,0.000000,1207.147949,0.416748
weed,young,yes,0.000000,1206.823975,8.415039
weed,young,yes,0.000000,1206.499023,19.413330
weed,young,yes,0.000000,1206.173950,12.411377
weed,young,yes,0.000000,1205.848999,15.409668
weed,young,yes,0.000000,1205.524048,14.407959
weed,young,yes,0.000000,1205.198975,20.406250
weed,young,yes,0.000000,1204.874023,18.404297
weed,young,yes,0.000000,1204.548950,11.402588
weed,young,yes,0.000000,1204.223999,22.400879
weed,young,yes,0.000000,1203.900024,23.399170
weed,young,yes,0.000000,1203.574951,18.397217
weed,young,yes,0.000000,1203.250000,3.395508
weed,young,yes,0.000000,1202.925049,12.393799
weed,young,yes,0.000000,1202.599976,22.391846
weed,young,yes,0.000000,1202.275024,27.390137
weed,young,yes,0.000000,1201.949951,25.388428
weed,young,yes,0.000000,1201.625000,9.386719
weed,young,yes,0.000000,1201.301025,4.384766
weed,young,yes,0.000000,1200.975952,23.383057
weed,young,yes,0.000000,1200.651001,29.381348
weed,young,yes,0.000000,1200.326050,27.379639
weed,young,yes,0.000000,1200.000977,22.377686
weed,young,yes,0.000000,1199.676025,28.375977
weed,young,yes,0.000000,1199.350952,23.374268
weed,young,yes,0.000000,1199.026001,26.372314
weed,young,yes,0.000000,1198.701050,16.370605
weed,young,yes,0.000000,1198.376953,28.368896
weed,young,yes,0.000000,1198.052002,27.367188
weed,young,yes,0.000000,1197.727051,13.365234
weed,young,yes,0.000000,1197.401978,12.363525
