mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8678678512573241,0.16924295072391457,0.2100076675415039,0.02627203321143696,relu,0.0001,"(64,)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",,,0.0,,,,,19
2.079281187057495,0.3833655761631319,0.26238389015197755,0.09469315709083662,relu,0.0001,"(64,)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.0,,,,,,,19
2.1526933193206785,0.5786360868778069,0.18595142364501954,0.014549403652441728,relu,0.0001,"(64,)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.1}",0.13333333333333333,0.14285714285714285,0.0,,,,,19
1.957820177078247,0.2682466413569195,0.20953893661499023,0.01775930915709471,relu,0.0001,"(128,)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",,0.07142857142857142,,0.0,,,,19
2.558317184448242,0.5021893701608756,0.27535181045532225,0.09829819500706466,relu,0.0001,"(128,)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",,0.07142857142857142,0.07142857142857142,0.0,,,,19
1.6563052654266357,0.03273909765691962,0.1894211769104004,0.01631179063039822,relu,0.0001,"(128,)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.1}",0.0,0.14285714285714285,,0.21428571428571427,,,,19
2.533345031738281,0.6797005721212843,0.3240018844604492,0.11793959521129281,relu,0.0001,"(256,)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.04285714285714286,0.05714285714285714,13
2.5147483348846436,0.5735707215244062,0.5030293941497803,0.2673524762259424,relu,0.0001,"(256,)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",0.2,,,0.07142857142857142,,,,19
2.1774450302124024,0.26583821801409435,0.24471335411071776,0.06955769778351487,relu,0.0001,"(256,)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.1}",0.0,0.14285714285714285,0.0,0.0,,,,19
3.229944276809692,0.813649483260163,0.27043747901916504,0.05996232880083492,relu,0.0001,"(64, 64)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",0.13333333333333333,,0.0,0.0,0.0,,,19
3.8372575759887697,0.5575704569672557,0.3423800468444824,0.11944742735574658,relu,0.0001,"(64, 64)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",0.0,0.0,0.21428571428571427,,0.0,,,19
3.0645684719085695,0.6052622925944915,0.24621057510375977,0.00845715635168963,relu,0.0001,"(64, 64)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.1}",,0.0,0.14285714285714285,0.0,,,,19
3.3931821823120116,0.7856583557622313,0.3334691047668457,0.10977356388850575,relu,0.0001,"(128, 128)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.001}",0.0,,0.0,0.0,,,,19
3.0305537223815917,0.5119617153965011,0.2940929412841797,0.09527277443468812,relu,0.0001,"(128, 128)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.01}",0.13333333333333333,,0.0,0.0,,,,19
3.750443124771118,1.3630096854442117,0.26878604888916013,0.04724782949376647,relu,0.0001,"(128, 128)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.1}",,,0.35714285714285715,0.0,,,,19
3.431635093688965,0.7094703053759019,0.3198828220367432,0.1062288796750359,relu,0.0001,"(256, 256)",0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.001}",,,,0.14285714285714285,,,,19
3.0358434200286863,0.5436895879891299,0.2908468246459961,0.11971871983501826,relu,0.0001,"(256, 256)",0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.01}",,0.07142857142857142,0.0,,,,,19
3.705828380584717,1.0929983934587197,0.259702730178833,0.0349609872804569,relu,0.0001,"(256, 256)",0.1,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.1}",,,,,,,,19
2.0288177967071532,0.3675844712358399,0.27335491180419924,0.08102781492273492,relu,0.001,"(64,)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.3333333333333333,,0.07142857142857142,0.0,0.0,,,19
2.3643192768096926,0.8309674134740207,0.3316938400268555,0.26830045493198057,relu,0.001,"(64,)",0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.0,0.0,,,,,,19
1.7558729648590088,0.04442878074227378,0.20226292610168456,0.011355688921669453,relu,0.001,"(64,)",0.1,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.1}",0.0,,0.07142857142857142,,,,,19
2.7204090118408204,0.7268576936031983,0.28491911888122556,0.08080293486401999,relu,0.001,"(128,)",0.001,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.0,,,,0.14285714285714285,,,19
1.7801457405090333,0.11023456577633298,0.19409675598144532,0.016290992296491027,relu,0.001,"(128,)",0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",,0.14285714285714285,,,,,,19
