Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
BlackWalnut,young,no,0.000000,1233.788940,73.437500
BlackWalnut,young,no,0.000000,1233.463989,65.428711
BlackWalnut,young,no,0.000000,1233.139038,0.000000
BlackWalnut,young,no,0.000000,1232.813965,0.410889
BlackWalnut,young,no,0.000000,1232.489014,0.401855
BlackWalnut,young,no,0.000000,1232.163940,0.000000
BlackWalnut,young,no,0.000000,1231.839966,0.000000
BlackWalnut,young,no,0.000000,1231.515015,0.000000
BlackWalnut,young,no,0.000000,1231.189941,0.000000
BlackWalnut,young,no,0.000000,1230.864990,0.000000
BlackWalnut,young,no,0.000000,1230.540039,0.000000
BlackWalnut,young,no,0.000000,1230.214966,0.000000
BlackWalnut,young,no,0.000000,1229.890015,0.000000
BlackWalnut,young,no,0.000000,1229.564941,3.321777
BlackWalnut,young,no,0.000000,1229.239990,0.000000
BlackWalnut,young,no,0.000000,1228.916016,0.000000
BlackWalnut,young,no,0.000000,1228.590942,0.000000
BlackWalnut,young,no,0.000000,1228.265991,39.286133
BlackWalnut,young,no,0.000000,1227.941040,84.277344
BlackWalnut,young,no,0.000000,1227.615967,95.268555
BlackWalnut,young,no,0.000000,1227.291016,99.259521
BlackWalnut,young,no,0.000000,1226.965942,89.250732
BlackWalnut,young,no,0.000000,1226.640991,90.241699
BlackWalnut,young,no,0.000000,1226.317017,113.232910
BlackWalnut,young,no,0.000000,1225.991943,95.223877
BlackWalnut,young,no,0.000000,1225.666992,81.215088
BlackWalnut,young,no,0.000000,1225.342041,77.206055
BlackWalnut,young,no,0.000000,1225.016968,80.197266
BlackWalnut,young,no,0.000000,1224.692017,70.188477
BlackWalnut,young,no,0.000000,1224.366943,71.179443
BlackWalnut,young,no,0.000000,1224.041992,73.170654
BlackWalnut,young,no,0.000000,1223.717041,75.161621
BlackWalnut,young,no,0.000000,1223.392944,68.152832
BlackWalnut,young,no,0.000000,1223.067993,58.143799
BlackWalnut,young,no,0.000000,1222.743042,67.135010
BlackWalnut,young,no,0.000000,1222.417969,58.126221
BlackWalnut,young,no,0.000000,1222.093018,66.117188
BlackWalnut,young,no,0.000000,1221.767944,68.108398
BlackWalnut,young,no,0.000000,1221.442993,101.099365
BlackWalnut,young,no,0.000000,1221.118042,90.090576
