Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
Wood,young,no,0.000000,1233.788940,56.062500
Wood,young,no,0.000000,1233.463989,44.055176
Wood,young,no,0.000000,1233.139038,0.000000
Wood,young,no,0.000000,1232.813965,0.000000
Wood,young,no,0.000000,1232.489014,0.000000
Wood,young,no,0.000000,1232.163940,0.000000
Wood,young,no,0.000000,1231.839966,0.000000
Wood,young,no,0.000000,1231.515015,4.010986
Wood,young,no,0.000000,1231.189941,0.000000
Wood,young,no,0.000000,1230.864990,0.000000
Wood,young,no,0.000000,1230.540039,4.989014
Wood,young,no,0.000000,1230.214966,0.000000
Wood,young,no,0.000000,1229.890015,0.000000
Wood,young,no,0.000000,1229.564941,11.967041
Wood,young,no,0.000000,1229.239990,10.959717
Wood,young,no,0.000000,1228.916016,0.000000
Wood,young,no,0.000000,1228.590942,0.000000
Wood,young,no,0.000000,1228.265991,16.937744
Wood,young,no,0.000000,1227.941040,77.930176
Wood,young,no,0.000000,1227.615967,91.922852
Wood,young,no,0.000000,1227.291016,86.915527
Wood,young,no,0.000000,1226.965942,82.908203
Wood,young,no,0.000000,1226.640991,74.900879
Wood,young,no,0.000000,1226.317017,71.893555
Wood,young,no,0.000000,1225.991943,70.886230
Wood,young,no,0.000000,1225.666992,75.878906
Wood,young,no,0.000000,1225.342041,89.871582
Wood,young,no,0.000000,1225.016968,86.864258
Wood,young,no,0.000000,1224.692017,62.856934
Wood,young,no,0.000000,1224.366943,51.849365
Wood,young,no,0.000000,1224.041992,55.842041
Wood,young,no,0.000000,1223.717041,68.834717
Wood,young,no,0.000000,1223.392944,62.827393
Wood,young,no,0.000000,1223.067993,56.820068
Wood,young,no,0.000000,1222.743042,50.812744
Wood,young,no,0.000000,1222.417969,52.805420
Wood,young,no,0.000000,1222.093018,64.798096
Wood,young,no,0.000000,1221.767944,68.790771
Wood,young,no,0.000000,1221.442993,95.783447
Wood,young,no,0.000000,1221.118042,90.776123
Wood,young,no,0.000000,1220.793945,65.768799
Wood,young,no,0.000000,1220.468994,24.761230
Wood,young,no,0.000000,1220.144043,75.753906
Wood,young,no,0.000000,1219.818970,88.746582
Wood,young,no,0.000000,1219.494019,92.739258
Wood,young,no,0.000000,1219.168945,99.731934
Wood,young,no,0.000000,1218.843994,105.724609
