Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
southernmagnolia,young,yes,0.000000,1233.788940,34.454102
southernmagnolia,young,yes,0.000000,1233.463989,27.494873
southernmagnolia,young,yes,0.000000,1233.139038,0.000000
southernmagnolia,young,yes,0.000000,1232.813965,0.000000
southernmagnolia,young,yes,0.000000,1232.489014,0.000000
southernmagnolia,young,yes,0.000000,1232.163940,0.000000
southernmagnolia,young,yes,0.000000,1231.839966,1.417725
southernmagnolia,young,yes,0.000000,1231.515015,1.738525
southernmagnolia,young,yes,0.000000,1231.189941,3.979248
southernmagnolia,young,yes,0.000000,1230.864990,0.000000
southernmagnolia,young,yes,0.000000,1230.540039,2.740479
southernmagnolia,young,yes,0.000000,1230.214966,0.000000
southernmagnolia,young,yes,0.000000,1229.890015,2.901611
southernmagnolia,young,yes,0.000000,1229.564941,0.000000
southernmagnolia,young,yes,0.000000,1229.239990,0.000000
southernmagnolia,young,yes,0.000000,1228.916016,6.063232
southernmagnolia,young,yes,0.000000,1228.590942,0.000000
southernmagnolia,young,yes,0.000000,1228.265991,0.000000
southernmagnolia,young,yes,0.000000,1227.941040,10.705322
southernmagnolia,young,yes,0.000000,1227.615967,9.825928
southernmagnolia,young,yes,0.000000,1227.291016,0.426514
southernmagnolia,young,yes,0.000000,1226.965942,0.000000
southernmagnolia,young,yes,0.000000,1226.640991,8.467773
southernmagnolia,young,yes,0.000000,1226.317017,2.268555
southernmagnolia,young,yes,0.000000,1225.991943,5.749268
southernmagnolia,young,yes,0.000000,1225.666992,7.069580
southernmagnolia,young,yes,0.000000,1225.342041,0.430420
southernmagnolia,young,yes,0.000000,1225.016968,4.710938
southernmagnolia,young,yes,0.000000,1224.692017,10.951660
southernmagnolia,young,yes,0.000000,1224.366943,13.632080
southernmagnolia,young,yes,0.000000,1224.041992,7.032959
southernmagnolia,young,yes,0.000000,1223.717041,0.000000
southernmagnolia,young,yes,0.000000,1223.392944,5.073975
southernmagnolia,young,yes,0.000000,1223.067993,10.394775
southernmagnolia,young,yes,0.000000,1222.743042,0.000000
southernmagnolia,young,yes,0.000000,1222.417969,0.000000
southernmagnolia,young,yes,0.000000,1222.093018,0.000000
southernmagnolia,young,yes,0.000000,1221.767944,0.000000
southernmagnolia,young,yes,0.000000,1221.442993,0.000000
southernmagnolia,young,yes,0.000000,1221.118042,3.798584
southernmagnolia,young,yes,0.000000,1220.793945,3.919189
southernmagnolia,young,yes,0.000000,1220.468994,4.239746
southernmagnolia,young,yes,0.000000,1220.144043,6.600342
southernmagnolia,young,yes,0.000000,1219.818970,11.200928
southernmagnolia,young,yes,0.000000,1219.494019,0.000000
southernmagnolia,young,yes,0.000000,1219.168945,17.082031
southernmagnolia,young,yes,0.000000,1218.843994,3.122803
southernmagnolia,young,yes,0.000000,1218.519043,1.683350
southernmagnolia,young,yes,0.000000,1218.193970,3.404053
southernmagnolia,young,yes,0.000000,1217.869995,11.764893
southernmagnolia,young,yes,0.000000,1217.545044,15.205322
southernmagnolia,young,yes,0.000000,1217.219971,7.365967
southernmagnolia,young,yes,0.000000,1216.895020,5.966553
southernmagnolia,young,yes,0.000000,1216.569946,13.807373
southernmagnolia,young,yes,0.000000,1216.244995,2.967773
southernmagnolia,young,yes,0.000000,1215.920044,7.448486
southernmagnolia,young,yes,0.000000,1215.594971,15.089111
southernmagnolia,young,yes,0.000000,1215.270996,13.609619
southernmagnolia,young,yes,0.000000,1214.946045,1.930420
southernmagnolia,young,yes,0.000000,1214.620972,4.490967
southernmagnolia,young,yes,0.000000,1214.296021,2.771729
southernmagnolia,young,yes,0.000000,1213.970947,5.572021
southernmagnolia,young,yes,0.000000,1213.645996,12.772949
southernmagnolia,young,yes,0.000000,1213.321045,1.733398
southernmagnolia,young,yes,0.000000,1212.995972,10.054199
southernmagnolia,young,yes,0.000000,1212.671021,5.214844
southernmagnolia,young,yes,0.000000,1212.347046,5.535400
southernmagnolia,young,yes,0.000000,1212.021973,9.176025
southernmagnolia,young,yes,0.000000,1211.697021,2.496582
southernmagnolia,young,yes,0.000000,1211.371948,5.457275
southernmagnolia,young,yes,0.000000,1211.046997,12.737793
southernmagnolia,young,yes,0.000000,1210.722046,11.458496
southernmagnolia,young,yes,0.000000,1210.396973,11.699219
southernmagnolia,young,yes,0.000000,1210.072021,7.059814
southernmagnolia,young,yes,0.000000,1209.746948,7.260498
southernmagnolia,young,yes,0.000000,1209.422974,15.301025
southernmagnolia,young,yes,0.000000,1209.098022,14.421631
southernmagnolia,young,yes,0.000000,1208.772949,6.942139
southernmagnolia,young,yes,0.000000,1208.447998,5.342773
southernmagnolia,young,yes,0.000000,1208.123047,6.263428
southernmagnolia,young,yes,0.000000,1207.797974,2.343994
southernmagnolia,young,yes,0.000000,1207.473022,11.744873
southernmagnolia,young,yes,0.000000,1207.147949,16.265381
southernmagnolia,young,yes,0.000000,1206.823975,4.746094
southernmagnolia,young,yes,0.000000,1206.499023,8.786621
southernmagnolia,young,yes,0.000000,1206.173950,2.827393
southernmagnolia,young,yes,0.000000,1205.848999,12.187744
southernmagnolia,young,yes,0.000000,1205.524048,5.788574
southernmagnolia,young,yes,0.000000,1205.198975,15.749268
southernmagnolia,young,yes,0.000000,1204.874023,11.749756
southernmagnolia,young,yes,0.000000,1204.548950,9.790527
southernmagnolia,young,yes,0.000000,1204.223999,0.000000
southernmagnolia,young,yes,0.000000,1203.900024,11.671631
southernmagnolia,young,yes,0.000000,1203.574951,10.792236
southernmagnolia,young,yes,0.000000,1203.250000,0.000000
southernmagnolia,young,yes,0.000000,1202.925049,8.793457
southernmagnolia,young,yes,0.000000,1202.599976,1.394043
southernmagnolia,young,yes,0.000000,1202.275024,8.834961
southernmagnolia,young,yes,0.000000,1201.949951,3.155273
southernmagnolia,young,yes,0.000000,1201.625000,1.395996
southernmagnolia,young,yes,0.000000,1201.301025,9.476562
southernmagnolia,young,yes,0.000000,1200.975952,0.000000
southernmagnolia,young,yes,0.000000,1200.651001,6.237793
southernmagnolia,young,yes,0.000000,1200.326050,0.000000
southernmagnolia,young,yes,0.000000,1200.000977,7.079346
southernmagnolia,young,yes,0.000000,1199.676025,0.000000
southernmagnolia,young,yes,0.000000,1199.350952,3.120361
southernmagnolia,young,yes,0.000000,1199.026001,0.520996
southernmagnolia,young,yes,0.000000,1198.701050,5.681641
southernmagnolia,young,yes,0.000000,1198.376953,7.762207
southernmagnolia,young,yes,0.000000,1198.052002,5.442871
southernmagnolia,young,yes,0.000000,1197.727051,13.843750
southernmagnolia,young,yes,0.000000,1197.401978,4.604004
southernmagnolia,young,yes,0.000000,1197.077026,4.284912
southernmagnolia,young,yes,0.000000,1196.751953,1.885254
southernmagnolia,young,yes,0.000000,1196.427002,10.726074
southernmagnolia,young,yes,0.000000,1196.102051,13.806641
southernmagnolia,young,yes,0.000000,1195.777954,9.047363
southernmagnolia,young,yes,0.000000,1195.453003,13.687744
southernmagnolia,young,yes,0.000000,1195.128052,0.568604
southernmagnolia,young,yes,0.000000,1194.802979,4.529297
southernmagnolia,young,yes,0.000000,1194.478027,3.569824
southernmagnolia,young,yes,0.000000,1194.152954,0.000000
southernmagnolia,young,yes,0.000000,1193.828003,10.370850
southernmagnolia,young,yes,0.000000,1193.503052,7.051758
southernmagnolia,young,yes,0.000000,1193.177979,4.932129
southernmagnolia,young,yes,0.000000,1192.854004,5.012939
southernmagnolia,young,yes,0.000000,1192.529053,7.813721
southernmagnolia,young,yes,0.000000,1192.203979,0.854248
southernmagnolia,young,yes,0.000000,1191.879028,0.000000
southernmagnolia,young,yes,0.000000,1191.553955,0.335449
southernmagnolia,young,yes,0.000000,1191.229004,4.615967
southernmagnolia,young,yes,0.000000,1190.904053,7.136475
southernmagnolia,young,yes,0.000000,1190.578979,1.777344
southernmagnolia,young,yes,0.000000,1190.255005,8.457764
southernmagnolia,young,yes,0.000000,1189.930054,13.138428
southernmagnolia,young,yes,0.000000,1189.604980,16.339355
southernmagnolia,young,yes,0.000000,1189.280029,0.000000
southernmagnolia,young,yes,0.000000,1188.954956,5.700439
southernmagnolia,young,yes,0.000000,1188.630005,1.900879
southernmagnolia,young,yes,0.000000,1188.305054,6.461670
southernmagnolia,young,yes,0.000000,1187.979980,7.262207
southernmagnolia,young,yes,0.000000,1187.655029,12.542969
southernmagnolia,young,yes,0.000000,1187.331055,11.423584
southernmagnolia,young,yes,0.000000,1187.005981,0.000000
southernmagnolia,young,yes,0.000000,1186.681030,0.000000
southernmagnolia,young,yes,0.000000,1186.355957,0.000000
southernmagnolia,young,yes,0.000000,1186.031006,10.026123
southernmagnolia,young,yes,0.000000,1185.706055,10.106689
southernmagnolia,young,yes,0.000000,1185.380981,15.747314
southernmagnolia,young,yes,0.000000,1185.056030,0.387695
southernmagnolia,young,yes,0.000000,1184.732056,0.588623
southernmagnolia,young,yes,0.000000,1184.406982,6.869385
southernmagnolia,young,yes,0.000000,1184.082031,4.909668
southernmagnolia,young,yes,0.000000,1183.756958,4.750488
southernmagnolia,young,yes,0.000000,1183.432007,5.430908
southernmagnolia,young,yes,0.000000,1183.107056,0.071777
