Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
WaterBottle,young,no,0.000000,1233.788940,78.625000
WaterBottle,young,no,0.000000,1233.463989,69.616699
WaterBottle,young,no,0.000000,1233.139038,0.000000
WaterBottle,young,no,0.000000,1232.813965,0.000000
WaterBottle,young,no,0.000000,1232.489014,0.000000
WaterBottle,young,no,0.000000,1232.163940,0.000000
WaterBottle,young,no,0.000000,1231.839966,0.000000
WaterBottle,young,no,0.000000,1231.515015,0.000000
WaterBottle,young,no,0.000000,1231.189941,0.000000
WaterBottle,young,no,0.000000,1230.864990,0.000000
WaterBottle,young,no,0.000000,1230.540039,0.000000
WaterBottle,young,no,0.000000,1230.214966,0.000000
WaterBottle,young,no,0.000000,1229.890015,0.000000
WaterBottle,young,no,0.000000,1229.564941,0.000000
WaterBottle,young,no,0.000000,1229.239990,0.000000
WaterBottle,young,no,0.000000,1228.916016,0.000000
WaterBottle,young,no,0.000000,1228.590942,0.000000
WaterBottle,young,no,0.000000,1228.265991,17.484375
WaterBottle,young,no,0.000000,1227.941040,64.476074
WaterBottle,young,no,0.000000,1227.615967,82.467773
WaterBottle,young,no,0.000000,1227.291016,91.459473
WaterBottle,young,no,0.000000,1226.965942,71.451416
WaterBottle,young,no,0.000000,1226.640991,54.443115
WaterBottle,young,no,0.000000,1226.317017,85.434814
WaterBottle,young,no,0.000000,1225.991943,95.426514
WaterBottle,young,no,0.000000,1225.666992,80.418213
WaterBottle,young,no,0.000000,1225.342041,79.409912
WaterBottle,young,no,0.000000,1225.016968,76.401611
WaterBottle,young,no,0.000000,1224.692017,51.393311
WaterBottle,young,no,0.000000,1224.366943,55.385254
WaterBottle,young,no,0.000000,1224.041992,73.376953
WaterBottle,young,no,0.000000,1223.717041,78.368652
WaterBottle,young,no,0.000000,1223.392944,71.360352
WaterBottle,young,no,0.000000,1223.067993,52.352051
WaterBottle,young,no,0.000000,1222.743042,43.343750
WaterBottle,young,no,0.000000,1222.417969,59.335449
WaterBottle,young,no,0.000000,1222.093018,94.327148
WaterBottle,young,no,0.000000,1221.767944,77.318848
WaterBottle,young,no,0.000000,1221.442993,79.310791
WaterBottle,young,no,0.000000,1221.118042,84.302490
WaterBottle,young,no,0.000000,1220.793945,78.294189
WaterBottle,young,no,0.000000,1220.468994,57.285889
WaterBottle,young,no,0.000000,1220.144043,93.277588
WaterBottle,young,no,0.000000,1219.818970,96.269287
WaterBottle,young,no,0.000000,1219.494019,88.260986
WaterBottle,young,no,0.000000,1219.168945,97.252686
WaterBottle,young,no,0.000000,1218.843994,103.244629
WaterBottle,young,no,0.000000,1218.519043,72.236328
WaterBottle,young,no,0.000000,1218.193970,84.228027
WaterBottle,young,no,0.000000,1217.869995,95.219727
WaterBottle,young,no,0.000000,1217.545044,74.211426
WaterBottle,young,no,0.000000,1217.219971,75.203125
WaterBottle,young,no,0.000000,1216.895020,69.194824
