Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
Tulippoplar,young,yes,0.000000,1233.788940,14.962402
Tulippoplar,young,yes,0.000000,1233.463989,7.081055
Tulippoplar,young,yes,0.000000,1233.139038,0.000000
Tulippoplar,young,yes,0.000000,1232.813965,0.358398
Tulippoplar,young,yes,0.000000,1232.489014,0.997070
Tulippoplar,young,yes,0.000000,1232.163940,0.000000
Tulippoplar,young,yes,0.000000,1231.839966,5.594482
Tulippoplar,young,yes,0.000000,1231.515015,0.000000
Tulippoplar,young,yes,0.000000,1231.189941,0.000000
Tulippoplar,young,yes,0.000000,1230.864990,6.870361
Tulippoplar,young,yes,0.000000,1230.540039,0.000000
Tulippoplar,young,yes,0.000000,1230.214966,0.000000
Tulippoplar,young,yes,0.000000,1229.890015,0.000000
Tulippoplar,young,yes,0.000000,1229.564941,1.184814
Tulippoplar,young,yes,0.000000,1229.239990,3.583740
Tulippoplar,young,yes,0.000000,1228.916016,3.262207
Tulippoplar,young,yes,0.000000,1228.590942,2.420654
Tulippoplar,young,yes,0.000000,1228.265991,4.339600
Tulippoplar,young,yes,0.000000,1227.941040,18.098145
Tulippoplar,young,yes,0.000000,1227.615967,5.136719
Tulippoplar,young,yes,0.000000,1227.291016,3.615234
Tulippoplar,young,yes,0.000000,1226.965942,2.974121
Tulippoplar,young,yes,0.000000,1226.640991,14.292725
Tulippoplar,young,yes,0.000000,1226.317017,8.931396
Tulippoplar,young,yes,0.000000,1225.991943,8.010010
Tulippoplar,young,yes,0.000000,1225.666992,3.088867
Tulippoplar,young,yes,0.000000,1225.342041,2.207275
Tulippoplar,young,yes,0.000000,1225.016968,7.125977
Tulippoplar,young,yes,0.000000,1224.692017,5.884521
Tulippoplar,young,yes,0.000000,1224.366943,5.883301
Tulippoplar,young,yes,0.000000,1224.041992,3.241943
Tulippoplar,young,yes,0.000000,1223.717041,1.600342
Tulippoplar,young,yes,0.000000,1223.392944,0.000000
Tulippoplar,young,yes,0.000000,1223.067993,0.000000
Tulippoplar,young,yes,0.000000,1222.743042,0.000000
Tulippoplar,young,yes,0.000000,1222.417969,1.755127
Tulippoplar,young,yes,0.000000,1222.093018,15.393799
Tulippoplar,young,yes,0.000000,1221.767944,12.032471
Tulippoplar,young,yes,0.000000,1221.442993,3.871094
Tulippoplar,young,yes,0.000000,1221.118042,14.269775
Tulippoplar,young,yes,0.000000,1220.793945,6.468506
Tulippoplar,young,yes,0.000000,1220.468994,0.000000
Tulippoplar,young,yes,0.000000,1220.144043,7.625732
Tulippoplar,young,yes,0.000000,1219.818970,1.184326
Tulippoplar,young,yes,0.000000,1219.494019,0.000000
Tulippoplar,young,yes,0.000000,1219.168945,6.461670
Tulippoplar,young,yes,0.000000,1218.843994,1.740234
Tulippoplar,young,yes,0.000000,1218.519043,2.499023
Tulippoplar,young,yes,0.000000,1218.193970,17.537598
Tulippoplar,young,yes,0.000000,1217.869995,8.856201
Tulippoplar,young,yes,0.000000,1217.545044,2.934814
Tulippoplar,young,yes,0.000000,1217.219971,0.013672
Tulippoplar,young,yes,0.000000,1216.895020,10.092041
Tulippoplar,young,yes,0.000000,1216.569946,4.090820
Tulippoplar,young,yes,0.000000,1216.244995,2.289551
Tulippoplar,young,yes,0.000000,1215.920044,20.128174
Tulippoplar,young,yes,0.000000,1215.594971,12.166748
Tulippoplar,young,yes,0.000000,1215.270996,8.365479
Tulippoplar,young,yes,0.000000,1214.946045,4.563965
Tulippoplar,young,yes,0.000000,1214.620972,15.962646
Tulippoplar,young,yes,0.000000,1214.296021,18.161377
Tulippoplar,young,yes,0.000000,1213.970947,11.639893
Tulippoplar,young,yes,0.000000,1213.645996,11.358643
Tulippoplar,young,yes,0.000000,1213.321045,6.237305
Tulippoplar,young,yes,0.000000,1212.995972,9.196045
Tulippoplar,young,yes,0.000000,1212.671021,6.594482
Tulippoplar,young,yes,0.000000,1212.347046,3.993408
Tulippoplar,young,yes,0.000000,1212.021973,8.191895
Tulippoplar,young,yes,0.000000,1211.697021,21.070557
Tulippoplar,young,yes,0.000000,1211.371948,4.429199
Tulippoplar,young,yes,0.000000,1211.046997,5.508057
Tulippoplar,young,yes,0.000000,1210.722046,12.586426
Tulippoplar,young,yes,0.000000,1210.396973,9.385254
Tulippoplar,young,yes,0.000000,1210.072021,6.143799
Tulippoplar,young,yes,0.000000,1209.746948,7.422363
Tulippoplar,young,yes,0.000000,1209.422974,15.341064
Tulippoplar,young,yes,0.000000,1209.098022,11.979736
Tulippoplar,young,yes,0.000000,1208.772949,1.018555
Tulippoplar,young,yes,0.000000,1208.447998,8.416992
Tulippoplar,young,yes,0.000000,1208.123047,13.655762
Tulippoplar,young,yes,0.000000,1207.797974,2.254395
Tulippoplar,young,yes,0.000000,1207.473022,12.373047
Tulippoplar,young,yes,0.000000,1207.147949,14.571533
Tulippoplar,young,yes,0.000000,1206.823975,12.450439
Tulippoplar,young,yes,0.000000,1206.499023,16.848877
Tulippoplar,young,yes,0.000000,1206.173950,7.727783
Tulippoplar,young,yes,0.000000,1205.848999,12.326172
Tulippoplar,young,yes,0.000000,1205.524048,8.685059
Tulippoplar,young,yes,0.000000,1205.198975,3.403564
Tulippoplar,young,yes,0.000000,1204.874023,4.562012
Tulippoplar,young,yes,0.000000,1204.548950,0.000000
Tulippoplar,young,yes,0.000000,1204.223999,3.759521
Tulippoplar,young,yes,0.000000,1203.900024,9.878174
Tulippoplar,young,yes,0.000000,1203.574951,12.356689
Tulippoplar,young,yes,0.000000,1203.250000,5.315430
Tulippoplar,young,yes,0.000000,1202.925049,9.793945
Tulippoplar,young,yes,0.000000,1202.599976,3.312744
Tulippoplar,young,yes,0.000000,1202.275024,0.000000
Tulippoplar,young,yes,0.000000,1201.949951,4.430176
Tulippoplar,young,yes,0.000000,1201.625000,0.000000
Tulippoplar,young,yes,0.000000,1201.301025,8.667480
Tulippoplar,young,yes,0.000000,1200.975952,11.466064
