Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
SouthernCatalpa,young,yes,0.000000,1233.788940,20.391846
SouthernCatalpa,young,yes,0.000000,1233.463989,12.752197
SouthernCatalpa,young,yes,0.000000,1233.139038,0.000000
SouthernCatalpa,young,yes,0.000000,1232.813965,5.593262
SouthernCatalpa,young,yes,0.000000,1232.489014,1.913818
SouthernCatalpa,young,yes,0.000000,1232.163940,0.000000
SouthernCatalpa,young,yes,0.000000,1231.839966,12.474854
SouthernCatalpa,young,yes,0.000000,1231.515015,0.000000
SouthernCatalpa,young,yes,0.000000,1231.189941,0.000000
SouthernCatalpa,young,yes,0.000000,1230.864990,0.000000
SouthernCatalpa,young,yes,0.000000,1230.540039,9.076904
SouthernCatalpa,young,yes,0.000000,1230.214966,0.000000
SouthernCatalpa,young,yes,0.000000,1229.890015,0.000000
SouthernCatalpa,young,yes,0.000000,1229.564941,4.438721
SouthernCatalpa,young,yes,0.000000,1229.239990,0.000000
SouthernCatalpa,young,yes,0.000000,1228.916016,4.279541
SouthernCatalpa,young,yes,0.000000,1228.590942,1.040039
SouthernCatalpa,young,yes,0.000000,1228.265991,0.000000
SouthernCatalpa,young,yes,0.000000,1227.941040,3.760986
SouthernCatalpa,young,yes,0.000000,1227.615967,4.081543
SouthernCatalpa,young,yes,0.000000,1227.291016,2.521973
SouthernCatalpa,young,yes,0.000000,1226.965942,2.042725
SouthernCatalpa,young,yes,0.000000,1226.640991,0.000000
SouthernCatalpa,young,yes,0.000000,1226.317017,0.000000
SouthernCatalpa,young,yes,0.000000,1225.991943,6.564209
SouthernCatalpa,young,yes,0.000000,1225.666992,0.000000
SouthernCatalpa,young,yes,0.000000,1225.342041,0.000000
SouthernCatalpa,young,yes,0.000000,1225.016968,3.525635
SouthernCatalpa,young,yes,0.000000,1224.692017,4.766113
SouthernCatalpa,young,yes,0.000000,1224.366943,0.000000
SouthernCatalpa,young,yes,0.000000,1224.041992,9.007324
SouthernCatalpa,young,yes,0.000000,1223.717041,0.687988
SouthernCatalpa,young,yes,0.000000,1223.392944,5.328369
SouthernCatalpa,young,yes,0.000000,1223.067993,5.688965
SouthernCatalpa,young,yes,0.000000,1222.743042,0.000000
SouthernCatalpa,young,yes,0.000000,1222.417969,6.369873
SouthernCatalpa,young,yes,0.000000,1222.093018,7.650391
SouthernCatalpa,young,yes,0.000000,1221.767944,1.610840
SouthernCatalpa,young,yes,0.000000,1221.442993,10.891602
SouthernCatalpa,young,yes,0.000000,1221.118042,2.852051
SouthernCatalpa,young,yes,0.000000,1220.793945,0.000000
SouthernCatalpa,young,yes,0.000000,1220.468994,2.893066
SouthernCatalpa,young,yes,0.000000,1220.144043,3.053467
SouthernCatalpa,young,yes,0.000000,1219.818970,0.000000
SouthernCatalpa,young,yes,0.000000,1219.494019,0.000000
SouthernCatalpa,young,yes,0.000000,1219.168945,0.000000
SouthernCatalpa,young,yes,0.000000,1218.843994,0.000000
SouthernCatalpa,young,yes,0.000000,1218.519043,3.176270
SouthernCatalpa,young,yes,0.000000,1218.193970,10.896729
SouthernCatalpa,young,yes,0.000000,1217.869995,11.017090
SouthernCatalpa,young,yes,0.000000,1217.545044,10.817627
SouthernCatalpa,young,yes,0.000000,1217.219971,6.898193
SouthernCatalpa,young,yes,0.000000,1216.895020,2.658691
