Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
SouthernCatalpaFruit,young,yes,0.000000,1233.788940,8.084961
SouthernCatalpaFruit,young,yes,0.000000,1233.463989,3.843750
SouthernCatalpaFruit,young,yes,0.000000,1233.139038,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1232.813965,0.921143
SouthernCatalpaFruit,young,yes,0.000000,1232.489014,5.199951
SouthernCatalpaFruit,young,yes,0.000000,1232.163940,4.198486
SouthernCatalpaFruit,young,yes,0.000000,1231.839966,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1231.515015,6.196045
SouthernCatalpaFruit,young,yes,0.000000,1231.189941,7.474854
SouthernCatalpaFruit,young,yes,0.000000,1230.864990,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1230.540039,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1230.214966,1.951172
SouthernCatalpaFruit,young,yes,0.000000,1229.890015,6.270020
SouthernCatalpaFruit,young,yes,0.000000,1229.564941,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1229.239990,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1228.916016,0.866211
SouthernCatalpaFruit,young,yes,0.000000,1228.590942,3.145020
SouthernCatalpaFruit,young,yes,0.000000,1228.265991,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1227.941040,4.022461
SouthernCatalpaFruit,young,yes,0.000000,1227.615967,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1227.291016,7.620117
SouthernCatalpaFruit,young,yes,0.000000,1226.965942,6.218750
SouthernCatalpaFruit,young,yes,0.000000,1226.640991,5.057617
SouthernCatalpaFruit,young,yes,0.000000,1226.317017,1.736328
SouthernCatalpaFruit,young,yes,0.000000,1225.991943,8.375244
SouthernCatalpaFruit,young,yes,0.000000,1225.666992,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1225.342041,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1225.016968,9.051270
SouthernCatalpaFruit,young,yes,0.000000,1224.692017,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1224.366943,3.728760
SouthernCatalpaFruit,young,yes,0.000000,1224.041992,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1223.717041,7.566406
SouthernCatalpaFruit,young,yes,0.000000,1223.392944,9.885010
SouthernCatalpaFruit,young,yes,0.000000,1223.067993,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1222.743042,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1222.417969,0.561279
SouthernCatalpaFruit,young,yes,0.000000,1222.093018,6.760010
SouthernCatalpaFruit,young,yes,0.000000,1221.767944,5.198730
SouthernCatalpaFruit,young,yes,0.000000,1221.442993,1.277588
SouthernCatalpaFruit,young,yes,0.000000,1221.118042,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1220.793945,2.835205
SouthernCatalpaFruit,young,yes,0.000000,1220.468994,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1220.144043,12.952637
SouthernCatalpaFruit,young,yes,0.000000,1219.818970,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1219.494019,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1219.168945,17.788818
SouthernCatalpaFruit,young,yes,0.000000,1218.843994,3.867432
SouthernCatalpaFruit,young,yes,0.000000,1218.519043,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1218.193970,3.465088
SouthernCatalpaFruit,young,yes,0.000000,1217.869995,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1217.545044,8.542725
SouthernCatalpaFruit,young,yes,0.000000,1217.219971,12.861328
SouthernCatalpaFruit,young,yes,0.000000,1216.895020,8.060303
SouthernCatalpaFruit,young,yes,0.000000,1216.569946,0.059082
SouthernCatalpaFruit,young,yes,0.000000,1216.244995,15.697510
SouthernCatalpaFruit,young,yes,0.000000,1215.920044,4.936279
SouthernCatalpaFruit,young,yes,0.000000,1215.594971,3.775146
SouthernCatalpaFruit,young,yes,0.000000,1215.270996,0.000000
SouthernCatalpaFruit,young,yes,0.000000,1214.946045,1.132568
SouthernCatalpaFruit,young,yes,0.000000,1214.620972,7.891357
SouthernCatalpaFruit,young,yes,0.000000,1214.296021,4.610107
SouthernCatalpaFruit,young,yes,0.000000,1213.970947,12.368896
SouthernCatalpaFruit,young,yes,0.000000,1213.645996,8.527832
