Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
AmerCork,young,yes,0.000000,1233.788940,30.674316
AmerCork,young,yes,0.000000,1233.463989,25.034912
AmerCork,young,yes,0.000000,1233.139038,0.000000
AmerCork,young,yes,0.000000,1232.813965,1.716064
AmerCork,young,yes,0.000000,1232.489014,5.476807
AmerCork,young,yes,0.000000,1232.163940,0.000000
AmerCork,young,yes,0.000000,1231.839966,0.000000
AmerCork,young,yes,0.000000,1231.515015,0.000000
AmerCork,young,yes,0.000000,1231.189941,2.079346
AmerCork,young,yes,0.000000,1230.864990,2.280029
AmerCork,young,yes,0.000000,1230.540039,0.000000
AmerCork,young,yes,0.000000,1230.214966,0.000000
AmerCork,young,yes,0.000000,1229.890015,0.000000
AmerCork,young,yes,0.000000,1229.564941,0.162842
AmerCork,young,yes,0.000000,1229.239990,4.363281
AmerCork,young,yes,0.000000,1228.916016,0.000000
AmerCork,young,yes,0.000000,1228.590942,0.000000
AmerCork,young,yes,0.000000,1228.265991,5.325195
AmerCork,young,yes,0.000000,1227.941040,11.645996
AmerCork,young,yes,0.000000,1227.615967,8.206299
AmerCork,young,yes,0.000000,1227.291016,0.000000
AmerCork,young,yes,0.000000,1226.965942,8.687988
AmerCork,young,yes,0.000000,1226.640991,16.608398
AmerCork,young,yes,0.000000,1226.317017,1.849121
AmerCork,young,yes,0.000000,1225.991943,2.329834
AmerCork,young,yes,0.000000,1225.666992,0.000000
AmerCork,young,yes,0.000000,1225.342041,0.000000
AmerCork,young,yes,0.000000,1225.016968,2.771729
AmerCork,young,yes,0.000000,1224.692017,3.332275
AmerCork,young,yes,0.000000,1224.366943,0.000000
AmerCork,young,yes,0.000000,1224.041992,0.000000
AmerCork,young,yes,0.000000,1223.717041,5.974121
AmerCork,young,yes,0.000000,1223.392944,13.814941
AmerCork,young,yes,0.000000,1223.067993,0.015625
AmerCork,young,yes,0.000000,1222.743042,6.936279
AmerCork,young,yes,0.000000,1222.417969,0.000000
AmerCork,young,yes,0.000000,1222.093018,0.097656
AmerCork,young,yes,0.000000,1221.767944,1.778076
AmerCork,young,yes,0.000000,1221.442993,13.578857
AmerCork,young,yes,0.000000,1221.118042,0.000000
AmerCork,young,yes,0.000000,1220.793945,3.060059
AmerCork,young,yes,0.000000,1220.468994,9.500732
AmerCork,young,yes,0.000000,1220.144043,14.021240
AmerCork,young,yes,0.000000,1219.818970,0.000000
AmerCork,young,yes,0.000000,1219.494019,0.000000
