Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
MetamorphicRock,young,yes,0.000000,1233.788940,23.127930
MetamorphicRock,young,yes,0.000000,1233.463989,18.207031
MetamorphicRock,young,yes,0.000000,1233.139038,0.000000
MetamorphicRock,young,yes,0.000000,1232.813965,0.000000
MetamorphicRock,young,yes,0.000000,1232.489014,0.685303
MetamorphicRock,young,yes,0.000000,1232.163940,7.604736
MetamorphicRock,young,yes,0.000000,1231.839966,0.000000
MetamorphicRock,young,yes,0.000000,1231.515015,1.483398
MetamorphicRock,young,yes,0.000000,1231.189941,0.000000
MetamorphicRock,young,yes,0.000000,1230.864990,0.000000
MetamorphicRock,young,yes,0.000000,1230.540039,0.000000
MetamorphicRock,young,yes,0.000000,1230.214966,0.000000
MetamorphicRock,young,yes,0.000000,1229.890015,0.000000
MetamorphicRock,young,yes,0.000000,1229.564941,0.000000
MetamorphicRock,young,yes,0.000000,1229.239990,3.119385
MetamorphicRock,young,yes,0.000000,1228.916016,6.398682
MetamorphicRock,young,yes,0.000000,1228.590942,6.758057
MetamorphicRock,young,yes,0.000000,1228.265991,2.157471
MetamorphicRock,young,yes,0.000000,1227.941040,0.000000
MetamorphicRock,young,yes,0.000000,1227.615967,0.000000
MetamorphicRock,young,yes,0.000000,1227.291016,3.675537
MetamorphicRock,young,yes,0.000000,1226.965942,11.395020
MetamorphicRock,young,yes,0.000000,1226.640991,13.914307
MetamorphicRock,young,yes,0.000000,1226.317017,5.193604
MetamorphicRock,young,yes,0.000000,1225.991943,0.000000
MetamorphicRock,young,yes,0.000000,1225.666992,4.792480
MetamorphicRock,young,yes,0.000000,1225.342041,6.872070
MetamorphicRock,young,yes,0.000000,1225.016968,5.791260
MetamorphicRock,young,yes,0.000000,1224.692017,0.000000
MetamorphicRock,young,yes,0.000000,1224.366943,4.870117
MetamorphicRock,young,yes,0.000000,1224.041992,4.949463
MetamorphicRock,young,yes,0.000000,1223.717041,2.468750
MetamorphicRock,young,yes,0.000000,1223.392944,2.788330
MetamorphicRock,young,yes,0.000000,1223.067993,3.267578
MetamorphicRock,young,yes,0.000000,1222.743042,0.066895
MetamorphicRock,young,yes,0.000000,1222.417969,2.946289
MetamorphicRock,young,yes,0.000000,1222.093018,8.105713
MetamorphicRock,young,yes,0.000000,1221.767944,15.545166
MetamorphicRock,young,yes,0.000000,1221.442993,17.744385
MetamorphicRock,young,yes,0.000000,1221.118042,9.263916
MetamorphicRock,young,yes,0.000000,1220.793945,7.983154
MetamorphicRock,young,yes,0.000000,1220.468994,5.182617
MetamorphicRock,young,yes,0.000000,1220.144043,0.000000
MetamorphicRock,young,yes,0.000000,1219.818970,2.941406
MetamorphicRock,young,yes,0.000000,1219.494019,0.000000
MetamorphicRock,young,yes,0.000000,1219.168945,4.300293
MetamorphicRock,young,yes,0.000000,1218.843994,0.000000
MetamorphicRock,young,yes,0.000000,1218.519043,0.000000
MetamorphicRock,young,yes,0.000000,1218.193970,9.098389
MetamorphicRock,young,yes,0.000000,1217.869995,4.817871
MetamorphicRock,young,yes,0.000000,1217.545044,5.457031
MetamorphicRock,young,yes,0.000000,1217.219971,10.536621
MetamorphicRock,young,yes,0.000000,1216.895020,7.295898
MetamorphicRock,young,yes,0.000000,1216.569946,5.375488
MetamorphicRock,young,yes,0.000000,1216.244995,9.814697
MetamorphicRock,young,yes,0.000000,1215.920044,5.894043
MetamorphicRock,young,yes,0.000000,1215.594971,16.893311
MetamorphicRock,young,yes,0.000000,1215.270996,8.093018
MetamorphicRock,young,yes,0.000000,1214.946045,11.852295
MetamorphicRock,young,yes,0.000000,1214.620972,0.731689
MetamorphicRock,young,yes,0.000000,1214.296021,6.890869
MetamorphicRock,young,yes,0.000000,1213.970947,1.010498
MetamorphicRock,young,yes,0.000000,1213.645996,6.009766
MetamorphicRock,young,yes,0.000000,1213.321045,10.489258
MetamorphicRock,young,yes,0.000000,1212.995972,0.000000
MetamorphicRock,young,yes,0.000000,1212.671021,11.167969
MetamorphicRock,young,yes,0.000000,1212.347046,7.207275
MetamorphicRock,young,yes,0.000000,1212.021973,2.166504
MetamorphicRock,young,yes,0.000000,1211.697021,14.645996
MetamorphicRock,young,yes,0.000000,1211.371948,11.125488
MetamorphicRock,young,yes,0.000000,1211.046997,2.484863
MetamorphicRock,young,yes,0.000000,1210.722046,0.244141
MetamorphicRock,young,yes,0.000000,1210.396973,4.363770
MetamorphicRock,young,yes,0.000000,1210.072021,5.002930
MetamorphicRock,young,yes,0.000000,1209.746948,14.522461
MetamorphicRock,young,yes,0.000000,1209.422974,4.401611
MetamorphicRock,young,yes,0.000000,1209.098022,9.601318
MetamorphicRock,young,yes,0.000000,1208.772949,6.200439
MetamorphicRock,young,yes,0.000000,1208.447998,0.760010
MetamorphicRock,young,yes,0.000000,1208.123047,8.479248
MetamorphicRock,young,yes,0.000000,1207.797974,0.000000
MetamorphicRock,young,yes,0.000000,1207.473022,4.038086
MetamorphicRock,young,yes,0.000000,1207.147949,9.437500
MetamorphicRock,young,yes,0.000000,1206.823975,1.836914
MetamorphicRock,young,yes,0.000000,1206.499023,6.156250
MetamorphicRock,young,yes,0.000000,1206.173950,10.955566
MetamorphicRock,young,yes,0.000000,1205.848999,11.875000
MetamorphicRock,young,yes,0.000000,1205.524048,16.154297
MetamorphicRock,young,yes,0.000000,1205.198975,1.953857
MetamorphicRock,young,yes,0.000000,1204.874023,13.473145
MetamorphicRock,young,yes,0.000000,1204.548950,3.232666
MetamorphicRock,young,yes,0.000000,1204.223999,6.031982
MetamorphicRock,young,yes,0.000000,1203.900024,15.391357
MetamorphicRock,young,yes,0.000000,1203.574951,7.750732
MetamorphicRock,young,yes,0.000000,1203.250000,0.000000
MetamorphicRock,young,yes,0.000000,1202.925049,14.069580
MetamorphicRock,young,yes,0.000000,1202.599976,0.000000
MetamorphicRock,young,yes,0.000000,1202.275024,0.000000
MetamorphicRock,young,yes,0.000000,1201.949951,6.107910
MetamorphicRock,young,yes,0.000000,1201.625000,5.707031
MetamorphicRock,young,yes,0.000000,1201.301025,7.466309
MetamorphicRock,young,yes,0.000000,1200.975952,0.000000
MetamorphicRock,young,yes,0.000000,1200.651001,4.945068
MetamorphicRock,young,yes,0.000000,1200.326050,7.424561
MetamorphicRock,young,yes,0.000000,1200.000977,2.463867
MetamorphicRock,young,yes,0.000000,1199.676025,2.183350
