Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
soybean,young,yes,0.000000,1233.788940,10.172607
soybean,young,yes,0.000000,1233.463989,5.491943
soybean,young,yes,0.000000,1233.139038,0.000000
soybean,young,yes,0.000000,1232.813965,0.651367
soybean,young,yes,0.000000,1232.489014,1.171143
soybean,young,yes,0.000000,1232.163940,0.000000
soybean,young,yes,0.000000,1231.839966,0.000000
soybean,young,yes,0.000000,1231.515015,0.000000
soybean,young,yes,0.000000,1231.189941,8.289551
soybean,young,yes,0.000000,1230.864990,8.769043
soybean,young,yes,0.000000,1230.540039,1.928955
soybean,young,yes,0.000000,1230.214966,0.000000
soybean,young,yes,0.000000,1229.890015,5.048096
soybean,young,yes,0.000000,1229.564941,0.000000
soybean,young,yes,0.000000,1229.239990,4.127441
soybean,young,yes,0.000000,1228.916016,0.000000
soybean,young,yes,0.000000,1228.590942,0.000000
soybean,young,yes,0.000000,1228.265991,0.000000
soybean,young,yes,0.000000,1227.941040,0.000000
soybean,young,yes,0.000000,1227.615967,0.000000
soybean,young,yes,0.000000,1227.291016,5.045166
soybean,young,yes,0.000000,1226.965942,10.444580
soybean,young,yes,0.000000,1226.640991,3.684570
soybean,young,yes,0.000000,1226.317017,0.000000
soybean,young,yes,0.000000,1225.991943,7.683838
soybean,young,yes,0.000000,1225.666992,0.443115
soybean,young,yes,0.000000,1225.342041,7.322998
soybean,young,yes,0.000000,1225.016968,8.882568
soybean,young,yes,0.000000,1224.692017,2.682373
soybean,young,yes,0.000000,1224.366943,5.001709
soybean,young,yes,0.000000,1224.041992,4.561523
soybean,young,yes,0.000000,1223.717041,10.161133
soybean,young,yes,0.000000,1223.392944,15.240723
soybean,young,yes,0.000000,1223.067993,0.000000
soybean,young,yes,0.000000,1222.743042,0.000000
soybean,young,yes,0.000000,1222.417969,0.919678
soybean,young,yes,0.000000,1222.093018,0.000000
soybean,young,yes,0.000000,1221.767944,0.278809
soybean,young,yes,0.000000,1221.442993,2.158447
soybean,young,yes,0.000000,1221.118042,2.638184
soybean,young,yes,0.000000,1220.793945,8.037598
soybean,young,yes,0.000000,1220.468994,13.677490
soybean,young,yes,0.000000,1220.144043,0.000000
soybean,young,yes,0.000000,1219.818970,1.516602
soybean,young,yes,0.000000,1219.494019,0.000000
soybean,young,yes,0.000000,1219.168945,2.035889
soybean,young,yes,0.000000,1218.843994,2.475342
soybean,young,yes,0.000000,1218.519043,6.155273
soybean,young,yes,0.000000,1218.193970,0.000000
soybean,young,yes,0.000000,1217.869995,0.000000
soybean,young,yes,0.000000,1217.545044,2.753906
soybean,young,yes,0.000000,1217.219971,12.033691
soybean,young,yes,0.000000,1216.895020,7.313232
soybean,young,yes,0.000000,1216.569946,4.512939
soybean,young,yes,0.000000,1216.244995,2.552490
soybean,young,yes,0.000000,1215.920044,2.232178
soybean,young,yes,0.000000,1215.594971,0.791748
soybean,young,yes,0.000000,1215.270996,0.000000
soybean,young,yes,0.000000,1214.946045,9.311035
soybean,young,yes,0.000000,1214.620972,6.590820
soybean,young,yes,0.000000,1214.296021,3.390381
soybean,young,yes,0.000000,1213.970947,1.630127
soybean,young,yes,0.000000,1213.645996,5.549561
soybean,young,yes,0.000000,1213.321045,0.000000
soybean,young,yes,0.000000,1212.995972,1.508789
soybean,young,yes,0.000000,1212.671021,0.000000
soybean,young,yes,0.000000,1212.347046,0.000000
soybean,young,yes,0.000000,1212.021973,2.307617
soybean,young,yes,0.000000,1211.697021,0.227295
soybean,young,yes,0.000000,1211.371948,9.106934
soybean,young,yes,0.000000,1211.046997,1.626709
soybean,young,yes,0.000000,1210.722046,9.106201
soybean,young,yes,0.000000,1210.396973,13.385986
soybean,young,yes,0.000000,1210.072021,0.000000
soybean,young,yes,0.000000,1209.746948,0.000000
