Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
TreeBark,young,yes,0.000000,1233.788940,12.422119
TreeBark,young,yes,0.000000,1233.463989,7.981689
TreeBark,young,yes,0.000000,1233.139038,0.000000
TreeBark,young,yes,0.000000,1232.813965,1.380859
TreeBark,young,yes,0.000000,1232.489014,0.000000
TreeBark,young,yes,0.000000,1232.163940,1.699951
TreeBark,young,yes,0.000000,1231.839966,2.259521
TreeBark,young,yes,0.000000,1231.515015,0.000000
TreeBark,young,yes,0.000000,1231.189941,0.000000
TreeBark,young,yes,0.000000,1230.864990,0.000000
TreeBark,young,yes,0.000000,1230.540039,0.000000
TreeBark,young,yes,0.000000,1230.214966,5.937012
TreeBark,young,yes,0.000000,1229.890015,3.576904
TreeBark,young,yes,0.000000,1229.564941,0.000000
TreeBark,young,yes,0.000000,1229.239990,0.000000
TreeBark,young,yes,0.000000,1228.916016,2.855469
TreeBark,young,yes,0.000000,1228.590942,1.895020
TreeBark,young,yes,0.000000,1228.265991,0.174316
TreeBark,young,yes,0.000000,1227.941040,4.374023
TreeBark,young,yes,0.000000,1227.615967,11.893555
TreeBark,young,yes,0.000000,1227.291016,7.373291
TreeBark,young,yes,0.000000,1226.965942,0.000000
TreeBark,young,yes,0.000000,1226.640991,7.652100
TreeBark,young,yes,0.000000,1226.317017,15.771729
TreeBark,young,yes,0.000000,1225.991943,12.131348
TreeBark,young,yes,0.000000,1225.666992,1.610840
TreeBark,young,yes,0.000000,1225.342041,2.930176
TreeBark,young,yes,0.000000,1225.016968,0.489746
TreeBark,young,yes,0.000000,1224.692017,3.689453
TreeBark,young,yes,0.000000,1224.366943,3.089111
TreeBark,young,yes,0.000000,1224.041992,1.888672
TreeBark,young,yes,0.000000,1223.717041,12.248047
TreeBark,young,yes,0.000000,1223.392944,8.727539
TreeBark,young,yes,0.000000,1223.067993,13.687012
TreeBark,young,yes,0.000000,1222.743042,11.686523
TreeBark,young,yes,0.000000,1222.417969,11.526123
TreeBark,young,yes,0.000000,1222.093018,11.485840
TreeBark,young,yes,0.000000,1221.767944,5.925293
TreeBark,young,yes,0.000000,1221.442993,12.564941
TreeBark,young,yes,0.000000,1221.118042,14.164307
