Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
TreeBranch,young,yes,0.000000,1233.788940,25.457764
TreeBranch,young,yes,0.000000,1233.463989,19.777344
TreeBranch,young,yes,0.000000,1233.139038,0.000000
TreeBranch,young,yes,0.000000,1232.813965,4.616455
TreeBranch,young,yes,0.000000,1232.489014,0.000000
TreeBranch,young,yes,0.000000,1232.163940,0.000000
TreeBranch,young,yes,0.000000,1231.839966,0.000000
TreeBranch,young,yes,0.000000,1231.515015,0.000000
TreeBranch,young,yes,0.000000,1231.189941,0.000000
TreeBranch,young,yes,0.000000,1230.864990,0.000000
TreeBranch,young,yes,0.000000,1230.540039,0.000000
TreeBranch,young,yes,0.000000,1230.214966,4.573486
TreeBranch,young,yes,0.000000,1229.890015,0.000000
TreeBranch,young,yes,0.000000,1229.564941,0.000000
TreeBranch,young,yes,0.000000,1229.239990,0.000000
TreeBranch,young,yes,0.000000,1228.916016,0.000000
TreeBranch,young,yes,0.000000,1228.590942,4.291504
TreeBranch,young,yes,0.000000,1228.265991,8.851074
TreeBranch,young,yes,0.000000,1227.941040,2.330811
TreeBranch,young,yes,0.000000,1227.615967,2.090332
TreeBranch,young,yes,0.000000,1227.291016,0.370117
TreeBranch,young,yes,0.000000,1226.965942,1.249756
TreeBranch,young,yes,0.000000,1226.640991,10.449463
TreeBranch,young,yes,0.000000,1226.317017,8.448975
TreeBranch,young,yes,0.000000,1225.991943,6.128662
TreeBranch,young,yes,0.000000,1225.666992,0.328125
TreeBranch,young,yes,0.000000,1225.342041,11.087646
TreeBranch,young,yes,0.000000,1225.016968,3.127441
TreeBranch,young,yes,0.000000,1224.692017,0.000000
TreeBranch,young,yes,0.000000,1224.366943,2.006836
TreeBranch,young,yes,0.000000,1224.041992,3.766357
TreeBranch,young,yes,0.000000,1223.717041,6.645996
TreeBranch,young,yes,0.000000,1223.392944,1.725586
TreeBranch,young,yes,0.000000,1223.067993,0.085205
TreeBranch,young,yes,0.000000,1222.743042,1.924805
TreeBranch,young,yes,0.000000,1222.417969,0.000000
TreeBranch,young,yes,0.000000,1222.093018,0.000000
TreeBranch,young,yes,0.000000,1221.767944,0.000000
TreeBranch,young,yes,0.000000,1221.442993,4.843262
TreeBranch,young,yes,0.000000,1221.118042,5.602783
TreeBranch,young,yes,0.000000,1220.793945,2.922607
TreeBranch,young,yes,0.000000,1220.468994,8.882080
TreeBranch,young,yes,0.000000,1220.144043,0.000000
TreeBranch,young,yes,0.000000,1219.818970,8.441406
TreeBranch,young,yes,0.000000,1219.494019,0.000000
TreeBranch,young,yes,0.000000,1219.168945,7.480713
TreeBranch,young,yes,0.000000,1218.843994,4.840088
TreeBranch,young,yes,0.000000,1218.519043,11.959961
TreeBranch,young,yes,0.000000,1218.193970,4.799316
TreeBranch,young,yes,0.000000,1217.869995,8.159180
TreeBranch,young,yes,0.000000,1217.545044,10.798584
TreeBranch,young,yes,0.000000,1217.219971,13.118164
TreeBranch,young,yes,0.000000,1216.895020,6.597900
TreeBranch,young,yes,0.000000,1216.569946,1.757568
TreeBranch,young,yes,0.000000,1216.244995,0.000000
TreeBranch,young,yes,0.000000,1215.920044,0.000000
TreeBranch,young,yes,0.000000,1215.594971,0.000000
TreeBranch,young,yes,0.000000,1215.270996,0.000000
TreeBranch,young,yes,0.000000,1214.946045,12.115723
TreeBranch,young,yes,0.000000,1214.620972,5.315186
TreeBranch,young,yes,0.000000,1214.296021,0.000000
TreeBranch,young,yes,0.000000,1213.970947,3.474609
TreeBranch,young,yes,0.000000,1213.645996,4.793945
TreeBranch,young,yes,0.000000,1213.321045,0.000000
TreeBranch,young,yes,0.000000,1212.995972,0.000000
TreeBranch,young,yes,0.000000,1212.671021,5.953125
TreeBranch,young,yes,0.000000,1212.347046,1.232666
TreeBranch,young,yes,0.000000,1212.021973,10.312256
TreeBranch,young,yes,0.000000,1211.697021,11.151855
TreeBranch,young,yes,0.000000,1211.371948,10.871338
TreeBranch,young,yes,0.000000,1211.046997,15.151123
TreeBranch,young,yes,0.000000,1210.722046,0.990723
TreeBranch,young,yes,0.000000,1210.396973,6.270264
TreeBranch,young,yes,0.000000,1210.072021,1.309814
TreeBranch,young,yes,0.000000,1209.746948,2.349609
TreeBranch,young,yes,0.000000,1209.422974,2.149170
TreeBranch,young,yes,0.000000,1209.098022,11.468750
TreeBranch,young,yes,0.000000,1208.772949,0.668457
TreeBranch,young,yes,0.000000,1208.447998,0.000000
TreeBranch,young,yes,0.000000,1208.123047,15.827637
TreeBranch,young,yes,0.000000,1207.797974,6.307129
TreeBranch,young,yes,0.000000,1207.473022,5.227051
TreeBranch,young,yes,0.000000,1207.147949,15.026367
TreeBranch,young,yes,0.000000,1206.823975,5.666260
TreeBranch,young,yes,0.000000,1206.499023,0.000000
TreeBranch,young,yes,0.000000,1206.173950,3.585205
TreeBranch,young,yes,0.000000,1205.848999,6.544922
TreeBranch,young,yes,0.000000,1205.524048,5.024414
TreeBranch,young,yes,0.000000,1205.198975,13.264160
TreeBranch,young,yes,0.000000,1204.874023,2.063721
TreeBranch,young,yes,0.000000,1204.548950,8.263428
TreeBranch,young,yes,0.000000,1204.223999,0.000000
TreeBranch,young,yes,0.000000,1203.900024,6.062744
TreeBranch,young,yes,0.000000,1203.574951,1.942383
TreeBranch,young,yes,0.000000,1203.250000,0.000000
TreeBranch,young,yes,0.000000,1202.925049,3.301514
TreeBranch,young,yes,0.000000,1202.599976,0.000000
TreeBranch,young,yes,0.000000,1202.275024,2.020752
TreeBranch,young,yes,0.000000,1201.949951,7.980469
TreeBranch,young,yes,0.000000,1201.625000,2.500000
TreeBranch,young,yes,0.000000,1201.301025,8.179688
TreeBranch,young,yes,0.000000,1200.975952,0.000000
TreeBranch,young,yes,0.000000,1200.651001,2.858887
TreeBranch,young,yes,0.000000,1200.326050,0.578369
TreeBranch,young,yes,0.000000,1200.000977,6.578125
TreeBranch,young,yes,0.000000,1199.676025,8.337646
TreeBranch,young,yes,0.000000,1199.350952,5.057373
TreeBranch,young,yes,0.000000,1199.026001,5.576904
TreeBranch,young,yes,0.000000,1198.701050,6.296631
