Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
KidneyWeed,young,yes,0.000000,1233.788940,11.897461
KidneyWeed,young,yes,0.000000,1233.463989,4.976318
KidneyWeed,young,yes,0.000000,1233.139038,0.000000
KidneyWeed,young,yes,0.000000,1232.813965,1.333984
KidneyWeed,young,yes,0.000000,1232.489014,0.652832
KidneyWeed,young,yes,0.000000,1232.163940,6.531738
KidneyWeed,young,yes,0.000000,1231.839966,3.250732
KidneyWeed,young,yes,0.000000,1231.515015,0.049561
KidneyWeed,young,yes,0.000000,1231.189941,0.000000
KidneyWeed,young,yes,0.000000,1230.864990,0.000000
KidneyWeed,young,yes,0.000000,1230.540039,1.286133
KidneyWeed,young,yes,0.000000,1230.214966,0.000000
KidneyWeed,young,yes,0.000000,1229.890015,0.000000
KidneyWeed,young,yes,0.000000,1229.564941,0.000000
KidneyWeed,young,yes,0.000000,1229.239990,0.000000
KidneyWeed,young,yes,0.000000,1228.916016,6.680420
KidneyWeed,young,yes,0.000000,1228.590942,6.199463
KidneyWeed,young,yes,0.000000,1228.265991,3.398193
KidneyWeed,young,yes,0.000000,1227.941040,9.637207
KidneyWeed,young,yes,0.000000,1227.615967,5.236084
KidneyWeed,young,yes,0.000000,1227.291016,9.474854
KidneyWeed,young,yes,0.000000,1226.965942,0.633789
KidneyWeed,young,yes,0.000000,1226.640991,11.272461
KidneyWeed,young,yes,0.000000,1226.317017,6.231445
KidneyWeed,young,yes,0.000000,1225.991943,4.310303
KidneyWeed,young,yes,0.000000,1225.666992,2.189209
KidneyWeed,young,yes,0.000000,1225.342041,12.187988
KidneyWeed,young,yes,0.000000,1225.016968,10.066895
KidneyWeed,young,yes,0.000000,1224.692017,0.000000
KidneyWeed,young,yes,0.000000,1224.366943,0.224854
KidneyWeed,young,yes,0.000000,1224.041992,11.223633
KidneyWeed,young,yes,0.000000,1223.717041,16.502197
KidneyWeed,young,yes,0.000000,1223.392944,4.701416
KidneyWeed,young,yes,0.000000,1223.067993,0.000000
KidneyWeed,young,yes,0.000000,1222.743042,3.138916
KidneyWeed,young,yes,0.000000,1222.417969,7.537842
KidneyWeed,young,yes,0.000000,1222.093018,10.416748
KidneyWeed,young,yes,0.000000,1221.767944,5.495605
KidneyWeed,young,yes,0.000000,1221.442993,13.534424
KidneyWeed,young,yes,0.000000,1221.118042,12.853271
KidneyWeed,young,yes,0.000000,1220.793945,4.292236
KidneyWeed,young,yes,0.000000,1220.468994,6.571045
KidneyWeed,young,yes,0.000000,1220.144043,1.889893
KidneyWeed,young,yes,0.000000,1219.818970,12.688965
KidneyWeed,young,yes,0.000000,1219.494019,0.687744
KidneyWeed,young,yes,0.000000,1219.168945,6.046387
KidneyWeed,young,yes,0.000000,1218.843994,6.245361
KidneyWeed,young,yes,0.000000,1218.519043,6.284180
KidneyWeed,young,yes,0.000000,1218.193970,5.763184
KidneyWeed,young,yes,0.000000,1217.869995,9.481934
KidneyWeed,young,yes,0.000000,1217.545044,8.720947
KidneyWeed,young,yes,0.000000,1217.219971,7.959961
KidneyWeed,young,yes,0.000000,1216.895020,0.000000
KidneyWeed,young,yes,0.000000,1216.569946,0.000000
KidneyWeed,young,yes,0.000000,1216.244995,7.556396
KidneyWeed,young,yes,0.000000,1215.920044,11.475098
KidneyWeed,young,yes,0.000000,1215.594971,17.354004
KidneyWeed,young,yes,0.000000,1215.270996,5.113037
KidneyWeed,young,yes,0.000000,1214.946045,9.391846
KidneyWeed,young,yes,0.000000,1214.620972,5.830811
KidneyWeed,young,yes,0.000000,1214.296021,17.669678
KidneyWeed,young,yes,0.000000,1213.970947,5.548340
KidneyWeed,young,yes,0.000000,1213.645996,4.627441
KidneyWeed,young,yes,0.000000,1213.321045,3.666260
KidneyWeed,young,yes,0.000000,1212.995972,10.584961
KidneyWeed,young,yes,0.000000,1212.671021,13.384033
KidneyWeed,young,yes,0.000000,1212.347046,13.102783
KidneyWeed,young,yes,0.000000,1212.021973,16.541504
KidneyWeed,young,yes,0.000000,1211.697021,6.980469
KidneyWeed,young,yes,0.000000,1211.371948,12.739258
KidneyWeed,young,yes,0.000000,1211.046997,3.618408
KidneyWeed,young,yes,0.000000,1210.722046,1.777100
KidneyWeed,young,yes,0.000000,1210.396973,2.575928
KidneyWeed,young,yes,0.000000,1210.072021,0.000000
KidneyWeed,young,yes,0.000000,1209.746948,5.693848
KidneyWeed,young,yes,0.000000,1209.422974,7.012451
KidneyWeed,young,yes,0.000000,1209.098022,10.051514
KidneyWeed,young,yes,0.000000,1208.772949,8.730225
KidneyWeed,young,yes,0.000000,1208.447998,6.009033
KidneyWeed,young,yes,0.000000,1208.123047,17.888184
KidneyWeed,young,yes,0.000000,1207.797974,7.446777
KidneyWeed,young,yes,0.000000,1207.473022,0.000000
KidneyWeed,young,yes,0.000000,1207.147949,4.804688
KidneyWeed,young,yes,0.000000,1206.823975,1.563477
KidneyWeed,young,yes,0.000000,1206.499023,2.602539
KidneyWeed,young,yes,0.000000,1206.173950,15.081299
KidneyWeed,young,yes,0.000000,1205.848999,6.520020
KidneyWeed,young,yes,0.000000,1205.524048,0.000000
KidneyWeed,young,yes,0.000000,1205.198975,4.597900
KidneyWeed,young,yes,0.000000,1204.874023,5.516602
KidneyWeed,young,yes,0.000000,1204.548950,8.195557
KidneyWeed,young,yes,0.000000,1204.223999,3.394531
KidneyWeed,young,yes,0.000000,1203.900024,5.153564
KidneyWeed,young,yes,0.000000,1203.574951,11.632324
KidneyWeed,young,yes,0.000000,1203.250000,0.000000
KidneyWeed,young,yes,0.000000,1202.925049,8.270020
KidneyWeed,young,yes,0.000000,1202.599976,7.388916
KidneyWeed,young,yes,0.000000,1202.275024,2.107666
KidneyWeed,young,yes,0.000000,1201.949951,7.586670
