Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
SacredBamboo,young,yes,0.000000,1233.788940,19.120117
SacredBamboo,young,yes,0.000000,1233.463989,14.719482
SacredBamboo,young,yes,0.000000,1233.139038,0.000000
SacredBamboo,young,yes,0.000000,1232.813965,0.000000
SacredBamboo,young,yes,0.000000,1232.489014,0.000000
SacredBamboo,young,yes,0.000000,1232.163940,9.156738
SacredBamboo,young,yes,0.000000,1231.839966,0.000000
SacredBamboo,young,yes,0.000000,1231.515015,0.000000
SacredBamboo,young,yes,0.000000,1231.189941,6.194824
SacredBamboo,young,yes,0.000000,1230.864990,0.000000
SacredBamboo,young,yes,0.000000,1230.540039,0.000000
SacredBamboo,young,yes,0.000000,1230.214966,0.000000
SacredBamboo,young,yes,0.000000,1229.890015,0.000000
SacredBamboo,young,yes,0.000000,1229.564941,3.191406
SacredBamboo,young,yes,0.000000,1229.239990,0.190674
SacredBamboo,young,yes,0.000000,1228.916016,0.000000
SacredBamboo,young,yes,0.000000,1228.590942,3.109375
SacredBamboo,young,yes,0.000000,1228.265991,2.428711
SacredBamboo,young,yes,0.000000,1227.941040,4.548096
SacredBamboo,young,yes,0.000000,1227.615967,11.987549
SacredBamboo,young,yes,0.000000,1227.291016,3.786865
SacredBamboo,young,yes,0.000000,1226.965942,0.000000
SacredBamboo,young,yes,0.000000,1226.640991,5.705322
SacredBamboo,young,yes,0.000000,1226.317017,9.784912
SacredBamboo,young,yes,0.000000,1225.991943,5.823975
SacredBamboo,young,yes,0.000000,1225.666992,1.383301
SacredBamboo,young,yes,0.000000,1225.342041,6.542725
SacredBamboo,young,yes,0.000000,1225.016968,7.022217
SacredBamboo,young,yes,0.000000,1224.692017,9.101318
SacredBamboo,young,yes,0.000000,1224.366943,5.700684
SacredBamboo,young,yes,0.000000,1224.041992,2.939941
SacredBamboo,young,yes,0.000000,1223.717041,0.000000
SacredBamboo,young,yes,0.000000,1223.392944,0.000000
SacredBamboo,young,yes,0.000000,1223.067993,3.817871
SacredBamboo,young,yes,0.000000,1222.743042,0.000000
SacredBamboo,young,yes,0.000000,1222.417969,0.000000
SacredBamboo,young,yes,0.000000,1222.093018,2.936035
SacredBamboo,young,yes,0.000000,1221.767944,0.335205
SacredBamboo,young,yes,0.000000,1221.442993,9.214600
SacredBamboo,young,yes,0.000000,1221.118042,0.000000
SacredBamboo,young,yes,0.000000,1220.793945,8.933350
SacredBamboo,young,yes,0.000000,1220.468994,17.292725
SacredBamboo,young,yes,0.000000,1220.144043,11.691895
SacredBamboo,young,yes,0.000000,1219.818970,12.371094
SacredBamboo,young,yes,0.000000,1219.494019,0.000000
SacredBamboo,young,yes,0.000000,1219.168945,10.290039
SacredBamboo,young,yes,0.000000,1218.843994,0.000000
SacredBamboo,young,yes,0.000000,1218.519043,5.168457
SacredBamboo,young,yes,0.000000,1218.193970,0.000000
SacredBamboo,young,yes,0.000000,1217.869995,1.527344
SacredBamboo,young,yes,0.000000,1217.545044,13.526611
SacredBamboo,young,yes,0.000000,1217.219971,3.725830
SacredBamboo,young,yes,0.000000,1216.895020,4.405273
SacredBamboo,young,yes,0.000000,1216.569946,7.084473
SacredBamboo,young,yes,0.000000,1216.244995,1.083740
SacredBamboo,young,yes,0.000000,1215.920044,9.322998
SacredBamboo,young,yes,0.000000,1215.594971,6.482666
SacredBamboo,young,yes,0.000000,1215.270996,8.241943
SacredBamboo,young,yes,0.000000,1214.946045,0.000000
SacredBamboo,young,yes,0.000000,1214.620972,3.440430
SacredBamboo,young,yes,0.000000,1214.296021,10.479980
SacredBamboo,young,yes,0.000000,1213.970947,7.039307
SacredBamboo,young,yes,0.000000,1213.645996,8.398438
SacredBamboo,young,yes,0.000000,1213.321045,9.397705
SacredBamboo,young,yes,0.000000,1212.995972,7.677246
SacredBamboo,young,yes,0.000000,1212.671021,1.236572
SacredBamboo,young,yes,0.000000,1212.347046,5.755859
SacredBamboo,young,yes,0.000000,1212.021973,4.435059
SacredBamboo,young,yes,0.000000,1211.697021,4.954590
SacredBamboo,young,yes,0.000000,1211.371948,0.000000
SacredBamboo,young,yes,0.000000,1211.046997,8.953125
SacredBamboo,young,yes,0.000000,1210.722046,8.592285
SacredBamboo,young,yes,0.000000,1210.396973,13.071777
SacredBamboo,young,yes,0.000000,1210.072021,5.631104
SacredBamboo,young,yes,0.000000,1209.746948,10.750488
SacredBamboo,young,yes,0.000000,1209.422974,3.389648
SacredBamboo,young,yes,0.000000,1209.098022,3.789062
SacredBamboo,young,yes,0.000000,1208.772949,10.508545
SacredBamboo,young,yes,0.000000,1208.447998,9.707764
SacredBamboo,young,yes,0.000000,1208.123047,14.187012
SacredBamboo,young,yes,0.000000,1207.797974,10.986328
SacredBamboo,young,yes,0.000000,1207.473022,1.145752
SacredBamboo,young,yes,0.000000,1207.147949,8.905029
SacredBamboo,young,yes,0.000000,1206.823975,8.704346
SacredBamboo,young,yes,0.000000,1206.499023,7.103516
SacredBamboo,young,yes,0.000000,1206.173950,2.583008
SacredBamboo,young,yes,0.000000,1205.848999,0.942383
SacredBamboo,young,yes,0.000000,1205.524048,15.781494
SacredBamboo,young,yes,0.000000,1205.198975,2.180908
SacredBamboo,young,yes,0.000000,1204.874023,2.820312
SacredBamboo,young,yes,0.000000,1204.548950,2.659668
SacredBamboo,young,yes,0.000000,1204.223999,0.778809
SacredBamboo,young,yes,0.000000,1203.900024,2.618164
