Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
GardenTomato,young,yes,0.000000,1233.788940,16.877197
GardenTomato,young,yes,0.000000,1233.463989,11.117188
GardenTomato,young,yes,0.000000,1233.139038,0.000000
GardenTomato,young,yes,0.000000,1232.813965,4.717285
GardenTomato,young,yes,0.000000,1232.489014,0.000000
GardenTomato,young,yes,0.000000,1232.163940,0.000000
GardenTomato,young,yes,0.000000,1231.839966,0.000000
GardenTomato,young,yes,0.000000,1231.515015,0.000000
GardenTomato,young,yes,0.000000,1231.189941,0.000000
GardenTomato,young,yes,0.000000,1230.864990,0.000000
GardenTomato,young,yes,0.000000,1230.540039,0.000000
GardenTomato,young,yes,0.000000,1230.214966,0.000000
GardenTomato,young,yes,0.000000,1229.890015,6.956787
GardenTomato,young,yes,0.000000,1229.564941,1.916748
GardenTomato,young,yes,0.000000,1229.239990,0.000000
GardenTomato,young,yes,0.000000,1228.916016,0.716797
GardenTomato,young,yes,0.000000,1228.590942,0.000000
GardenTomato,young,yes,0.000000,1228.265991,1.156738
GardenTomato,young,yes,0.000000,1227.941040,0.000000
GardenTomato,young,yes,0.000000,1227.615967,2.076416
GardenTomato,young,yes,0.000000,1227.291016,0.000000
GardenTomato,young,yes,0.000000,1226.965942,9.756348
GardenTomato,young,yes,0.000000,1226.640991,5.076416
GardenTomato,young,yes,0.000000,1226.317017,3.076416
GardenTomato,young,yes,0.000000,1225.991943,1.036377
GardenTomato,young,yes,0.000000,1225.666992,0.036377
GardenTomato,young,yes,0.000000,1225.342041,1.676270
GardenTomato,young,yes,0.000000,1225.016968,15.876221
GardenTomato,young,yes,0.000000,1224.692017,1.836182
GardenTomato,young,yes,0.000000,1224.366943,2.636230
GardenTomato,young,yes,0.000000,1224.041992,0.000000
GardenTomato,young,yes,0.000000,1223.717041,1.516113
GardenTomato,young,yes,0.000000,1223.392944,0.000000
GardenTomato,young,yes,0.000000,1223.067993,0.000000
GardenTomato,young,yes,0.000000,1222.743042,0.000000
GardenTomato,young,yes,0.000000,1222.417969,4.875977
GardenTomato,young,yes,0.000000,1222.093018,0.000000
GardenTomato,young,yes,0.000000,1221.767944,3.275879
GardenTomato,young,yes,0.000000,1221.442993,0.000000
GardenTomato,young,yes,0.000000,1221.118042,0.000000
GardenTomato,young,yes,0.000000,1220.793945,3.196045
GardenTomato,young,yes,0.000000,1220.468994,0.000000
GardenTomato,young,yes,0.000000,1220.144043,0.195801
GardenTomato,young,yes,0.000000,1219.818970,5.715820
GardenTomato,young,yes,0.000000,1219.494019,0.000000
GardenTomato,young,yes,0.000000,1219.168945,15.875732
GardenTomato,young,yes,0.000000,1218.843994,5.075684
GardenTomato,young,yes,0.000000,1218.519043,12.875732
GardenTomato,young,yes,0.000000,1218.193970,0.000000
GardenTomato,young,yes,0.000000,1217.869995,0.000000
GardenTomato,young,yes,0.000000,1217.545044,0.000000
GardenTomato,young,yes,0.000000,1217.219971,0.000000
GardenTomato,young,yes,0.000000,1216.895020,5.595459
GardenTomato,young,yes,0.000000,1216.569946,13.955566
GardenTomato,young,yes,0.000000,1216.244995,4.115479
GardenTomato,young,yes,0.000000,1215.920044,4.195557
GardenTomato,young,yes,0.000000,1215.594971,0.000000
GardenTomato,young,yes,0.000000,1215.270996,0.000000
GardenTomato,young,yes,0.000000,1214.946045,5.515137
GardenTomato,young,yes,0.000000,1214.620972,0.000000
GardenTomato,young,yes,0.000000,1214.296021,0.000000
GardenTomato,young,yes,0.000000,1213.970947,0.355225
GardenTomato,young,yes,0.000000,1213.645996,9.315186
GardenTomato,young,yes,0.000000,1213.321045,3.234863
GardenTomato,young,yes,0.000000,1212.995972,5.034912
GardenTomato,young,yes,0.000000,1212.671021,0.794922
GardenTomato,young,yes,0.000000,1212.347046,2.834961
GardenTomato,young,yes,0.000000,1212.021973,6.875000
GardenTomato,young,yes,0.000000,1211.697021,0.000000
GardenTomato,young,yes,0.000000,1211.371948,8.195068
GardenTomato,young,yes,0.000000,1211.046997,4.954834
GardenTomato,young,yes,0.000000,1210.722046,0.000000
GardenTomato,young,yes,0.000000,1210.396973,8.594727
