Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
MahoganyPine,young,yes,0.000000,1233.788940,9.502197
MahoganyPine,young,yes,0.000000,1233.463989,4.702148
MahoganyPine,young,yes,0.000000,1233.139038,0.000000
MahoganyPine,young,yes,0.000000,1232.813965,0.000000
MahoganyPine,young,yes,0.000000,1232.489014,0.000000
MahoganyPine,young,yes,0.000000,1232.163940,2.220703
MahoganyPine,young,yes,0.000000,1231.839966,12.420654
MahoganyPine,young,yes,0.000000,1231.515015,0.220215
MahoganyPine,young,yes,0.000000,1231.189941,0.000000
MahoganyPine,young,yes,0.000000,1230.864990,0.419922
MahoganyPine,young,yes,0.000000,1230.540039,7.019287
MahoganyPine,young,yes,0.000000,1230.214966,0.000000
MahoganyPine,young,yes,0.000000,1229.890015,0.000000
MahoganyPine,young,yes,0.000000,1229.564941,0.000000
MahoganyPine,young,yes,0.000000,1229.239990,0.000000
MahoganyPine,young,yes,0.000000,1228.916016,0.000000
MahoganyPine,young,yes,0.000000,1228.590942,1.697998
MahoganyPine,young,yes,0.000000,1228.265991,2.897461
MahoganyPine,young,yes,0.000000,1227.941040,6.537109
MahoganyPine,young,yes,0.000000,1227.615967,1.697021
MahoganyPine,young,yes,0.000000,1227.291016,3.216553
MahoganyPine,young,yes,0.000000,1226.965942,1.896484
MahoganyPine,young,yes,0.000000,1226.640991,5.136230
MahoganyPine,young,yes,0.000000,1226.317017,10.455811
MahoganyPine,young,yes,0.000000,1225.991943,17.615479
MahoganyPine,young,yes,0.000000,1225.666992,8.495117
MahoganyPine,young,yes,0.000000,1225.342041,0.000000
MahoganyPine,young,yes,0.000000,1225.016968,4.574707
MahoganyPine,young,yes,0.000000,1224.692017,1.574463
MahoganyPine,young,yes,0.000000,1224.366943,1.774170
MahoganyPine,young,yes,0.000000,1224.041992,8.613770
MahoganyPine,young,yes,0.000000,1223.717041,1.613525
MahoganyPine,young,yes,0.000000,1223.392944,12.013184
MahoganyPine,young,yes,0.000000,1223.067993,13.772949
MahoganyPine,young,yes,0.000000,1222.743042,9.252686
MahoganyPine,young,yes,0.000000,1222.417969,12.692627
MahoganyPine,young,yes,0.000000,1222.093018,11.972168
MahoganyPine,young,yes,0.000000,1221.767944,15.531738
MahoganyPine,young,yes,0.000000,1221.442993,4.571533
MahoganyPine,young,yes,0.000000,1221.118042,7.491211
MahoganyPine,young,yes,0.000000,1220.793945,8.371094
MahoganyPine,young,yes,0.000000,1220.468994,10.010742
MahoganyPine,young,yes,0.000000,1220.144043,10.130615
MahoganyPine,young,yes,0.000000,1219.818970,14.810059
MahoganyPine,young,yes,0.000000,1219.494019,6.129883
MahoganyPine,young,yes,0.000000,1219.168945,7.929688
MahoganyPine,young,yes,0.000000,1218.843994,0.000000
MahoganyPine,young,yes,0.000000,1218.519043,4.089111
MahoganyPine,young,yes,0.000000,1218.193970,4.088867
MahoganyPine,young,yes,0.000000,1217.869995,8.328613
MahoganyPine,young,yes,0.000000,1217.545044,11.008057
MahoganyPine,young,yes,0.000000,1217.219971,8.767822
MahoganyPine,young,yes,0.000000,1216.895020,10.767578
MahoganyPine,young,yes,0.000000,1216.569946,10.527344
MahoganyPine,young,yes,0.000000,1216.244995,11.487061
MahoganyPine,young,yes,0.000000,1215.920044,2.646973
MahoganyPine,young,yes,0.000000,1215.594971,11.486328
MahoganyPine,young,yes,0.000000,1215.270996,9.566162
MahoganyPine,young,yes,0.000000,1214.946045,0.446045
MahoganyPine,young,yes,0.000000,1214.620972,1.125732
MahoganyPine,young,yes,0.000000,1214.296021,9.285400
MahoganyPine,young,yes,0.000000,1213.970947,10.045166
MahoganyPine,young,yes,0.000000,1213.645996,15.685059
MahoganyPine,young,yes,0.000000,1213.321045,15.084473
MahoganyPine,young,yes,0.000000,1212.995972,10.844238
MahoganyPine,young,yes,0.000000,1212.671021,17.763916
MahoganyPine,young,yes,0.000000,1212.347046,0.843750
MahoganyPine,young,yes,0.000000,1212.021973,5.403564
MahoganyPine,young,yes,0.000000,1211.697021,7.523193
MahoganyPine,young,yes,0.000000,1211.371948,8.242676
MahoganyPine,young,yes,0.000000,1211.046997,4.442627
MahoganyPine,young,yes,0.000000,1210.722046,7.562256
MahoganyPine,young,yes,0.000000,1210.396973,10.322021
MahoganyPine,young,yes,0.000000,1210.072021,15.481689
MahoganyPine,young,yes,0.000000,1209.746948,5.881592
MahoganyPine,young,yes,0.000000,1209.422974,12.721191
MahoganyPine,young,yes,0.000000,1209.098022,3.520752
MahoganyPine,young,yes,0.000000,1208.772949,4.880615
MahoganyPine,young,yes,0.000000,1208.447998,0.000000
MahoganyPine,young,yes,0.000000,1208.123047,5.479980
MahoganyPine,young,yes,0.000000,1207.797974,10.679932
MahoganyPine,young,yes,0.000000,1207.473022,16.479492
MahoganyPine,young,yes,0.000000,1207.147949,16.958984
MahoganyPine,young,yes,0.000000,1206.823975,8.198730
MahoganyPine,young,yes,0.000000,1206.499023,4.958496
