Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
StrawberryLeaf,young,yes,0.000000,1233.788940,14.408691
StrawberryLeaf,young,yes,0.000000,1233.463989,8.248779
StrawberryLeaf,young,yes,0.000000,1233.139038,0.000000
StrawberryLeaf,young,yes,0.000000,1232.813965,0.000000
StrawberryLeaf,young,yes,0.000000,1232.489014,4.409424
StrawberryLeaf,young,yes,0.000000,1232.163940,5.729492
StrawberryLeaf,young,yes,0.000000,1231.839966,3.569824
StrawberryLeaf,young,yes,0.000000,1231.515015,8.090088
StrawberryLeaf,young,yes,0.000000,1231.189941,0.000000
StrawberryLeaf,young,yes,0.000000,1230.864990,2.890625
StrawberryLeaf,young,yes,0.000000,1230.540039,1.930908
StrawberryLeaf,young,yes,0.000000,1230.214966,0.000000
StrawberryLeaf,young,yes,0.000000,1229.890015,0.000000
StrawberryLeaf,young,yes,0.000000,1229.564941,0.171387
StrawberryLeaf,young,yes,0.000000,1229.239990,3.211426
StrawberryLeaf,young,yes,0.000000,1228.916016,0.000000
StrawberryLeaf,young,yes,0.000000,1228.590942,0.000000
StrawberryLeaf,young,yes,0.000000,1228.265991,2.892334
StrawberryLeaf,young,yes,0.000000,1227.941040,0.000000
StrawberryLeaf,young,yes,0.000000,1227.615967,1.852539
StrawberryLeaf,young,yes,0.000000,1227.291016,1.492676
StrawberryLeaf,young,yes,0.000000,1226.965942,0.000000
StrawberryLeaf,young,yes,0.000000,1226.640991,3.413330
StrawberryLeaf,young,yes,0.000000,1226.317017,0.000000
StrawberryLeaf,young,yes,0.000000,1225.991943,0.000000
StrawberryLeaf,young,yes,0.000000,1225.666992,2.093994
StrawberryLeaf,young,yes,0.000000,1225.342041,1.493896
StrawberryLeaf,young,yes,0.000000,1225.016968,11.254150
StrawberryLeaf,young,yes,0.000000,1224.692017,3.854492
StrawberryLeaf,young,yes,0.000000,1224.366943,2.494629
StrawberryLeaf,young,yes,0.000000,1224.041992,12.454834
StrawberryLeaf,young,yes,0.000000,1223.717041,0.000000
StrawberryLeaf,young,yes,0.000000,1223.392944,5.295410
StrawberryLeaf,young,yes,0.000000,1223.067993,6.215332
StrawberryLeaf,young,yes,0.000000,1222.743042,5.335693
StrawberryLeaf,young,yes,0.000000,1222.417969,0.000000
StrawberryLeaf,young,yes,0.000000,1222.093018,2.096191
StrawberryLeaf,young,yes,0.000000,1221.767944,0.000000
StrawberryLeaf,young,yes,0.000000,1221.442993,0.000000
StrawberryLeaf,young,yes,0.000000,1221.118042,3.136963
StrawberryLeaf,young,yes,0.000000,1220.793945,3.577148
StrawberryLeaf,young,yes,0.000000,1220.468994,0.000000
StrawberryLeaf,young,yes,0.000000,1220.144043,8.057373
StrawberryLeaf,young,yes,0.000000,1219.818970,12.417725
StrawberryLeaf,young,yes,0.000000,1219.494019,0.000000
StrawberryLeaf,young,yes,0.000000,1219.168945,5.738037
StrawberryLeaf,young,yes,0.000000,1218.843994,0.000000
StrawberryLeaf,young,yes,0.000000,1218.519043,1.858643
StrawberryLeaf,young,yes,0.000000,1218.193970,1.698486
StrawberryLeaf,young,yes,0.000000,1217.869995,5.898926
StrawberryLeaf,young,yes,0.000000,1217.545044,0.000000
StrawberryLeaf,young,yes,0.000000,1217.219971,9.339355
StrawberryLeaf,young,yes,0.000000,1216.895020,4.779541
StrawberryLeaf,young,yes,0.000000,1216.569946,0.000000
StrawberryLeaf,young,yes,0.000000,1216.244995,8.820068
StrawberryLeaf,young,yes,0.000000,1215.920044,7.340088
StrawberryLeaf,young,yes,0.000000,1215.594971,11.780273
StrawberryLeaf,young,yes,0.000000,1215.270996,0.540527
StrawberryLeaf,young,yes,0.000000,1214.946045,6.180908
StrawberryLeaf,young,yes,0.000000,1214.620972,3.260986
StrawberryLeaf,young,yes,0.000000,1214.296021,0.000000
StrawberryLeaf,young,yes,0.000000,1213.970947,0.000000
