Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
AmericanBeech,young,yes,0.000000,1233.788940,27.147217
AmericanBeech,young,yes,0.000000,1233.463989,18.946777
AmericanBeech,young,yes,0.000000,1233.139038,0.000000
AmericanBeech,young,yes,0.000000,1232.813965,0.000000
AmericanBeech,young,yes,0.000000,1232.489014,4.305176
AmericanBeech,young,yes,0.000000,1232.163940,0.000000
AmericanBeech,young,yes,0.000000,1231.839966,0.000000
AmericanBeech,young,yes,0.000000,1231.515015,2.943359
AmericanBeech,young,yes,0.000000,1231.189941,2.902832
AmericanBeech,young,yes,0.000000,1230.864990,0.000000
AmericanBeech,young,yes,0.000000,1230.540039,0.000000
AmericanBeech,young,yes,0.000000,1230.214966,0.000000
AmericanBeech,young,yes,0.000000,1229.890015,0.820801
AmericanBeech,young,yes,0.000000,1229.564941,2.739990
AmericanBeech,young,yes,0.000000,1229.239990,0.000000
AmericanBeech,young,yes,0.000000,1228.916016,0.000000
AmericanBeech,young,yes,0.000000,1228.590942,0.000000
AmericanBeech,young,yes,0.000000,1228.265991,0.000000
AmericanBeech,young,yes,0.000000,1227.941040,6.057373
AmericanBeech,young,yes,0.000000,1227.615967,0.016846
AmericanBeech,young,yes,0.000000,1227.291016,0.000000
AmericanBeech,young,yes,0.000000,1226.965942,0.000000
AmericanBeech,young,yes,0.000000,1226.640991,0.000000
AmericanBeech,young,yes,0.000000,1226.317017,5.934570
AmericanBeech,young,yes,0.000000,1225.991943,6.693848
AmericanBeech,young,yes,0.000000,1225.666992,1.413330
AmericanBeech,young,yes,0.000000,1225.342041,0.000000
AmericanBeech,young,yes,0.000000,1225.016968,3.692139
AmericanBeech,young,yes,0.000000,1224.692017,6.851562
AmericanBeech,young,yes,0.000000,1224.366943,0.000000
AmericanBeech,young,yes,0.000000,1224.041992,8.810791
AmericanBeech,young,yes,0.000000,1223.717041,5.449951
AmericanBeech,young,yes,0.000000,1223.392944,1.569580
AmericanBeech,young,yes,0.000000,1223.067993,0.000000
AmericanBeech,young,yes,0.000000,1222.743042,0.000000
AmericanBeech,young,yes,0.000000,1222.417969,7.927734
AmericanBeech,young,yes,0.000000,1222.093018,7.287354
AmericanBeech,young,yes,0.000000,1221.767944,8.966797
AmericanBeech,young,yes,0.000000,1221.442993,0.000000
AmericanBeech,young,yes,0.000000,1221.118042,2.565674
AmericanBeech,young,yes,0.000000,1220.793945,0.445068
AmericanBeech,young,yes,0.000000,1220.468994,7.204590
AmericanBeech,young,yes,0.000000,1220.144043,3.723877
AmericanBeech,young,yes,0.000000,1219.818970,0.003418
AmericanBeech,young,yes,0.000000,1219.494019,0.000000
AmericanBeech,young,yes,0.000000,1219.168945,3.242188
AmericanBeech,young,yes,0.000000,1218.843994,4.601562
AmericanBeech,young,yes,0.000000,1218.519043,3.441162
AmericanBeech,young,yes,0.000000,1218.193970,3.840576
AmericanBeech,young,yes,0.000000,1217.869995,0.000000
AmericanBeech,young,yes,0.000000,1217.545044,0.000000
AmericanBeech,young,yes,0.000000,1217.219971,2.118896
AmericanBeech,young,yes,0.000000,1216.895020,0.000000
AmericanBeech,young,yes,0.000000,1216.569946,0.000000
AmericanBeech,young,yes,0.000000,1216.244995,14.037354
AmericanBeech,young,yes,0.000000,1215.920044,2.356689
AmericanBeech,young,yes,0.000000,1215.594971,5.796143
AmericanBeech,young,yes,0.000000,1215.270996,5.635498
AmericanBeech,young,yes,0.000000,1214.946045,0.875000
AmericanBeech,young,yes,0.000000,1214.620972,5.194580
AmericanBeech,young,yes,0.000000,1214.296021,8.593750
AmericanBeech,young,yes,0.000000,1213.970947,2.273438
AmericanBeech,young,yes,0.000000,1213.645996,2.392822
AmericanBeech,young,yes,0.000000,1213.321045,0.000000
AmericanBeech,young,yes,0.000000,1212.995972,2.271729
AmericanBeech,young,yes,0.000000,1212.671021,7.791260
AmericanBeech,young,yes,0.000000,1212.347046,5.230713
AmericanBeech,young,yes,0.000000,1212.021973,17.069824
AmericanBeech,young,yes,0.000000,1211.697021,14.509521
AmericanBeech,young,yes,0.000000,1211.371948,6.668945
AmericanBeech,young,yes,0.000000,1211.046997,6.588135
AmericanBeech,young,yes,0.000000,1210.722046,7.747803
AmericanBeech,young,yes,0.000000,1210.396973,3.547363
AmericanBeech,young,yes,0.000000,1210.072021,0.000000
AmericanBeech,young,yes,0.000000,1209.746948,6.546143
AmericanBeech,young,yes,0.000000,1209.422974,2.585449
AmericanBeech,young,yes,0.000000,1209.098022,7.145020
AmericanBeech,young,yes,0.000000,1208.772949,0.000000
AmericanBeech,young,yes,0.000000,1208.447998,0.000000
AmericanBeech,young,yes,0.000000,1208.123047,3.823242
AmericanBeech,young,yes,0.000000,1207.797974,4.422852
AmericanBeech,young,yes,0.000000,1207.473022,8.782227
AmericanBeech,young,yes,0.000000,1207.147949,5.901611
AmericanBeech,young,yes,0.000000,1206.823975,4.301270
AmericanBeech,young,yes,0.000000,1206.499023,6.540771
AmericanBeech,young,yes,0.000000,1206.173950,10.179932
AmericanBeech,young,yes,0.000000,1205.848999,13.859375
AmericanBeech,young,yes,0.000000,1205.524048,7.299072
AmericanBeech,young,yes,0.000000,1205.198975,6.258301
AmericanBeech,young,yes,0.000000,1204.874023,5.217773
AmericanBeech,young,yes,0.000000,1204.548950,5.537354
AmericanBeech,young,yes,0.000000,1204.223999,0.000000
AmericanBeech,young,yes,0.000000,1203.900024,0.000000
AmericanBeech,young,yes,0.000000,1203.574951,5.375488
AmericanBeech,young,yes,0.000000,1203.250000,0.000000
AmericanBeech,young,yes,0.000000,1202.925049,11.214355
AmericanBeech,young,yes,0.000000,1202.599976,5.733887
AmericanBeech,young,yes,0.000000,1202.275024,0.000000
AmericanBeech,young,yes,0.000000,1201.949951,12.612793
AmericanBeech,young,yes,0.000000,1201.625000,0.000000
AmericanBeech,young,yes,0.000000,1201.301025,3.771729
AmericanBeech,young,yes,0.000000,1200.975952,1.571045
AmericanBeech,young,yes,0.000000,1200.651001,9.770508
AmericanBeech,young,yes,0.000000,1200.326050,2.010010
AmericanBeech,young,yes,0.000000,1200.000977,7.089355
AmericanBeech,young,yes,0.000000,1199.676025,1.168945
AmericanBeech,young,yes,0.000000,1199.350952,5.208252
AmericanBeech,young,yes,0.000000,1199.026001,1.487793
AmericanBeech,young,yes,0.000000,1198.701050,6.127197
AmericanBeech,young,yes,0.000000,1198.376953,9.406738
AmericanBeech,young,yes,0.000000,1198.052002,8.565918
AmericanBeech,young,yes,0.000000,1197.727051,0.000000
AmericanBeech,young,yes,0.000000,1197.401978,10.445068
AmericanBeech,young,yes,0.000000,1197.077026,3.124268
AmericanBeech,young,yes,0.000000,1196.751953,0.000000
AmericanBeech,young,yes,0.000000,1196.427002,2.283447
AmericanBeech,young,yes,0.000000,1196.102051,9.482910
AmericanBeech,young,yes,0.000000,1195.777954,2.722168
AmericanBeech,young,yes,0.000000,1195.453003,1.801514
AmericanBeech,young,yes,0.000000,1195.128052,2.161133
AmericanBeech,young,yes,0.000000,1194.802979,0.000000
AmericanBeech,young,yes,0.000000,1194.478027,0.000000
AmericanBeech,young,yes,0.000000,1194.152954,5.199463
AmericanBeech,young,yes,0.000000,1193.828003,2.598877
AmericanBeech,young,yes,0.000000,1193.503052,4.438232
AmericanBeech,young,yes,0.000000,1193.177979,1.837646
AmericanBeech,young,yes,0.000000,1192.854004,9.077148
AmericanBeech,young,yes,0.000000,1192.529053,5.756592
AmericanBeech,young,yes,0.000000,1192.203979,0.000000
AmericanBeech,young,yes,0.000000,1191.879028,6.195557
AmericanBeech,young,yes,0.000000,1191.553955,9.875000
AmericanBeech,young,yes,0.000000,1191.229004,1.714355
AmericanBeech,young,yes,0.000000,1190.904053,1.513916
AmericanBeech,young,yes,0.000000,1190.578979,12.913330
AmericanBeech,young,yes,0.000000,1190.255005,8.232910
AmericanBeech,young,yes,0.000000,1189.930054,0.000000
AmericanBeech,young,yes,0.000000,1189.604980,7.431641
AmericanBeech,young,yes,0.000000,1189.280029,10.391113
AmericanBeech,young,yes,0.000000,1188.954956,0.590332
AmericanBeech,young,yes,0.000000,1188.630005,0.000000
AmericanBeech,young,yes,0.000000,1188.305054,4.669434
AmericanBeech,young,yes,0.000000,1187.979980,8.308838
AmericanBeech,young,yes,0.000000,1187.655029,8.828125
AmericanBeech,young,yes,0.000000,1187.331055,0.000000
AmericanBeech,young,yes,0.000000,1187.005981,0.000000
AmericanBeech,young,yes,0.000000,1186.681030,8.106445
AmericanBeech,young,yes,0.000000,1186.355957,9.825928
AmericanBeech,young,yes,0.000000,1186.031006,8.105469
AmericanBeech,young,yes,0.000000,1185.706055,4.344971
AmericanBeech,young,yes,0.000000,1185.380981,0.664307
AmericanBeech,young,yes,0.000000,1185.056030,0.000000
AmericanBeech,young,yes,0.000000,1184.732056,0.000000
AmericanBeech,young,yes,0.000000,1184.406982,5.822510
AmericanBeech,young,yes,0.000000,1184.082031,13.462158
AmericanBeech,young,yes,0.000000,1183.756958,11.621582
AmericanBeech,young,yes,0.000000,1183.432007,0.000000
AmericanBeech,young,yes,0.000000,1183.107056,0.000000
