Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
AmericanHolly,young,yes,0.000000,1233.788940,22.228516
AmericanHolly,young,yes,0.000000,1233.463989,14.309326
AmericanHolly,young,yes,0.000000,1233.139038,0.000000
AmericanHolly,young,yes,0.000000,1232.813965,10.790771
AmericanHolly,young,yes,0.000000,1232.489014,0.000000
AmericanHolly,young,yes,0.000000,1232.163940,0.000000
AmericanHolly,young,yes,0.000000,1231.839966,1.433105
AmericanHolly,young,yes,0.000000,1231.515015,0.000000
AmericanHolly,young,yes,0.000000,1231.189941,0.754639
AmericanHolly,young,yes,0.000000,1230.864990,0.000000
AmericanHolly,young,yes,0.000000,1230.540039,3.396240
AmericanHolly,young,yes,0.000000,1230.214966,4.916748
AmericanHolly,young,yes,0.000000,1229.890015,5.597656
AmericanHolly,young,yes,0.000000,1229.564941,4.478271
AmericanHolly,young,yes,0.000000,1229.239990,7.079102
AmericanHolly,young,yes,0.000000,1228.916016,0.000000
AmericanHolly,young,yes,0.000000,1228.590942,0.000000
AmericanHolly,young,yes,0.000000,1228.265991,2.361572
AmericanHolly,young,yes,0.000000,1227.941040,2.282227
AmericanHolly,young,yes,0.000000,1227.615967,6.603027
AmericanHolly,young,yes,0.000000,1227.291016,4.083740
AmericanHolly,young,yes,0.000000,1226.965942,3.364502
AmericanHolly,young,yes,0.000000,1226.640991,7.405273
AmericanHolly,young,yes,0.000000,1226.317017,0.000000
AmericanHolly,young,yes,0.000000,1225.991943,0.000000
AmericanHolly,young,yes,0.000000,1225.666992,0.000000
AmericanHolly,young,yes,0.000000,1225.342041,0.000000
AmericanHolly,young,yes,0.000000,1225.016968,0.000000
AmericanHolly,young,yes,0.000000,1224.692017,0.000000
AmericanHolly,young,yes,0.000000,1224.366943,7.410645
AmericanHolly,young,yes,0.000000,1224.041992,9.611328
AmericanHolly,young,yes,0.000000,1223.717041,0.000000
AmericanHolly,young,yes,0.000000,1223.392944,0.000000
AmericanHolly,young,yes,0.000000,1223.067993,7.773438
AmericanHolly,young,yes,0.000000,1222.743042,1.334229
AmericanHolly,young,yes,0.000000,1222.417969,0.000000
AmericanHolly,young,yes,0.000000,1222.093018,5.815674
AmericanHolly,young,yes,0.000000,1221.767944,6.776367
AmericanHolly,young,yes,0.000000,1221.442993,3.937012
AmericanHolly,young,yes,0.000000,1221.118042,6.818115
